deployment-mechanism,trial-number,start-time,wall-time-seconds
native,1,2025-03-28T11:52:32.924463,9.03
native,2,2025-03-28T11:52:41.971398,9.51
wasm_aot,1,2025-03-28T11:52:51.491788,10.1
wasm_aot,2,2025-03-28T11:53:01.602227,10.08
native,3,2025-03-28T11:53:11.697329,9.49
docker,1,2025-03-28T11:53:21.197832,11.12
docker,2,2025-03-28T11:53:32.504124,10.67
native,4,2025-03-28T11:53:43.360108,9.38
native,5,2025-03-28T11:53:52.755670,9.55
wasm_aot,3,2025-03-28T11:54:02.316026,10.09
wasm_aot,4,2025-03-28T11:54:12.414735,10.24
wasm_aot,5,2025-03-28T11:54:22.670209,10.1
native,6,2025-03-28T11:54:32.779858,9.57
docker,3,2025-03-28T11:54:42.360813,10.85
native,7,2025-03-28T11:54:53.398580,9.36
wasm_aot,6,2025-03-28T11:55:02.770451,10.32
docker,4,2025-03-28T11:55:13.103940,11.08
docker,5,2025-03-28T11:55:24.379579,10.89
native,8,2025-03-28T11:55:35.447130,9.51
wasm_aot,7,2025-03-28T11:55:44.972188,10.38
native,9,2025-03-28T11:55:55.364616,9.54
wasm_aot,8,2025-03-28T11:56:04.914183,10.21
native,10,2025-03-28T11:56:15.138770,9.54
wasm_aot,9,2025-03-28T11:56:24.698698,10.1
native,11,2025-03-28T11:56:34.810350,9.35
docker,6,2025-03-28T11:56:44.169901,11.51
wasm_aot,10,2025-03-28T11:56:55.855377,9.91
docker,7,2025-03-28T11:57:05.777469,10.81
docker,8,2025-03-28T11:57:16.763466,10.62
wasm_aot,11,2025-03-28T11:57:27.571490,9.74
wasm_aot,12,2025-03-28T11:57:37.328483,10.44
wasm_aot,13,2025-03-28T11:57:47.777724,10.24
docker,9,2025-03-28T11:57:58.026575,11.17
docker,10,2025-03-28T11:58:09.396887,10.74
wasm_aot,14,2025-03-28T11:58:20.330033,9.86
native,12,2025-03-28T11:58:30.204071,9.45
docker,11,2025-03-28T11:58:39.662028,10.9
native,13,2025-03-28T11:58:50.768676,9.5
native,14,2025-03-28T11:59:00.281493,9.48
native,15,2025-03-28T11:59:09.776676,9.55
native,16,2025-03-28T11:59:19.337719,9.62
docker,12,2025-03-28T11:59:28.977642,11.05
wasm_aot,15,2025-03-28T11:59:40.213842,10.03
docker,13,2025-03-28T11:59:50.259263,11.0
wasm_aot,16,2025-03-28T12:00:01.461417,9.79
docker,14,2025-03-28T12:00:11.267255,10.79
wasm_aot,17,2025-03-28T12:00:22.241361,10.16
wasm_aot,18,2025-03-28T12:00:32.410983,10.13
wasm_aot,19,2025-03-28T12:00:42.557495,10.1
docker,15,2025-03-28T12:00:52.665913,10.83
native,17,2025-03-28T12:01:03.681980,9.33
docker,16,2025-03-28T12:01:13.031123,11.23
docker,17,2025-03-28T12:01:24.454138,10.82
native,18,2025-03-28T12:01:35.449644,9.37
docker,18,2025-03-28T12:01:44.829526,10.87
docker,19,2025-03-28T12:01:55.900793,10.98
wasm_aot,20,2025-03-28T12:02:07.077412,10.02
native,19,2025-03-28T12:02:17.107298,9.56
docker,20,2025-03-28T12:02:26.677131,10.88
native,20,2025-03-28T12:02:37.747307,9.46
