deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
native,1,2025-03-29T00:27:02.967546,36034614063.0,42247959249.0,62175958.0,8592145673.0,19727111748.0,39403.0,6851611656.0,129025699.0,523.0,38880.0,156674048.0,157700096.0,175849472.0,22.27,21.62,0.65
native,2,2025-03-29T00:28:00.083771,42640047370.0,49348305617.0,55710589.0,9642288283.0,22663338027.0,40061.0,8508660637.0,174691656.0,73.0,39988.0,77715779.37,97431552.0,107282432.0,54.32,52.77,1.5
docker_container,1,2025-03-29T00:28:48.564749,80456194972.0,103053588175.0,77633491.0,17554263476.0,39260831947.0,37295.0,16291668543.0,178101234.0,535.0,36761.0,135154483.2,167333888.0,182013952.0,40.69,38.92,1.78
docker_container_and_daemon,1,2025-03-29T00:28:48.564749,83252041078.61,106773712645.49,80827624.48,18903283298.16,40949619534.94,39184.72,16773851708.45,186077272.06,541.37,38644.35,179404185.6,213659648.0,288587776.0,40.79,38.95,1.84
docker_container_and_daemon_extra_overhead,1,2025-03-29T00:28:48.564749,83244312889.61,105245690235.49,80773470.48,18459797986.16,40075673838.94,39184.72,16372752218.45,178101234.0,541.37,38644.35,137104793.6,171360256.0,182013952.0,40.78,38.95,1.83
docker_container,2,2025-03-29T00:30:34.795817,56512630412.0,68782160320.0,58923039.0,12214648473.0,26884137743.0,39085.0,10416442414.0,124944433.0,25.0,39056.0,74656426.67,95002624.0,106680320.0,26.52,25.35,1.17
docker_container_and_daemon,2,2025-03-29T00:30:34.795817,60430714512.13,72834069345.33,59244539.46,13126157258.69,28509800160.34,39207.11,10967531993.07,141974725.48,25.0,39178.11,121677687.47,142262272.0,213254144.0,26.56,25.360000000000003,1.2
docker_container_and_daemon_extra_overhead,2,2025-03-29T00:30:34.795817,60422187115.13,68782160320.0,59205350.46,13125448877.69,28506791034.34,39207.11,10711530081.07,141939800.48,25.0,39178.11,77739895.47,98324480.0,106680320.0,26.56,25.360000000000003,1.2
wasm_aot,1,2025-03-29T00:32:19.508732,47798704370.0,54320245362.0,63674777.0,10556357984.0,23944641227.0,50189.0,8565037165.0,194923094.0,725.0,49464.0,206444730.18,236564480.0,236806144.0,46.78,45.12,1.66
docker_container,3,2025-03-29T00:33:13.952746,49803522788.0,63227932103.0,53824893.0,11273715293.0,26221878997.0,38030.0,10073551388.0,133491714.0,515.0,37513.0,129228800.0,167829504.0,177426432.0,25.1,23.87,1.24
docker_container_and_daemon,3,2025-03-29T00:33:13.952746,52862350715.62,66631020673.77,55048460.26,12171032343.92,27624467195.42,39618.3,10507139569.84,138463281.04,524.4,39091.9,174984270.77,213843968.0,284000256.0,25.21,23.91,1.31
docker_container_and_daemon_extra_overhead,3,2025-03-29T00:33:13.952746,52856446182.62,64624809684.77,55005650.26,11648851447.92,27621326329.42,39618.3,10357791335.84,138412082.04,524.4,39091.9,132295758.77000001,171155456.0,177426432.0,25.21,23.91,1.31
docker_container,4,2025-03-29T00:35:00.385409,84545566254.0,107822616373.0,81525954.0,19390442304.0,44311256453.0,39210.0,18306022432.0,177483218.0,8.0,39202.0,93017702.4,117469184.0,129155072.0,45.02,43.05,1.97
docker_container_and_daemon,4,2025-03-29T00:35:00.385409,91846924881.35,113750400369.09,82315308.09,20761758772.48,47883848728.34,39254.93,18930100005.18,194839382.61,12.18,39242.75,139937655.47,164438016.0,235728896.0,45.09,43.07,2.02
docker_container_and_daemon_extra_overhead,4,2025-03-29T00:35:00.385409,91841784618.35,113748743325.09,82254520.09,20761265656.48,47878155025.34,39254.93,18929903047.18,194806952.61,12.18,39242.75,93742967.47,118243328.0,129155072.0,45.09,43.07,2.02
docker_container,5,2025-03-29T00:36:46.123234,55466938511.0,68970325518.0,56890687.0,12018149777.0,26669945309.0,37720.0,10291131355.0,127922385.0,16.0,37674.0,85447400.73,115249152.0,125366272.0,27.12,25.92,1.2
docker_container_and_daemon,5,2025-03-29T00:36:46.123234,61102804683.26,75151460647.79,57814741.99,14022375650.72,28888290991.48,37741.37,10968970662.6,128947815.61,16.0,37695.37,133044968.73,162861056.0,231940096.0,27.2,25.96,1.24
docker_container_and_daemon_extra_overhead,5,2025-03-29T00:36:46.123234,61093203269.26,75148854684.79,57768464.99,14021538603.72,28883512033.48,37741.37,10968837233.6,128888405.61,16.0,37695.37,85703400.73,115519488.0,125366272.0,27.2,25.96,1.24
native,3,2025-03-29T00:38:33.041069,46330859134.0,53838219696.0,58436436.0,9832011302.0,21940718838.0,37885.0,8136268368.0,174562099.0,240.0,37645.0,94423244.8,121307136.0,133070848.0,56.12,54.11,1.92
native,4,2025-03-29T00:39:24.279307,45061946421.0,53596163163.0,58608926.0,9550911659.0,22538497684.0,36288.0,8282165797.0,160327989.0,0.0,36288.0,68943390.12,78319616.0,108433408.0,54.89,53.06,1.77
