deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
wasm_aot,1,2025-03-29T08:06:39.988839,62064292919.0,77219388229.0,90045222.0,13865687665.0,31395961604.0,65681.0,11976556944.0,183989263.0,743.0,64938.0,259038256.76,260341760.0,287047680.0,40.58,39.49,1.09
docker_container,1,2025-03-29T08:07:52.247225,116527969113.0,147650167922.0,108240693.0,25650361538.0,55296778611.0,26572.0,23075949448.0,196204440.0,539.0,26033.0,131018270.12,142180352.0,145715200.0,42.04,40.18,1.86
docker_container_and_daemon,1,2025-03-29T08:07:52.247225,119817293228.02,149564439626.56,117529510.18,26238437016.22,56762781116.06,28349.1,23281453385.68,199064842.75,545.19,27802.81,168609671.53,180211712.0,252366848.0,42.12,40.2,1.9200000000000002
docker_container_and_daemon_extra_overhead,1,2025-03-29T08:07:52.247225,119800507992.02,148751749288.56,117417645.18,25883867471.22,55956298927.06,28182.1,23207601824.68,196204440.0,545.19,27635.81,136484743.53,148086784.0,145715200.0,42.11,40.2,1.9200000000000002
docker_container,2,2025-03-29T08:10:06.273563,114132863985.0,146176993901.0,104813982.0,26267650102.0,56727259155.0,31801.0,24128201179.0,200363022.0,43.0,31758.0,137046698.67,148623360.0,148697088.0,44.33,42.35,1.97
docker_container_and_daemon,2,2025-03-29T08:10:06.273563,115342463160.92,147027352372.83,106413415.91,26494924936.76,56968698628.62,31801.0,24178968190.27,201605566.05,43.0,31758.0,177193545.14999998,189014016.0,255348736.0,44.36,42.36,1.99
docker_container_and_daemon_extra_overhead,2,2025-03-29T08:10:06.273563,115334334855.92,147025644771.83,106337409.91,26494082158.76,56961428428.62,31801.0,24178567128.27,201541778.05,43.0,31758.0,139035209.14999998,150855680.0,148697088.0,44.35,42.36,1.99
native,1,2025-03-29T08:12:17.198036,64292754981.0,74987166102.0,80939516.0,13900274881.0,31576755555.0,28816.0,12015484559.0,212733799.0,298.0,28518.0,111873706.67,122294272.0,122400768.0,55.7,54.07,1.59
wasm_aot,2,2025-03-29T08:13:15.227487,57807747917.0,67830612910.0,84035794.0,13293454707.0,28741888790.0,67672.0,10923405238.0,198836845.0,208.0,67464.0,172066133.33,190455808.0,212131840.0,55.01,53.14,1.83
wasm_aot,3,2025-03-29T08:14:10.650623,58462705302.0,71584810994.0,86097696.0,13484689308.0,31972018735.0,67438.0,11400489683.0,208248754.0,127.0,67311.0,190605401.04,223309824.0,223571968.0,56.68,54.79,1.8
