deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-03-28T13:13:38.839501,14.16
native,1,2025-03-28T13:13:53.197134,13.5
docker,2,2025-03-28T13:14:06.710802,14.74
docker,3,2025-03-28T13:14:21.657593,14.62
docker,4,2025-03-28T13:14:36.457088,14.61
native,2,2025-03-28T13:14:51.244460,13.12
native,3,2025-03-28T13:15:04.373809,13.49
native,4,2025-03-28T13:15:17.872596,13.43
wasm_aot,1,2025-03-28T13:15:31.316862,14.19
docker,5,2025-03-28T13:15:45.520221,14.4
docker,6,2025-03-28T13:16:00.119290,14.41
native,5,2025-03-28T13:16:14.701775,13.2
native,6,2025-03-28T13:16:27.912284,13.36
wasm_aot,2,2025-03-28T13:16:41.288744,14.24
wasm_aot,3,2025-03-28T13:16:55.536537,14.03
wasm_aot,4,2025-03-28T13:17:09.575623,14.09
docker,7,2025-03-28T13:17:23.680109,14.67
docker,8,2025-03-28T13:17:38.552452,14.74
wasm_aot,5,2025-03-28T13:17:53.480893,13.75
wasm_aot,6,2025-03-28T13:18:07.245894,14.37
wasm_aot,7,2025-03-28T13:18:21.629794,14.33
docker,9,2025-03-28T13:18:35.968294,14.54
docker,10,2025-03-28T13:18:50.698424,14.75
docker,11,2025-03-28T13:19:05.656706,14.21
wasm_aot,8,2025-03-28T13:19:20.061007,13.89
native,7,2025-03-28T13:19:33.961951,13.56
native,8,2025-03-28T13:19:47.537848,13.24
docker,12,2025-03-28T13:20:00.789053,14.83
native,9,2025-03-28T13:20:15.826950,13.31
wasm_aot,9,2025-03-28T13:20:29.148569,14.28
docker,13,2025-03-28T13:20:43.445237,14.61
native,10,2025-03-28T13:20:58.241409,13.17
docker,14,2025-03-28T13:21:11.421097,14.65
native,11,2025-03-28T13:21:26.261049,13.24
native,12,2025-03-28T13:21:39.514109,13.34
docker,15,2025-03-28T13:21:52.870051,14.78
native,13,2025-03-28T13:22:07.845300,13.13
docker,16,2025-03-28T13:22:20.987694,14.55
native,14,2025-03-28T13:22:35.730805,13.46
native,15,2025-03-28T13:22:49.198641,13.45
native,16,2025-03-28T13:23:02.662309,13.26
native,17,2025-03-28T13:23:15.936563,13.47
native,18,2025-03-28T13:23:29.427468,13.43
wasm_aot,10,2025-03-28T13:23:42.870481,14.09
wasm_aot,11,2025-03-28T13:23:56.975379,14.11
wasm_aot,12,2025-03-28T13:24:11.093691,14.29
docker,17,2025-03-28T13:24:25.395177,14.59
wasm_aot,13,2025-03-28T13:24:40.191108,14.11
wasm_aot,14,2025-03-28T13:24:54.321431,14.02
wasm_aot,15,2025-03-28T13:25:08.352939,14.28
docker,18,2025-03-28T13:25:22.649526,14.57
docker,19,2025-03-28T13:25:37.411946,14.41
wasm_aot,16,2025-03-28T13:25:52.016076,14.0
docker,20,2025-03-28T13:26:06.034779,14.67
native,19,2025-03-28T13:26:20.895292,13.01
wasm_aot,17,2025-03-28T13:26:33.919848,14.24
wasm_aot,18,2025-03-28T13:26:48.175764,14.23
native,20,2025-03-28T13:27:02.415702,13.36
wasm_aot,19,2025-03-28T13:27:15.792541,14.06
wasm_aot,20,2025-03-28T13:27:29.866358,14.07
