deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-03-28T13:27:45.781708,20.3
docker,2,2025-03-28T13:28:06.280380,18.03
docker,3,2025-03-28T13:28:24.525836,18.37
docker,4,2025-03-28T13:28:43.080614,18.43
docker,5,2025-03-28T13:29:01.701775,19.0
native,1,2025-03-28T13:29:20.873373,17.21
docker,6,2025-03-28T13:29:38.095383,18.91
wasm_aot,1,2025-03-28T13:29:57.189029,18.51
native,2,2025-03-28T13:30:15.712468,19.06
wasm_aot,2,2025-03-28T13:30:34.786261,18.77
native,3,2025-03-28T13:30:53.564063,17.34
docker,7,2025-03-28T13:31:10.912560,19.66
wasm_aot,3,2025-03-28T13:31:30.772106,18.67
native,4,2025-03-28T13:31:49.462869,17.28
docker,8,2025-03-28T13:32:06.751261,19.51
native,5,2025-03-28T13:32:26.477695,17.53
docker,9,2025-03-28T13:32:44.021364,18.51
native,6,2025-03-28T13:33:02.717613,17.54
native,7,2025-03-28T13:33:20.267805,17.87
wasm_aot,4,2025-03-28T13:33:38.151697,18.84
native,8,2025-03-28T13:33:57.008086,17.95
native,9,2025-03-28T13:34:14.974965,17.84
wasm_aot,5,2025-03-28T13:34:32.829485,18.66
docker,10,2025-03-28T13:34:51.506685,19.01
native,10,2025-03-28T13:35:10.713262,17.35
wasm_aot,6,2025-03-28T13:35:28.087538,18.56
native,11,2025-03-28T13:35:46.663917,17.8
native,12,2025-03-28T13:36:04.472775,17.45
docker,11,2025-03-28T13:36:21.933235,18.87
wasm_aot,7,2025-03-28T13:36:41.010572,18.98
wasm_aot,8,2025-03-28T13:37:00.004600,18.74
wasm_aot,9,2025-03-28T13:37:18.760917,18.63
docker,12,2025-03-28T13:37:37.404329,18.99
native,13,2025-03-28T13:37:56.588321,17.44
wasm_aot,10,2025-03-28T13:38:14.043302,18.94
wasm_aot,11,2025-03-28T13:38:32.998351,18.91
wasm_aot,12,2025-03-28T13:38:51.919703,18.68
wasm_aot,13,2025-03-28T13:39:10.611527,18.29
docker,13,2025-03-28T13:39:28.918918,18.76
wasm_aot,14,2025-03-28T13:39:47.865776,18.4
docker,14,2025-03-28T13:40:06.277751,18.99
wasm_aot,15,2025-03-28T13:40:25.450867,18.54
docker,15,2025-03-28T13:40:44.007247,19.0
native,14,2025-03-28T13:41:03.207160,17.6
wasm_aot,16,2025-03-28T13:41:20.821018,18.61
native,15,2025-03-28T13:41:39.448548,17.52
docker,16,2025-03-28T13:41:56.979642,19.03
native,16,2025-03-28T13:42:16.210310,17.45
native,17,2025-03-28T13:42:33.670682,17.77
docker,17,2025-03-28T13:42:51.460703,18.81
docker,18,2025-03-28T13:43:10.467670,18.82
native,18,2025-03-28T13:43:29.488091,17.73
wasm_aot,17,2025-03-28T13:43:47.235101,18.98
wasm_aot,18,2025-03-28T13:44:06.233611,18.89
wasm_aot,19,2025-03-28T13:44:25.138189,18.74
native,19,2025-03-28T13:44:43.897921,17.93
wasm_aot,20,2025-03-28T13:45:01.841392,18.82
docker,19,2025-03-28T13:45:20.677714,18.95
native,20,2025-03-28T13:45:39.831192,17.73
docker,20,2025-03-28T13:45:57.575994,18.79
