deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
docker_container,1,2025-03-29T20:48:06.978039,216819148157.0,283463630682.0,218649386.0,50919471232.0,110920719543.0,53972.0,46394033103.0,318903808.0,537.0,53434.0,201997789.87,263733248.0,268718080.0,44.82,42.9,1.92
docker_container_and_daemon,1,2025-03-29T20:48:06.978039,218407088842.33,284550072672.53,221977242.22,51209486640.44,112144511666.37,59611.4,46536870274.13,333876838.58,677.31,58786.58,239886030.81,316878848.0,375369728.0,44.94,42.93,2.01
docker_container_and_daemon_extra_overhead,1,2025-03-29T20:48:06.978039,216819148157.0,283463630682.0,221726833.22,51202972669.44,112115101282.37,59584.4,46536386080.13,333759065.58,677.31,58759.58,201997789.87,271839232.0,268718080.0,44.93,42.93,2.0
wasm_aot,1,2025-03-29T20:52:33.520152,151757868402.0,192105500419.0,194303583.0,35428855824.0,75325282577.0,143553.0,30081162889.0,324289333.0,730.0,142823.0,354685747.2,454909952.0,455106560.0,52.61,50.76,1.85
native,1,2025-03-29T20:54:46.106952,146531493769.0,185233261093.0,183900085.0,33319255899.0,72233264629.0,53554.0,30358467685.0,326904104.0,41.0,53513.0,305771700.71,324304896.0,324673536.0,55.65,53.93,1.71
native,2,2025-03-29T20:56:49.231531,146492603060.0,184065468854.0,179192587.0,33281556403.0,72441552263.0,54838.0,29907556937.0,304708119.0,0.0,54838.0,194956672.0,204374016.0,204566528.0,57.88,56.19,1.69
wasm_aot,2,2025-03-29T20:58:49.385162,177552747445.0,229369922858.0,213704650.0,41495473731.0,89334972485.0,150388.0,36844998362.0,327364116.0,215.0,150175.0,316137419.49,402079744.0,402280448.0,53.13,51.12,1.91
docker_container,2,2025-03-29T21:01:29.293287,191729700384.0,250803260414.0,188625628.0,44101891849.0,95483203097.0,54773.0,41325261133.0,286030248.0,497.0,54277.0,249759744.0,326438912.0,327049216.0,37.49,35.95,1.54
docker_container_and_daemon,2,2025-03-29T21:01:29.293287,194566815132.04,253891136970.54,192562600.68,44802031365.39,97633931299.07,61980.85,41763286378.87,290218480.79,728.86,61090.38,298265356.19,379998208.0,433700864.0,37.63,35.99,1.6300000000000001
docker_container_and_daemon_extra_overhead,2,2025-03-29T21:01:29.293287,194553341245.04,253889469979.54,192489009.68,44801627122.39,97627819175.07,61980.85,41763024086.87,290172612.79,728.86,61090.38,278903564.19,360636416.0,327049216.0,37.63,35.99,1.6300000000000001
wasm_aot,3,2025-03-29T21:05:38.682011,159975606129.0,203346210193.0,201424801.0,36932432655.0,80176796040.0,144228.0,32813434709.0,320327851.0,729.0,143499.0,387071800.2,519950336.0,525721600.0,53.68,51.74,1.94
docker_container,3,2025-03-29T21:07:59.329187,181596556152.0,238653669442.0,180813520.0,42495160610.0,91399795852.0,52815.0,39182860745.0,275696924.0,528.0,52288.0,268442785.68,341831680.0,342228992.0,35.3,33.77,1.53
docker_container_and_daemon,3,2025-03-29T21:07:59.329187,186296000835.31,242482034334.23,183046773.0,43614419332.44,92975091841.38,56155.93,39872007452.26,278699513.28,600.38,55518.29,314092921.26,388923392.0,448880640.0,35.379999999999995,33.800000000000004,1.58
docker_container_and_daemon_extra_overhead,3,2025-03-29T21:07:59.329187,186282021879.31,242479962637.23,182899141.0,43613592339.44,92965473157.38,56155.93,39871464888.26,278601511.28,600.38,55518.29,277708153.26,352538624.0,342228992.0,35.379999999999995,33.800000000000004,1.58
docker_container,4,2025-03-29T21:12:10.188708,230930612686.0,305381643506.0,222251218.0,53439723734.0,116892791464.0,53900.0,51616243836.0,339920198.0,0.0,53899.0,176885129.85,225742848.0,226119680.0,48.21,46.14,2.07
docker_container_and_daemon,4,2025-03-29T21:12:10.188708,231941995469.03,307622761142.16,223363813.19,54171180005.66,117450706847.6,53981.79,52078642875.65,346207753.93,3.15,53975.55,223279576.62,273035264.0,332771328.0,48.26,46.160000000000004,2.0999999999999996
docker_container_and_daemon_extra_overhead,4,2025-03-29T21:12:10.188708,231922059180.03,307619433124.16,223249412.19,54169769137.66,117443838674.6,53981.79,51616243836.0,346063969.93,3.15,53975.55,180910552.62,230666240.0,226119680.0,48.26,46.160000000000004,2.0999999999999996
docker_container,5,2025-03-29T21:16:15.271675,117623103385.0,149107252386.0,129034595.0,27051074445.0,58028437567.0,54234.0,23825894127.0,203826823.0,162.0,54071.0,228616055.47,296976384.0,302104576.0,23.09,22.05,1.04
docker_container_and_daemon,5,2025-03-29T21:16:15.271675,117672983569.78,150799663536.65,129500915.61,27472843929.64,58053687320.7,54473.32,24074726250.28,204255767.37,165.16,54305.05,271005874.55,343326720.0,408756224.0,23.11,22.05,1.06
docker_container_and_daemon_extra_overhead,5,2025-03-29T21:16:15.271675,117666566024.78,150797478250.65,129461422.61,27472032091.64,58050193493.7,54473.32,24074425998.28,204209623.37,165.16,54305.05,228616055.47,300269568.0,302104576.0,23.11,22.05,1.06
docker_container,6,2025-03-29T21:20:17.202547,61853818705.0,77117605745.0,77897372.0,14121409631.0,31298540739.0,52769.0,12666397323.0,137448572.0,227.0,52543.0,183812468.36,263266304.0,264028160.0,12.86,12.27,0.59
docker_container_and_daemon,6,2025-03-29T21:20:17.202547,61889618083.06,78164543842.31,78217689.36,14243739566.11,31316945701.65,52837.34,12849357683.33,137740454.47,228.1,52610.23,223169111.92000002,302678016.0,370679808.0,12.87,12.27,0.6
docker_container_and_daemon_extra_overhead,6,2025-03-29T21:20:17.202547,61867427307.06,78157705005.31,78007776.36,14121409631.0,31307396796.65,52837.34,12666397323.0,137590442.47,228.1,52610.23,184818263.92000002,264327168.0,264028160.0,12.86,12.27,0.6
wasm_aot,4,2025-03-29T21:24:10.677967,155521685499.0,198733593644.0,200484179.0,37245621934.0,80058946614.0,143560.0,32594475265.0,312815179.0,754.0,142806.0,334750784.81,449548288.0,449761280.0,53.87,51.97,1.89
docker_container,7,2025-03-29T21:26:30.878212,246344494117.0,322223509038.0,240328677.0,56800458200.0,122063872440.0,53700.0,52011309454.0,348306637.0,537.0,53164.0,257906149.05,328708096.0,333713408.0,51.49,49.32,2.17
docker_container_and_daemon,7,2025-03-29T21:26:30.878212,246570034366.84,326286340916.79,241755846.13,57890488845.14,122187260922.15,57010.71,52482467996.59,349917079.75,547.64,56461.94,293836261.05,365219840.0,440365056.0,51.550000000000004,49.34,2.1999999999999997
docker_container_and_daemon_extra_overhead,7,2025-03-29T21:26:30.878212,246344494117.0,322223509038.0,240328677.0,57677075256.14,122063872440.0,56081.71,52353384992.59,348306637.0,547.64,55532.94,263626213.05,334639104.0,333713408.0,51.49,49.32,2.19
docker_container,8,2025-03-29T21:30:30.042514,212134606868.0,275949733150.0,205506262.0,48595402166.0,105644523810.0,52437.0,45376389129.0,299503677.0,0.0,52436.0,190704640.0,242589696.0,243134464.0,43.2,41.39,1.81
docker_container_and_daemon,8,2025-03-29T21:30:30.042514,213620298668.12,278704960727.36,207348719.27,49643104074.23,106397397838.97,54598.08,45756872993.34,301506869.01,9.41,54581.39,227416064.0,280096768.0,349786112.0,43.27,41.42,1.85
docker_container_and_daemon_extra_overhead,8,2025-03-29T21:30:30.042514,213598942355.12,278704568642.36,207244553.27,48595402166.0,106387594447.97,54598.08,45756121349.34,301375253.01,9.41,54581.39,191154176.0,243834880.0,243134464.0,43.27,41.42,1.85
native,3,2025-03-29T21:34:34.633210,157842228915.0,198528993059.0,185398417.0,35857236398.0,77902365904.0,55133.0,32264133605.0,318577830.0,523.0,54610.0,297885534.32,314466304.0,317583360.0,54.85,53.09,1.76
native,4,2025-03-29T21:36:50.613057,153705681000.0,192926962215.0,187176083.0,35292390494.0,76753191815.0,53472.0,31668690086.0,320368907.0,0.0,53472.0,250712698.59,260087808.0,260345856.0,57.25,55.47,1.73
native,5,2025-03-29T21:38:59.943121,155234240216.0,197326049812.0,183216205.0,34905085301.0,76249935248.0,54207.0,31574440987.0,320621238.0,0.0,54207.0,209023203.56,217972736.0,218488832.0,57.87,56.07,1.79
wasm_aot,5,2025-03-29T21:41:09.333330,159643397617.0,199410249194.0,199008244.0,36870935606.0,78858290456.0,143964.0,32810310017.0,317388801.0,481.0,143483.0,353210421.89,438599680.0,438861824.0,54.24,52.3,1.94
native,6,2025-03-29T21:43:27.603426,155428019995.0,196873667514.0,185230839.0,36109398412.0,78719019089.0,54323.0,32486886104.0,317619581.0,197.0,54126.0,325518826.96,337891328.0,338259968.0,55.77,53.96,1.77
wasm_aot,6,2025-03-29T21:45:41.476988,158738647511.0,204019278024.0,199986560.0,37970414507.0,80674505685.0,144664.0,32015137950.0,315496904.0,132.0,144532.0,324514732.97,404717568.0,404746240.0,56.38,54.49,1.89
wasm_aot,7,2025-03-29T21:47:55.175076,158411033815.0,203627525664.0,199204355.0,37754252650.0,80450563069.0,144277.0,32989989405.0,311553152.0,161.0,144134.0,404725859.9,499503104.0,517283840.0,54.53,52.6,1.94
docker_container,9,2025-03-29T21:50:15.312279,105915709163.0,135999792892.0,119620009.0,24839004745.0,54561416560.0,53012.0,22405983085.0,189164485.0,493.0,52519.0,193845930.67,272814080.0,273145856.0,20.9,19.96,0.94
docker_container_and_daemon,9,2025-03-29T21:50:15.312279,106517824967.67,138156773422.85,123187119.49,25087446694.96,54869741958.2,55825.2,22864395077.01,193115566.01,736.22,54943.06,240239877.01999998,324128768.0,379797504.0,21.02,19.990000000000002,1.03
docker_container_and_daemon_extra_overhead,9,2025-03-29T21:50:15.312279,106497348981.67,138154627398.85,123094994.49,25085752897.96,54861889894.2,55825.2,22863915267.01,192942190.01,736.22,54943.06,223347973.01999998,307236864.0,273145856.0,21.02,19.990000000000002,1.03
wasm_aot,8,2025-03-29T21:54:27.538590,165703660254.0,211591028167.0,204552751.0,38638333929.0,83117576251.0,148256.0,34683860730.0,312269474.0,490.0,147766.0,346774566.89,427491328.0,429760512.0,54.49,52.62,1.87
docker_container,10,2025-03-29T21:56:52.331022,242158999739.0,315732127360.0,233926193.0,57203969226.0,121653741899.0,53550.0,52356122699.0,335415961.0,531.0,53016.0,277070848.0,364650496.0,365723648.0,49.72,47.61,2.11
docker_container_and_daemon,10,2025-03-29T21:56:52.331022,244260516927.1,320151602519.07,236019629.09,58229517541.95,122756174896.68,59260.69,52989888360.78,337751221.8,554.6,58691.29,322232862.12,411246592.0,472375296.0,49.8,47.63,2.17
docker_container_and_daemon_extra_overhead,10,2025-03-29T21:56:52.331022,244250340573.1,320150388965.07,235952744.09,58228980184.95,122753682192.68,59260.69,52989725556.78,337678468.8,554.6,58691.29,279925278.12,368939008.0,365723648.0,49.8,47.63,2.17
wasm_aot,9,2025-03-29T22:00:56.107595,160536640636.0,200209324524.0,197252673.0,37379165835.0,82609224414.0,143676.0,33269467313.0,316991654.0,608.0,143068.0,360223744.0,427307008.0,447700992.0,55.95,53.91,2.03
native,7,2025-03-29T22:03:14.337025,156236342560.0,202363727101.0,194364826.0,36315129753.0,77878413704.0,53226.0,32343951408.0,314932130.0,36.0,53190.0,305284437.33,321454080.0,321970176.0,54.23,52.53,1.69
native,8,2025-03-29T22:05:31.582199,161531669038.0,208264435762.0,187102815.0,36484246730.0,79518013861.0,54284.0,33220577716.0,319181907.0,0.0,54284.0,194456926.68,201805824.0,202461184.0,57.33,55.73,1.72
native,9,2025-03-29T22:07:45.265654,161798388000.0,206624022116.0,186427801.0,36858730767.0,79223517817.0,54944.0,32918305088.0,316025954.0,0.0,54944.0,196318567.06,204816384.0,205074432.0,57.5,55.68,1.81
wasm_aot,10,2025-03-29T22:09:59.298869,150097681437.0,192000625118.0,191481832.0,35385567173.0,77071346894.0,145013.0,31412069772.0,298008178.0,67.0,144946.0,315565603.07,403308544.0,403308544.0,56.6,54.68,1.94
docker_container,11,2025-03-29T22:12:08.658816,124592872674.0,165732500085.0,141164272.0,30702266202.0,65738837161.0,53485.0,27559639505.0,229139768.0,489.0,52994.0,264052736.0,348753920.0,353918976.0,24.75,23.67,1.09
docker_container_and_daemon,11,2025-03-29T22:12:08.658816,126973119798.9,168754471606.4,143668763.13,31589794518.75,66860408066.95,58038.65,28195148477.84,231969857.9,636.27,57334.11,304050806.15,390213632.0,460570624.0,24.83,23.69,1.1500000000000001
docker_container_and_daemon_extra_overhead,11,2025-03-29T22:12:08.658816,126948506265.9,168749013744.4,143523433.13,30702266202.0,66849168461.95,58038.65,27559639505.0,231853525.9,636.27,57334.11,280441462.15,366604288.0,353918976.0,24.83,23.69,1.1500000000000001
docker_container,12,2025-03-29T22:16:18.390220,264822117473.0,355570719317.0,254201715.0,63344388275.0,138001722358.0,55584.0,59400910264.0,363555059.0,0.0,55583.0,186823826.29,230764544.0,231124992.0,53.8,51.6,2.2
docker_container_and_daemon,12,2025-03-29T22:16:18.390220,264997477438.43,363458053388.39,255413535.08,65998931312.08,142263245801.45,56732.95,60765442720.56,364815435.48,1.02,56730.93,230098358.85999998,274395136.0,337776640.0,53.849999999999994,51.620000000000005,2.23
docker_container_and_daemon_extra_overhead,12,2025-03-29T22:16:18.390220,264976320403.43,363450547075.39,255248070.08,65997107713.08,142253509711.45,56732.95,60764626056.56,364693469.48,1.02,56730.93,191550902.85999998,235847680.0,231124992.0,53.839999999999996,51.61,2.23
docker_container,13,2025-03-29T22:20:24.441807,158855578247.0,203239774570.0,159371825.0,35324631391.0,76892983999.0,53607.0,32434862359.0,243851830.0,16.0,53559.0,214320859.43,269619200.0,277098496.0,31.8,30.41,1.39
docker_container_and_daemon,13,2025-03-29T22:20:24.441807,161223072283.47,207939930673.66,160662227.19,36794284895.34,76991930693.86,55710.55,33667237290.86,245214296.58,19.14,55656.26,257404162.81,313339904.0,383750144.0,31.85,30.43,1.42
docker_container_and_daemon_extra_overhead,13,2025-03-29T22:20:24.441807,161207691049.47,203239774570.0,160489024.19,35324631391.0,76977015649.86,55710.55,33666831623.86,244988937.58,19.14,55656.26,217955586.81,273891328.0,277098496.0,31.85,30.43,1.42
wasm_aot,11,2025-03-29T22:24:26.664728,172237523200.0,214209571546.0,212471033.0,38521015218.0,84394946813.0,149342.0,34492457773.0,319719851.0,752.0,148590.0,362251375.04,445939712.0,449875968.0,53.14,51.26,1.88
native,10,2025-03-29T22:26:56.915788,154752627901.0,196160140904.0,190206064.0,36028958196.0,77944192356.0,53556.0,32348579630.0,308208892.0,45.0,53511.0,306726469.19,324657152.0,324980736.0,54.52,52.77,1.75
wasm_aot,12,2025-03-29T22:29:12.609805,161034422271.0,207002916023.0,197266164.0,37668554253.0,80586852662.0,144843.0,33018236667.0,313031355.0,159.0,144684.0,324392683.24,400941056.0,406917120.0,56.22,54.29,1.99
docker_container,14,2025-03-29T22:31:30.454253,242774879997.0,319001277558.0,230741188.0,56602329221.0,124491781081.0,53890.0,51345339485.0,341675993.0,516.0,53375.0,244183040.0,308727808.0,319025152.0,47.21,45.2,2.01
docker_container_and_daemon,14,2025-03-29T22:31:30.454253,247904607499.37,328843706947.01,233874027.27,59638850723.88,127058705215.07,59250.7,53304516075.14,344794635.42,661.97,58498.24,289315840.0,357220352.0,425676800.0,47.31,45.230000000000004,2.0799999999999996
docker_container_and_daemon_extra_overhead,14,2025-03-29T22:31:30.454253,247887204079.37,328838959111.01,233679560.27,59636505947.88,127045884200.07,59250.7,51345339485.0,344540243.42,661.97,58498.24,261069824.0,328974336.0,319025152.0,47.300000000000004,45.230000000000004,2.0799999999999996
native,11,2025-03-29T22:35:46.804610,155905596599.0,197652249524.0,185691824.0,36220921796.0,77722046576.0,53509.0,32312710011.0,303057975.0,527.0,52982.0,298654903.79,322740224.0,322740224.0,54.39,52.69,1.69
wasm_aot,13,2025-03-29T22:38:04.339950,161274841044.0,206308503464.0,197703888.0,38015790600.0,81427947099.0,143862.0,33141107006.0,317816336.0,483.0,143379.0,348551475.2,435556352.0,435818496.0,54.37,52.43,1.93
docker_container,15,2025-03-29T22:40:26.767441,174204185572.0,230433050063.0,183066486.0,41598261874.0,89856855791.0,53553.0,37721863545.0,284663425.0,526.0,53020.0,262062762.67,324968448.0,328503296.0,35.1,33.53,1.57
docker_container_and_daemon,15,2025-03-29T22:40:26.767441,174628754153.41,234768543969.83,185455580.43,43133018102.91,90052073257.04,57306.51,38436530028.91,287447040.38,662.27,56583.56,305351230.88,371200000.0,435154944.0,35.2,33.56,1.6400000000000001
docker_container_and_daemon_extra_overhead,15,2025-03-29T22:40:26.767441,174628754153.41,234768543969.83,185455580.43,43133018102.91,90052073257.04,57306.51,38436530028.91,287447040.38,662.27,56583.56,275458622.88,341307392.0,328503296.0,35.2,33.56,1.6400000000000001
wasm_aot,14,2025-03-29T22:44:32.921367,156399826046.0,197384199727.0,201134835.0,36687202296.0,79645085615.0,145103.0,32186383278.0,322664475.0,737.0,144366.0,354673600.79,452915200.0,453177344.0,52.9,51.07,1.83
native,12,2025-03-29T22:46:54.658189,158437056108.0,201380906973.0,188509845.0,36416812025.0,80151049471.0,52487.0,32299432430.0,318825420.0,43.0,52444.0,302173849.6,319881216.0,320528384.0,54.78,53.05,1.72
docker_container,16,2025-03-29T22:49:10.968964,213381165593.0,277421613574.0,208904015.0,47990755183.0,102733518867.0,53338.0,44099242409.0,303931940.0,502.0,52837.0,197116996.27,246345728.0,246947840.0,45.36,43.44,1.93
