deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
native,1,2025-03-30T16:41:51.859054+00:00,90715658601.0,104233229948.0,147059199.0,19525391241.0,46312846572.0,70854.0,15298879605.0,419733019.0,217.0,70637.0,312164708.17,332734464.0,333377536.0,54.19,52.56,1.32
docker_container,1,2025-03-30T16:42:51.386976+00:00,231141566178.0,298986028618.0,219630636.0,52751916849.0,114779730094.0,66802.0,48480310714.0,422191162.0,532.0,66271.0,262217094.1,275582976.0,275632128.0,53.21,50.88,2.31
docker_container_and_daemon,1,2025-03-30T16:42:51.386976+00:00,235914214188.66,302304285133.81,222367136.69,53804979172.08,115549934552.09,69635.08,48771256546.82,429700102.41,543.15,69090.88,302607000.13,316669952.0,380387328.0,53.31,50.910000000000004,2.38
docker_container_and_daemon_extra_overhead,1,2025-03-30T16:42:51.386976+00:00,235895698145.66,302299837033.81,222220696.69,53803770955.08,115540754205.09,69635.08,48770870077.82,429556430.41,543.15,69090.88,266255000.13,280317952.0,275632128.0,53.300000000000004,50.910000000000004,2.37
native,2,2025-03-30T16:45:29.686593+00:00,113869392567.0,130397384826.0,153853223.0,24088088526.0,54043928057.0,69899.0,20333083430.0,342207054.0,361.0,69538.0,289419980.8,318984192.0,319299584.0,55.82,54.13,1.66
wasm_aot,1,2025-03-30T16:46:50.236924+00:00,114301627336.0,133428482235.0,174439762.0,25051734215.0,55817210281.0,143579.0,21139118513.0,359817821.0,472.0,143107.0,335459961.9,429727744.0,435568640.0,56.25,54.32,1.9
docker_container,2,2025-03-30T16:48:14.346444+00:00,265427577116.0,342384067233.0,240818694.0,59770546286.0,128810942671.0,67941.0,54623078589.0,370605576.0,521.0,67420.0,343081664.0,373010432.0,373370880.0,52.54,50.32,2.22
docker_container_and_daemon,2,2025-03-30T16:48:14.346444+00:00,270785742855.18,348308055512.1,243227838.53,61389272883.66,131436918423.36,72638.08,55346637941.81,383817269.19,584.82,72022.87,381219160.7,412196864.0,478126080.0,52.63,50.35,2.2800000000000002
docker_container_and_daemon_extra_overhead,2,2025-03-30T16:48:14.346444+00:00,266908660154.18,344402008949.1,243170879.53,60247046547.66,129568494804.36,72638.08,55066532153.81,370605576.0,584.82,72022.87,352682328.7,383660032.0,373370880.0,52.63,50.35,2.2800000000000002
docker_container,3,2025-03-30T16:51:51.466408+00:00,244138355898.0,320611294596.0,228368989.0,56804538960.0,121055478438.0,66672.0,51831928064.0,348192273.0,0.0,66657.0,184733582.22,200540160.0,201048064.0,50.32,48.39,1.94
