deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-03-30T19:12:34.099246+00:00,27.71
native,1,2025-03-30T19:13:01.854358+00:00,26.44
docker,1,2025-03-30T19:13:28.314156+00:00,33.22
wasm_aot,2,2025-03-30T19:14:01.751253+00:00,28.1
docker,2,2025-03-30T19:14:29.863946+00:00,31.43
wasm_aot,3,2025-03-30T19:15:01.494546+00:00,28.05
wasm_aot,4,2025-03-30T19:15:29.560987+00:00,31.1
native,2,2025-03-30T19:16:00.675056+00:00,26.21
native,3,2025-03-30T19:16:26.907058+00:00,26.06
wasm_aot,5,2025-03-30T19:16:52.981170+00:00,28.42
wasm_aot,6,2025-03-30T19:17:21.417812+00:00,28.18
native,4,2025-03-30T19:17:49.612106+00:00,26.88
native,5,2025-03-30T19:18:16.506759+00:00,26.15
docker,3,2025-03-30T19:18:42.674478+00:00,29.65
wasm_aot,7,2025-03-30T19:19:12.581368+00:00,28.13
wasm_aot,8,2025-03-30T19:19:40.727647+00:00,29.57
docker,4,2025-03-30T19:20:10.312904+00:00,27.61
native,6,2025-03-30T19:20:38.163305+00:00,26.5
docker,5,2025-03-30T19:21:04.676129+00:00,27.55
native,7,2025-03-30T19:21:32.446588+00:00,26.04
native,8,2025-03-30T19:21:58.495663+00:00,26.5
docker,6,2025-03-30T19:22:25.006120+00:00,27.65
native,9,2025-03-30T19:22:52.860978+00:00,26.14
docker,7,2025-03-30T19:23:19.014611+00:00,27.75
wasm_aot,9,2025-03-30T19:23:46.978563+00:00,27.9
docker,8,2025-03-30T19:24:14.892484+00:00,28.48
native,10,2025-03-30T19:24:43.603272+00:00,26.3
wasm_aot,10,2025-03-30T19:25:09.915662+00:00,28.18
native,11,2025-03-30T19:25:38.108752+00:00,26.97
docker,9,2025-03-30T19:26:05.088349+00:00,27.72
docker,10,2025-03-30T19:26:33.023403+00:00,27.34
wasm_aot,11,2025-03-30T19:27:00.579647+00:00,28.36
native,12,2025-03-30T19:27:28.949544+00:00,26.39
wasm_aot,12,2025-03-30T19:27:55.381228+00:00,28.19
docker,11,2025-03-30T19:28:23.588830+00:00,28.69
wasm_aot,13,2025-03-30T19:28:52.500591+00:00,27.92
docker,12,2025-03-30T19:29:20.433704+00:00,28.9
wasm_aot,14,2025-03-30T19:29:49.557431+00:00,27.71
docker,13,2025-03-30T19:30:17.281206+00:00,29.06
native,13,2025-03-30T19:30:46.564251+00:00,26.63
native,14,2025-03-30T19:31:13.208976+00:00,26.38
native,15,2025-03-30T19:31:39.598206+00:00,26.42
native,16,2025-03-30T19:32:06.034250+00:00,26.79
wasm_aot,15,2025-03-30T19:32:32.835478+00:00,28.23
wasm_aot,16,2025-03-30T19:33:01.079274+00:00,28.34
docker,14,2025-03-30T19:33:29.435807+00:00,28.51
docker,15,2025-03-30T19:33:58.163812+00:00,27.66
docker,16,2025-03-30T19:34:26.011960+00:00,27.41
native,17,2025-03-30T19:34:53.636501+00:00,26.25
native,18,2025-03-30T19:35:19.903701+00:00,26.3
docker,17,2025-03-30T19:35:46.221578+00:00,27.65
docker,18,2025-03-30T19:36:14.080546+00:00,27.12
native,19,2025-03-30T19:36:41.407393+00:00,26.21
docker,19,2025-03-30T19:37:07.638868+00:00,27.32
wasm_aot,17,2025-03-30T19:37:35.186351+00:00,28.11
native,20,2025-03-30T19:38:03.311081+00:00,27.08
wasm_aot,18,2025-03-30T19:38:30.407828+00:00,27.58
wasm_aot,19,2025-03-30T19:38:57.996431+00:00,28.76
wasm_aot,20,2025-03-30T19:39:26.776386+00:00,28.03
docker,20,2025-03-30T19:39:54.822489+00:00,28.63
