deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
docker_container,1,2025-03-30T06:07:46.077029+00:00,35206165026.0,43058381208.0,34095773.0,7292095196.0,16135756288.0,15919.0,6574530752.0,116589113.0,110.0,15810.0,77898043.08,88129536.0,88387584.0,43.31,41.06,2.26
docker_container_and_daemon,1,2025-03-30T06:07:46.077029+00:00,36520901359.58,43570151285.7,38853794.44,7546196916.73,16318375685.53,15970.53,6616348549.65,117679546.41,110.0,15861.53,130154811.08,142684160.0,192434176.0,43.43,41.11,2.3299999999999996
docker_container_and_daemon_extra_overhead,1,2025-03-30T06:07:46.077029+00:00,36519181306.58,43569828921.7,38837929.44,7546028606.73,16317107644.53,15970.53,6616295621.65,117660995.41,110.0,15861.53,77898043.08,89391104.0,88387584.0,43.43,41.11,2.3299999999999996
wasm_aot,1,2025-03-30T06:09:04.293679+00:00,16316544917.0,15951772072.0,24294087.0,3162655999.0,7859964152.0,33496.0,2218653848.0,121089355.0,643.0,32875.0,111882825.14,160792576.0,167669760.0,31.51,29.32,1.8
native,1,2025-03-30T06:09:36.665394+00:00,13978470036.0,14468383454.0,22296268.0,2826915524.0,7882112894.0,15921.0,2235936221.0,155958578.0,20.0,15901.0,44778291.2,57552896.0,60043264.0,50.35,47.87,1.53
native,2,2025-03-30T06:10:04.262770+00:00,13382485393.0,13469906579.0,19114390.0,2728695034.0,7815195407.0,15829.0,1941631632.0,114180501.0,0.0,15829.0,40635392.0,55980032.0,56061952.0,47.6,46.06,1.57
native,3,2025-03-30T06:10:31.498773+00:00,16522144918.0,18657845221.0,22664704.0,2891043625.0,7213028122.0,15910.0,2156633613.0,113324661.0,0.0,15910.0,41810329.6,53501952.0,56102912.0,52.71,50.25,1.48
docker_container,2,2025-03-30T06:10:59.124570+00:00,29200294030.0,33277319986.0,30278126.0,6034192222.0,14502773729.0,17069.0,5640907837.0,132004983.0,452.0,16613.0,85390429.09,100118528.0,102125568.0,41.11,39.11,1.95
docker_container_and_daemon,2,2025-03-30T06:10:59.124570+00:00,30142681529.43,34228477170.0,30478294.0,6528561694.0,15127891708.43,17086.14,5805471809.57,139251481.29,452.0,16630.14,121918557.09,136650752.0,206172160.0,41.19,39.14,1.99
docker_container_and_daemon_extra_overhead,2,2025-03-30T06:10:59.124570+00:00,29821792478.43,34147011821.0,30278126.0,6528431953.0,15127144427.43,17086.14,5805409789.57,139235767.29,452.0,16630.14,85513309.09,100245504.0,102125568.0,41.19,39.14,1.99
native,4,2025-03-30T06:11:49.507737+00:00,13779798101.0,13808729334.0,18290934.0,2666530297.0,7496110779.0,16017.0,2358545372.0,113593581.0,262.0,15755.0,53319680.0,73969664.0,76005376.0,52.72,49.2,1.73
wasm_aot,2,2025-03-30T06:12:17.341182+00:00,15079227822.0,16230455866.0,23915291.0,2902491052.0,7703339498.0,33203.0,2329419570.0,124885216.0,109.0,33094.0,69031253.33,94253056.0,105717760.0,54.11,50.36,2.37
docker_container,3,2025-03-30T06:12:45.231771+00:00,27752776228.0,30243719858.0,28879285.0,5055317781.0,12629564917.0,16124.0,4803272589.0,123938936.0,85.0,16035.0,70078008.89,80801792.0,82415616.0,48.67,46.31,2.31
docker_container_and_daemon,3,2025-03-30T06:12:45.231771+00:00,29221822063.82,30965456667.22,29156292.31,5607592268.2,13471874095.54,16128.63,5002634520.37,129561856.24,85.0,16039.63,107445816.89,118173696.0,186462208.0,48.77,46.34,2.38
docker_container_and_daemon_extra_overhead,3,2025-03-30T06:12:45.231771+00:00,29220522443.82,30773454450.22,29147848.31,5429177561.2,13225622134.54,16128.63,4929528650.37,129554308.24,85.0,16039.63,72465976.89,83193856.0,82415616.0,48.77,46.34,2.38
wasm_aot,3,2025-03-30T06:13:31.768809+00:00,18657166213.0,18958767102.0,22492923.0,3192503315.0,7619334777.0,32891.0,2491768575.0,144549525.0,26.0,32865.0,67380838.4,86642688.0,98861056.0,57.19,53.89,1.78
wasm_aot,4,2025-03-30T06:14:00.072645+00:00,14084947387.0,13424096873.0,18915736.0,2357402031.0,6482043477.0,32683.0,1476841254.0,87611949.0,0.0,32683.0,71480320.0,96395264.0,109166592.0,38.87,35.27,1.84
docker_container,4,2025-03-30T06:14:28.363847+00:00,26694512507.0,32005371537.0,32807897.0,5694276375.0,13704429448.0,16130.0,4835090457.0,133952254.0,64.0,16066.0,59662745.6,69672960.0,70615040.0,46.42,44.1,2.31
docker_container_and_daemon,4,2025-03-30T06:14:28.363847+00:00,27179698634.6,32670388968.6,32902994.6,6170680025.4,13712579482.0,16130.0,4991730289.8,134046053.2,64.0,16066.0,97763737.6,107991040.0,174661632.0,46.47,44.120000000000005,2.34
docker_container_and_daemon_extra_overhead,4,2025-03-30T06:14:28.363847+00:00,27176545902.6,32669930985.6,32886605.6,6170423623.4,13711369232.0,16130.0,4991687886.8,134018942.2,64.0,16066.0,60608921.6,70836224.0,70615040.0,46.46,44.120000000000005,2.34
native,5,2025-03-30T06:15:14.614128+00:00,13871559599.0,15356083306.0,19504948.0,2831534858.0,7396012204.0,16181.0,2001711924.0,111191532.0,2.0,16179.0,60192768.0,61464576.0,63979520.0,48.61,47.6,1.0
docker_container,5,2025-03-30T06:15:42.126854+00:00,23565788569.0,27858610596.0,28195481.0,5188995353.0,12104661797.0,15678.0,4145384447.0,122323304.0,2.0,15673.0,46922605.71,55619584.0,57651200.0,45.14,43.26,1.82
docker_container_and_daemon,5,2025-03-30T06:15:42.126854+00:00,23833653423.75,28586814944.06,29393656.81,5532298960.74,12243059627.98,16003.1,4323718861.33,123997002.56,2.0,15998.1,86007149.71000001,94814208.0,161697792.0,45.7,43.47,2.17
docker_container_and_daemon_extra_overhead,5,2025-03-30T06:15:42.126854+00:00,23833095339.75,28586688428.06,29391462.81,5532249939.74,12242833895.98,16003.1,4323700587.33,123992892.56,2.0,15998.1,48184685.71,56991744.0,57651200.0,45.7,43.47,2.17
wasm_aot,5,2025-03-30T06:16:26.973663+00:00,16358389500.0,15968204211.0,22315462.0,3122700185.0,7894918275.0,33095.0,2255636523.0,139942068.0,5.0,33090.0,72822784.0,93941760.0,105185280.0,55.77,51.44,2.26
docker_container,6,2025-03-30T06:16:55.232297+00:00,23345934286.0,26407568278.0,23356759.0,4501215001.0,11923243134.0,15910.0,4515088532.0,134377824.0,173.0,15738.0,62522880.0,79785984.0,80535552.0,43.81,41.74,1.93
docker_container_and_daemon,6,2025-03-30T06:16:55.232297+00:00,23396283386.51,27664927768.96,23692316.41,4921349769.74,11950344200.4,15936.21,4687754178.89,138766448.77,173.0,15764.21,102115840.0,119595008.0,184582144.0,43.95,41.800000000000004,2.02
docker_container_and_daemon_extra_overhead,6,2025-03-30T06:16:55.232297+00:00,23395303355.51,27203478905.96,23685875.41,4744586694.74,11949416505.4,15936.21,4623689385.89,138757423.77,173.0,15764.21,63130112.0,80609280.0,80535552.0,43.95,41.800000000000004,2.02
native,6,2025-03-30T06:17:40.504907+00:00,9732715476.0,9830284444.0,15986389.0,1919305238.0,4838378142.0,15804.0,1664333768.0,118323209.0,7.0,15797.0,39638016.0,54185984.0,56475648.0,42.87,40.11,1.55
