deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-03-30T06:41:42.919423+00:00,6.13
docker,2,2025-03-30T06:41:49.210968+00:00,5.35
docker,3,2025-03-30T06:41:54.725600+00:00,5.62
native,1,2025-03-30T06:42:00.499768+00:00,4.05
wasm_aot,1,2025-03-30T06:42:04.564728+00:00,5.12
native,2,2025-03-30T06:42:09.698211+00:00,4.49
native,3,2025-03-30T06:42:14.205858+00:00,4.51
docker,4,2025-03-30T06:42:18.728661+00:00,6.22
docker,5,2025-03-30T06:42:25.115864+00:00,5.84
native,4,2025-03-30T06:42:31.124016+00:00,4.51
wasm_aot,2,2025-03-30T06:42:35.644434+00:00,4.97
docker,6,2025-03-30T06:42:40.624215+00:00,5.85
docker,7,2025-03-30T06:42:46.637012+00:00,5.83
wasm_aot,3,2025-03-30T06:42:52.635225+00:00,4.99
wasm_aot,4,2025-03-30T06:42:57.632683+00:00,5.21
docker,8,2025-03-30T06:43:02.858665+00:00,5.86
docker,9,2025-03-30T06:43:08.889362+00:00,5.84
docker,10,2025-03-30T06:43:14.903285+00:00,6.4
docker,11,2025-03-30T06:43:21.473501+00:00,6.1
docker,12,2025-03-30T06:43:27.736746+00:00,5.99
wasm_aot,5,2025-03-30T06:43:33.894186+00:00,4.89
native,5,2025-03-30T06:43:38.792992+00:00,4.85
docker,13,2025-03-30T06:43:43.652921+00:00,6.16
docker,14,2025-03-30T06:43:49.985287+00:00,6.13
docker,15,2025-03-30T06:43:56.280359+00:00,6.15
native,6,2025-03-30T06:44:02.601267+00:00,4.37
docker,16,2025-03-30T06:44:06.988113+00:00,6.04
native,7,2025-03-30T06:44:13.223203+00:00,4.67
native,8,2025-03-30T06:44:17.903962+00:00,4.63
docker,17,2025-03-30T06:44:22.540865+00:00,6.38
native,9,2025-03-30T06:44:29.091203+00:00,4.58
native,10,2025-03-30T06:44:33.679179+00:00,4.83
wasm_aot,6,2025-03-30T06:44:38.525667+00:00,5.26
docker,18,2025-03-30T06:44:43.801067+00:00,6.29
wasm_aot,7,2025-03-30T06:44:50.272233+00:00,5.2
native,11,2025-03-30T06:44:55.488298+00:00,4.92
native,12,2025-03-30T06:45:00.429258+00:00,4.75
wasm_aot,8,2025-03-30T06:45:05.190397+00:00,5.34
native,13,2025-03-30T06:45:10.542868+00:00,4.85
native,14,2025-03-30T06:45:15.399977+00:00,4.89
wasm_aot,9,2025-03-30T06:45:20.304387+00:00,5.34
native,15,2025-03-30T06:45:25.660378+00:00,4.76
native,16,2025-03-30T06:45:30.430651+00:00,4.98
wasm_aot,10,2025-03-30T06:45:35.423317+00:00,5.38
wasm_aot,11,2025-03-30T06:45:40.819822+00:00,5.1
docker,19,2025-03-30T06:45:45.931112+00:00,6.66
native,17,2025-03-30T06:45:52.774935+00:00,4.77
wasm_aot,12,2025-03-30T06:45:57.559111+00:00,5.22
native,18,2025-03-30T06:46:02.793655+00:00,4.71
native,19,2025-03-30T06:46:07.518484+00:00,4.98
wasm_aot,13,2025-03-30T06:46:12.513184+00:00,5.44
wasm_aot,14,2025-03-30T06:46:17.967014+00:00,5.07
docker,20,2025-03-30T06:46:23.047087+00:00,6.2
wasm_aot,15,2025-03-30T06:46:29.433212+00:00,5.16
wasm_aot,16,2025-03-30T06:46:34.608182+00:00,5.33
wasm_aot,17,2025-03-30T06:46:39.953938+00:00,5.41
wasm_aot,18,2025-03-30T06:46:45.378903+00:00,5.54
wasm_aot,19,2025-03-30T06:46:50.934645+00:00,5.23
native,20,2025-03-30T06:46:56.174264+00:00,4.97
wasm_aot,20,2025-03-30T06:47:01.165139+00:00,5.13
