deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
docker_container,1,2025-03-30T05:28:00.761431+00:00,26083075571.0,28426415023.0,27322095.0,5061027464.0,12065672127.0,16894.0,4268224781.0,123857883.0,405.0,16489.0,89501286.4,108072960.0,109559808.0,39.29,37.07,2.23
docker_container_and_daemon,1,2025-03-30T05:28:00.761431+00:00,27000223097.86,29256988949.86,27570376.14,5244156053.71,12263056711.0,16985.43,4321615021.0,124079782.43,406.07,16579.29,149126758.4,167727104.0,213606400.0,39.4,37.09,2.32
docker_container_and_daemon_extra_overhead,1,2025-03-30T05:28:00.761431+00:00,27000223097.86,29256988949.86,27570376.14,5244156053.71,12263056711.0,16985.43,4321615021.0,124079782.43,406.07,16579.29,92876390.4,111476736.0,109559808.0,39.4,37.09,2.32
native,1,2025-03-30T05:29:19.621217+00:00,12553454923.0,10878782973.0,12675237.0,2023988307.0,5514737132.0,16065.0,1390861675.0,102725856.0,0.0,16065.0,52985856.0,54870016.0,57163776.0,63.18,61.37,1.37
docker_container,2,2025-03-30T05:30:13.664096+00:00,21455944241.0,24178126972.0,26195380.0,4131708478.0,10120447006.0,15959.0,3629003352.0,112845079.0,8.0,15950.0,47147300.57,56352768.0,57307136.0,52.82,50.58,2.19
docker_container_and_daemon,2,2025-03-30T05:30:13.664096+00:00,21502107728.11,25242597826.66,26478888.38,4314237908.38,10147233355.55,15981.65,3704251525.81,113127682.53,8.0,15972.65,107278921.14,117518336.0,161353728.0,52.97,50.629999999999995,2.29
docker_container_and_daemon_extra_overhead,2,2025-03-30T05:30:13.664096+00:00,21455944241.0,24865996094.66,26472561.38,4221209026.38,10120447006.0,15981.65,3675151058.81,112845079.0,8.0,15972.65,47147300.57,57155584.0,57307136.0,52.97,50.629999999999995,2.29
native,2,2025-03-30T05:30:57.678703+00:00,12807755753.0,12628029786.0,18955946.0,2426714707.0,5220742865.0,15792.0,1539526085.0,119212225.0,22.0,15770.0,70230016.0,76214272.0,78950400.0,40.36,39.24,0.86
native,3,2025-03-30T05:31:25.550369+00:00,15017840276.0,16238229544.0,24437536.0,2678652774.0,6562211185.0,15853.0,1946200041.0,112276480.0,0.0,15853.0,51818496.0,53248000.0,56201216.0,62.27,60.59,1.32
wasm_aot,1,2025-03-30T05:31:51.911869+00:00,13118740224.0,11881076578.0,19346934.0,2566219790.0,8010745386.0,34023.0,2160950034.0,145100607.0,194.0,33829.0,76938444.8,100933632.0,109445120.0,41.27,38.47,1.95
docker_container,3,2025-03-30T05:32:20.364445+00:00,28695478762.0,34950108503.0,31322421.0,6281442326.0,14728256030.0,16377.0,5354552708.0,128559590.0,267.0,16108.0,78324829.09,90923008.0,93544448.0,43.4,41.47,1.91
