deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-03-30T06:02:15.785749+00:00,4.84
docker,1,2025-03-30T06:02:20.671217+00:00,5.43
native,1,2025-03-30T06:02:26.250963+00:00,4.17
wasm_aot,2,2025-03-30T06:02:30.435283+00:00,4.65
wasm_aot,3,2025-03-30T06:02:35.092330+00:00,4.79
native,2,2025-03-30T06:02:39.893692+00:00,4.5
docker,2,2025-03-30T06:02:44.410016+00:00,5.92
docker,3,2025-03-30T06:02:50.490475+00:00,6.02
wasm_aot,4,2025-03-30T06:02:56.675150+00:00,5.04
native,3,2025-03-30T06:03:01.729263+00:00,4.34
wasm_aot,5,2025-03-30T06:03:06.076333+00:00,4.97
docker,4,2025-03-30T06:03:11.058070+00:00,6.15
native,4,2025-03-30T06:03:17.387134+00:00,4.85
docker,5,2025-03-30T06:03:22.250273+00:00,6.11
wasm_aot,6,2025-03-30T06:03:28.528225+00:00,4.98
wasm_aot,7,2025-03-30T06:03:33.519450+00:00,5.19
wasm_aot,8,2025-03-30T06:03:38.725156+00:00,5.81
native,5,2025-03-30T06:03:44.544433+00:00,4.61
docker,6,2025-03-30T06:03:49.164752+00:00,6.01
native,6,2025-03-30T06:03:55.346224+00:00,4.59
native,7,2025-03-30T06:03:59.950710+00:00,4.92
wasm_aot,9,2025-03-30T06:04:04.880116+00:00,5.17
native,8,2025-03-30T06:04:10.061007+00:00,4.7
docker,7,2025-03-30T06:04:14.769829+00:00,5.96
docker,8,2025-03-30T06:04:20.905735+00:00,6.12
native,9,2025-03-30T06:04:27.200212+00:00,4.55
native,10,2025-03-30T06:04:31.759347+00:00,4.76
native,11,2025-03-30T06:04:36.537434+00:00,5.05
wasm_aot,10,2025-03-30T06:04:41.605292+00:00,5.18
native,12,2025-03-30T06:04:46.802380+00:00,4.89
docker,9,2025-03-30T06:04:51.707862+00:00,6.42
docker,10,2025-03-30T06:04:58.313477+00:00,6.03
docker,11,2025-03-30T06:05:04.520957+00:00,6.46
wasm_aot,11,2025-03-30T06:05:11.158990+00:00,5.01
wasm_aot,12,2025-03-30T06:05:16.180483+00:00,5.4
docker,12,2025-03-30T06:05:21.588832+00:00,6.63
wasm_aot,13,2025-03-30T06:05:28.385302+00:00,5.16
native,13,2025-03-30T06:05:33.554085+00:00,5.23
docker,13,2025-03-30T06:05:38.798727+00:00,6.57
docker,14,2025-03-30T06:05:45.553748+00:00,6.37
native,14,2025-03-30T06:05:52.103926+00:00,4.86
docker,15,2025-03-30T06:05:56.976320+00:00,6.33
docker,16,2025-03-30T06:06:03.492040+00:00,6.4
native,15,2025-03-30T06:06:10.062794+00:00,4.93
wasm_aot,14,2025-03-30T06:06:15.001749+00:00,5.47
wasm_aot,15,2025-03-30T06:06:20.483407+00:00,5.43
wasm_aot,16,2025-03-30T06:06:25.926170+00:00,5.5
docker,17,2025-03-30T06:06:31.439879+00:00,6.55
native,16,2025-03-30T06:06:38.169665+00:00,4.62
wasm_aot,17,2025-03-30T06:06:42.803763+00:00,5.48
wasm_aot,18,2025-03-30T06:06:48.298559+00:00,5.51
native,17,2025-03-30T06:06:53.825717+00:00,5.12
wasm_aot,19,2025-03-30T06:06:58.962204+00:00,5.31
native,18,2025-03-30T06:07:04.284836+00:00,4.62
docker,18,2025-03-30T06:07:08.914486+00:00,6.41
native,19,2025-03-30T06:07:15.507306+00:00,4.78
wasm_aot,20,2025-03-30T06:07:20.296370+00:00,5.47
native,20,2025-03-30T06:07:25.773991+00:00,4.92
docker,19,2025-03-30T06:07:30.702931+00:00,6.51
docker,20,2025-03-30T06:07:37.397118+00:00,6.2
