deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
native,1,2025-03-30T06:47:08.636347+00:00,18932133264.0,15997094740.0,22102427.0,3034038072.0,7701846770.0,32021.0,2301512437.0,137063319.0,0.0,32021.0,67464396.8,72093696.0,111235072.0,41.01,39.43,1.35
docker_container,1,2025-03-30T06:48:23.272868+00:00,31890746858.0,35023144152.0,32367764.0,6279161586.0,14576383002.0,33080.0,5524615351.0,121450367.0,539.0,32542.0,109649627.43,150503424.0,162197504.0,38.5,36.26,2.23
docker_container_and_daemon,1,2025-03-30T06:48:23.272868+00:00,33140520081.86,35728339084.32,33522983.28,6537495182.1,15450633538.42,35001.66,5632404500.49,133551310.09,546.27,34456.39,149312073.14000002,190599168.0,266244096.0,38.83,36.339999999999996,2.48
docker_container_and_daemon_extra_overhead,1,2025-03-30T06:48:23.272868+00:00,33137680404.86,35663941515.32,33498887.28,6536527195.1,15445870011.42,35001.66,5631748393.49,133482539.09,546.27,34456.39,112239177.14000002,153526272.0,162197504.0,38.83,36.339999999999996,2.48
native,2,2025-03-30T06:49:19.089300+00:00,15876108015.0,14617673915.0,24852398.0,2768088378.0,6877162099.0,32425.0,1741253214.0,89476082.0,49.0,32376.0,50444697.6,85004288.0,96702464.0,44.99,48.15,2.27
wasm_aot,1,2025-03-30T06:49:47.380036+00:00,15895687820.0,14457296851.0,22228372.0,2888398890.0,7463289545.0,39448.0,2505502058.0,162776565.0,220.0,39228.0,115268812.8,144183296.0,144371712.0,33.22,31.44,1.77
wasm_aot,2,2025-03-30T06:50:18.417472+00:00,17535277200.0,19309163571.0,27582741.0,3452463827.0,8553069984.0,40209.0,2154840438.0,116903618.0,51.0,40158.0,93489834.67,121454592.0,122298368.0,40.3,38.29,1.85
docker_container,2,2025-03-30T06:50:48.538471+00:00,34063972156.0,39889816198.0,32822720.0,7171721402.0,17363680286.0,33048.0,6328555844.0,142140793.0,520.0,32529.0,106531225.6,149028864.0,157569024.0,41.89,39.66,2.23
docker_container_and_daemon,2,2025-03-30T06:50:48.538471+00:00,35169554904.6,41027026223.2,33531336.0,7486666519.51,18470167833.97,34189.8,6561568998.57,157608120.24,520.0,33668.63,145721123.45,188747776.0,261615616.0,42.1,39.75,2.36
docker_container_and_daemon_extra_overhead,2,2025-03-30T06:50:48.538471+00:00,35168400360.6,41026566045.2,33523920.0,7420337092.51,18469194450.97,34189.8,6555611175.57,156261253.24,520.0,33668.63,106531225.6,149356544.0,157569024.0,42.1,39.75,2.36
