deployment-mechanism,trial-number,start-time,wall-time-seconds
native,1,2025-03-30T07:22:42.452495+00:00,5.04
native,2,2025-03-30T07:22:47.537373+00:00,5.15
wasm_aot,1,2025-03-30T07:22:52.694919+00:00,5.88
wasm_aot,2,2025-03-30T07:22:58.584849+00:00,5.63
wasm_aot,3,2025-03-30T07:23:04.230159+00:00,5.66
docker,1,2025-03-30T07:23:09.906060+00:00,6.6
wasm_aot,4,2025-03-30T07:23:16.667912+00:00,5.94
docker,2,2025-03-30T07:23:22.614694+00:00,6.83
docker,3,2025-03-30T07:23:29.598315+00:00,6.59
docker,4,2025-03-30T07:23:36.348337+00:00,6.87
docker,5,2025-03-30T07:23:43.377126+00:00,6.92
docker,6,2025-03-30T07:23:50.454726+00:00,6.6
docker,7,2025-03-30T07:23:57.208751+00:00,6.6
docker,8,2025-03-30T07:24:03.962149+00:00,6.67
native,3,2025-03-30T07:24:10.798162+00:00,5.27
native,4,2025-03-30T07:24:16.075194+00:00,5.52
native,5,2025-03-30T07:24:21.613619+00:00,5.93
wasm_aot,5,2025-03-30T07:24:27.555197+00:00,6.03
wasm_aot,6,2025-03-30T07:24:33.598239+00:00,6.06
wasm_aot,7,2025-03-30T07:24:39.669642+00:00,6.57
wasm_aot,8,2025-03-30T07:24:46.251442+00:00,6.04
native,6,2025-03-30T07:24:52.307265+00:00,5.88
native,7,2025-03-30T07:24:58.201666+00:00,5.85
native,8,2025-03-30T07:25:04.066941+00:00,5.64
wasm_aot,9,2025-03-30T07:25:09.716019+00:00,6.16
native,9,2025-03-30T07:25:15.896023+00:00,5.61
docker,9,2025-03-30T07:25:21.520657+00:00,7.14
docker,10,2025-03-30T07:25:28.852657+00:00,6.98
native,10,2025-03-30T07:25:35.994412+00:00,5.49
docker,11,2025-03-30T07:25:41.500638+00:00,7.13
wasm_aot,10,2025-03-30T07:25:48.802014+00:00,6.22
docker,12,2025-03-30T07:25:55.031863+00:00,7.23
docker,13,2025-03-30T07:26:02.420958+00:00,6.84
wasm_aot,11,2025-03-30T07:26:09.424025+00:00,5.93
wasm_aot,12,2025-03-30T07:26:15.370108+00:00,6.16
wasm_aot,13,2025-03-30T07:26:21.536913+00:00,6.44
native,11,2025-03-30T07:26:27.984873+00:00,5.53
docker,14,2025-03-30T07:26:33.530300+00:00,7.22
native,12,2025-03-30T07:26:40.917971+00:00,5.52
wasm_aot,14,2025-03-30T07:26:46.449011+00:00,6.33
native,13,2025-03-30T07:26:52.794100+00:00,5.9
docker,15,2025-03-30T07:26:58.712091+00:00,7.06
docker,16,2025-03-30T07:27:05.957849+00:00,7.1
native,14,2025-03-30T07:27:13.222517+00:00,5.66
wasm_aot,15,2025-03-30T07:27:18.891820+00:00,6.75
native,15,2025-03-30T07:27:25.655605+00:00,5.83
native,16,2025-03-30T07:27:31.496719+00:00,5.78
docker,17,2025-03-30T07:27:37.289781+00:00,7.11
native,17,2025-03-30T07:27:44.566833+00:00,5.4
docker,18,2025-03-30T07:27:49.981060+00:00,7.32
wasm_aot,16,2025-03-30T07:27:57.474469+00:00,6.28
wasm_aot,17,2025-03-30T07:28:03.762380+00:00,6.56
docker,19,2025-03-30T07:28:10.335980+00:00,6.93
native,18,2025-03-30T07:28:17.436600+00:00,5.74
wasm_aot,18,2025-03-30T07:28:23.185302+00:00,6.71
wasm_aot,19,2025-03-30T07:28:29.911245+00:00,6.54
wasm_aot,20,2025-03-30T07:28:36.464891+00:00,6.4
native,19,2025-03-30T07:28:42.879135+00:00,5.68
docker,20,2025-03-30T07:28:48.570772+00:00,7.3
native,20,2025-03-30T07:28:56.044931+00:00,5.84
