deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
docker_container,1,2025-03-30T07:29:04.162486+00:00,18005465781.0,20743889753.0,21386708.0,3376457678.0,8455631376.0,11813.0,2867387234.0,112932036.0,258.0,11554.0,60369773.71,72749056.0,73117696.0,36.09,34.34,1.75
docker_container_and_daemon,1,2025-03-30T07:29:04.162486+00:00,18028415263.5,21025637692.67,22523452.0,3404866556.17,8469025968.17,11866.67,2871436275.5,113115838.5,259.08,11604.17,102404096.0,114786304.0,177164288.0,36.190000000000005,34.370000000000005,1.82
docker_container_and_daemon_extra_overhead,1,2025-03-30T07:29:04.162486+00:00,18025851439.5,21025252363.67,22505445.0,3404381998.17,8465203442.17,11863.67,2871436275.5,113115838.5,259.08,11601.17,60369773.71,72749056.0,73117696.0,36.18000000000001,34.370000000000005,1.81
wasm_aot,1,2025-03-30T07:30:08.319755+00:00,6366734046.0,5594573890.0,11299972.0,1358810840.0,3663155422.0,20187.0,878521201.0,72699540.0,712.0,19475.0,97003110.4,132403200.0,134004736.0,21.1,19.49,1.61
docker_container,2,2025-03-30T07:30:37.265569+00:00,12683054306.0,14513937420.0,14022093.0,2653684199.0,7141342863.0,11409.0,2368798671.0,100631071.0,0.0,11254.0,40911667.2,50872320.0,51478528.0,44.71,42.77,1.84
docker_container_and_daemon,2,2025-03-30T07:30:37.265569+00:00,12713963209.3,15027988194.65,14236710.1,2725248611.98,7271638556.01,11410.37,2426107063.06,102341022.47,0.0,11255.37,82932531.2,92893184.0,155525120.0,44.86,42.78,1.98
docker_container_and_daemon_extra_overhead,2,2025-03-30T07:30:37.265569+00:00,12713447592.3,14954352428.65,14233050.1,2713118712.98,7271370282.01,11410.37,2422329984.06,102336650.47,0.0,11255.37,40911667.2,50872320.0,51478528.0,44.86,42.78,1.98
wasm_aot,2,2025-03-30T07:31:16.644951+00:00,4542976760.0,3573080862.0,8277038.0,687662813.0,2439626510.0,19884.0,565378197.0,56323466.0,121.0,19763.0,31984298.67,67637248.0,73650176.0,25.05,20.25,1.74
docker_container,3,2025-03-30T07:31:42.267451+00:00,9064925452.0,9960158178.0,12577874.0,1942620976.0,5395053617.0,11532.0,1627259400.0,79085295.0,0.0,11410.0,35954688.0,49504256.0,50106368.0,45.8,43.59,2.12
docker_container_and_daemon,3,2025-03-30T07:31:42.267451+00:00,9700454063.98,10460437258.47,13976988.4,2048136776.62,5539485531.77,11587.34,1684055035.98,80906204.22,0.0,11465.34,78267187.2,92016640.0,154152960.0,46.82,44.040000000000006,2.7
