deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-03-30T07:59:57.445094+00:00,4.74
docker,2,2025-03-30T08:00:02.325048+00:00,4.06
docker,3,2025-03-30T08:00:06.522075+00:00,4.02
docker,4,2025-03-30T08:00:10.683123+00:00,4.39
wasm_aot,1,2025-03-30T08:00:15.209864+00:00,2.85
native,1,2025-03-30T08:00:18.071022+00:00,2.53
wasm_aot,2,2025-03-30T08:00:20.609727+00:00,3.03
wasm_aot,3,2025-03-30T08:00:23.649026+00:00,3.07
native,2,2025-03-30T08:00:26.739070+00:00,2.77
native,3,2025-03-30T08:00:29.524368+00:00,2.8
native,4,2025-03-30T08:00:32.334213+00:00,2.84
docker,5,2025-03-30T08:00:35.184703+00:00,4.27
native,5,2025-03-30T08:00:39.595193+00:00,2.86
wasm_aot,4,2025-03-30T08:00:42.461609+00:00,3.57
docker,6,2025-03-30T08:00:46.038886+00:00,4.25
native,6,2025-03-30T08:00:50.430564+00:00,2.79
wasm_aot,5,2025-03-30T08:00:53.234625+00:00,3.35
native,7,2025-03-30T08:00:56.593002+00:00,2.92
wasm_aot,6,2025-03-30T08:00:59.523583+00:00,3.75
native,8,2025-03-30T08:01:03.281951+00:00,3.28
wasm_aot,7,2025-03-30T08:01:06.575599+00:00,3.18
docker,7,2025-03-30T08:01:09.766588+00:00,4.53
native,9,2025-03-30T08:01:14.444666+00:00,3.15
docker,8,2025-03-30T08:01:17.609150+00:00,4.39
wasm_aot,8,2025-03-30T08:01:22.159188+00:00,3.25
wasm_aot,9,2025-03-30T08:01:25.415172+00:00,3.39
docker,9,2025-03-30T08:01:28.817290+00:00,4.37
docker,10,2025-03-30T08:01:33.330089+00:00,4.25
docker,11,2025-03-30T08:01:37.736288+00:00,4.32
wasm_aot,10,2025-03-30T08:01:42.199789+00:00,3.29
wasm_aot,11,2025-03-30T08:01:45.498611+00:00,3.33
wasm_aot,12,2025-03-30T08:01:48.841973+00:00,3.49
native,10,2025-03-30T08:01:52.346291+00:00,3.31
native,11,2025-03-30T08:01:55.667316+00:00,3.09
docker,12,2025-03-30T08:01:58.764736+00:00,4.24
native,12,2025-03-30T08:02:03.155427+00:00,2.94
wasm_aot,13,2025-03-30T08:02:06.110768+00:00,3.59
docker,13,2025-03-30T08:02:09.706711+00:00,4.45
wasm_aot,14,2025-03-30T08:02:14.312170+00:00,3.37
docker,14,2025-03-30T08:02:17.693355+00:00,4.3
wasm_aot,15,2025-03-30T08:02:22.151392+00:00,3.41
docker,15,2025-03-30T08:02:25.572776+00:00,4.54
wasm_aot,16,2025-03-30T08:02:30.266837+00:00,3.46
native,13,2025-03-30T08:02:33.738700+00:00,3.04
native,14,2025-03-30T08:02:36.792194+00:00,3.32
docker,16,2025-03-30T08:02:40.132766+00:00,4.95
wasm_aot,17,2025-03-30T08:02:45.236833+00:00,3.33
wasm_aot,18,2025-03-30T08:02:48.577575+00:00,3.4
native,15,2025-03-30T08:02:51.989964+00:00,2.9
native,16,2025-03-30T08:02:54.898601+00:00,3.12
docker,17,2025-03-30T08:02:58.029958+00:00,4.63
docker,18,2025-03-30T08:03:02.822714+00:00,4.34
docker,19,2025-03-30T08:03:07.314223+00:00,4.71
native,17,2025-03-30T08:03:12.183260+00:00,3.13
native,18,2025-03-30T08:03:15.327492+00:00,3.19
wasm_aot,19,2025-03-30T08:03:18.526361+00:00,3.34
native,19,2025-03-30T08:03:21.880246+00:00,2.92
native,20,2025-03-30T08:03:24.811384+00:00,2.89
wasm_aot,20,2025-03-30T08:03:27.711633+00:00,3.38
docker,20,2025-03-30T08:03:31.099896+00:00,4.54
