deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
docker_container,1,2025-03-30T08:04:21.457335+00:00,18090582056.0,20776308780.0,22776611.0,3318908376.0,8547296887.0,28709.0,2680862020.0,89519086.0,527.0,28182.0,76533760.0,125169664.0,136024064.0,29.94,28.02,1.86
docker_container_and_daemon,1,2025-03-30T08:04:21.457335+00:00,18683255074.12,21812293075.08,23744993.82,3495862444.08,8679366155.44,29647.49,2738899424.07,90546557.39,527.0,29119.32,118972825.6,168198144.0,240070656.0,30.290000000000003,28.169999999999998,2.06
docker_container_and_daemon_extra_overhead,1,2025-03-30T08:04:21.457335+00:00,18681224843.12,21811969909.08,23733262.82,3495730346.08,8678446931.44,29647.49,2738840967.07,90522584.39,527.0,29119.32,76533760.0,125169664.0,136024064.0,30.290000000000003,28.169999999999998,2.06
wasm_aot,1,2025-03-30T08:05:31.667241+00:00,11188234022.0,7750430575.0,13901099.0,1733872738.0,4953625077.0,30236.0,1027085834.0,101290611.0,775.0,29461.0,100033331.2,152010752.0,152702976.0,23.41,21.69,1.71
wasm_aot,2,2025-03-30T08:06:01.617174+00:00,8238358908.0,11983717599.0,17278894.0,1669166578.0,5242346002.0,30054.0,1056382013.0,77157349.0,8.0,30046.0,70651904.0,105431040.0,105684992.0,29.65,29.14,1.45
native,1,2025-03-30T08:06:29.165250+00:00,7422975475.0,6863848640.0,12768361.0,1142934184.0,3585014725.0,28061.0,777101613.0,67725984.0,44.0,28017.0,37078016.0,63086592.0,87728128.0,27.95,28.0,1.59
native,2,2025-03-30T08:06:55.334130+00:00,5345911290.0,4669650206.0,9865583.0,1006045857.0,4028199780.0,28132.0,728389894.0,53033010.0,0.0,28132.0,56320000.0,72912896.0,83550208.0,27.92,27.22,0.71
wasm_aot,3,2025-03-30T08:07:21.339229+00:00,15809556508.0,13330719166.0,20500798.0,2326677817.0,6501350562.0,29429.0,1494736710.0,88923390.0,12.0,29417.0,98328576.0,99430400.0,100012032.0,44.01,43.36,0.64
wasm_aot,4,2025-03-30T08:07:47.920239+00:00,9262121396.0,8634365170.0,11593214.0,1642707164.0,5698311138.0,29407.0,1665592671.0,73166521.0,0.0,29407.0,63955968.0,94892032.0,95408128.0,45.14,42.04,1.96
wasm_aot,5,2025-03-30T08:08:14.339039+00:00,9567285590.0,7796236335.0,12957886.0,1889874148.0,4954029090.0,29371.0,933616467.0,61934466.0,0.0,29371.0,67163136.0,99168256.0,99401728.0,31.59,30.2,1.6
native,3,2025-03-30T08:08:40.662194+00:00,7792132353.0,9561640530.0,23141171.0,2184354016.0,5814850094.0,28199.0,1444704504.0,78459738.0,0.0,28199.0,39925077.33,41857024.0,85319680.0,46.54,44.56,1.69
docker_container,2,2025-03-30T08:09:06.285975+00:00,13997985963.0,13874821781.0,21056891.0,2386550730.0,6696698568.0,29190.0,1858333225.0,98546846.0,429.0,28758.0,59050666.67,94408704.0,118267904.0,34.26,31.83,2.43
docker_container_and_daemon,2,2025-03-30T08:09:06.285975+00:00,14534297890.49,14745997709.27,22531895.16,2555091255.7,6837132849.03,30859.41,1904759745.72,100311371.71,431.24,30425.13,97358506.67,133382144.0,222314496.0,35.0,32.17,2.83
docker_container_and_daemon_extra_overhead,2,2025-03-30T08:09:06.285975+00:00,14533472634.49,14614881599.27,22526398.16,2534694006.7,6749458269.03,30859.41,1897572989.72,100305422.71,431.24,30425.13,62321322.67,98344960.0,118267904.0,35.0,32.17,2.83
native,4,2025-03-30T08:09:47.630220+00:00,10258115035.0,9234139969.0,13711796.0,1593548991.0,4499347780.0,28313.0,1107548285.0,100022245.0,54.0,28259.0,41840640.0,67092480.0,94179328.0,45.41,41.94,1.97
native,5,2025-03-30T08:10:13.937026+00:00,6214212688.0,2464007750.0,7198032.0,549496268.0,1533187873.0,28036.0,211603999.0,35691819.0,0.0,28036.0,37158912.0,71815168.0,83763200.0,12.56,17.52,1.78
native,6,2025-03-30T08:10:39.483757+00:00,8228649701.0,8280389395.0,14306630.0,1816717072.0,5425504238.0,28280.0,1269162107.0,105531604.0,0.0,28280.0,38159360.0,72609792.0,83562496.0,44.38,43.38,2.06
wasm_aot,6,2025-03-30T08:11:04.912348+00:00,5792698745.0,9893622855.0,19348568.0,1489280847.0,4358047295.0,29345.0,284255277.0,20663796.0,84.0,29261.0,82923520.0,96980992.0,97730560.0,44.32,42.5,0.94
native,7,2025-03-30T08:11:31.527437+00:00,10191345051.0,7788926404.0,10925643.0,1585243951.0,6161254802.0,28183.0,1497394667.0,116531617.0,0.0,28183.0,31107072.0,47050752.0,83533824.0,48.93,45.53,2.11
docker_container,3,2025-03-30T08:11:57.458590+00:00,14571178140.0,15083170898.0,18131855.0,2599357936.0,8319019636.0,27621.0,2332104343.0,106324408.0,0.0,27618.0,39290880.0,73297920.0,84197376.0,42.77,40.61,2.11
docker_container_and_daemon,3,2025-03-30T08:11:57.458590+00:00,14666843042.6,16268850361.44,18753636.12,2888544596.04,8646740918.48,28184.81,2423670885.19,106905829.07,0.0,28181.81,78659174.4,113012736.0,188243968.0,43.17,40.76,2.3499999999999996
docker_container_and_daemon_extra_overhead,3,2025-03-30T08:11:57.458590+00:00,14666051064.6,16043658830.44,18749189.12,2808548828.04,8483563780.48,28184.81,2390501210.19,106901119.07,0.0,28181.81,41135718.4,75489280.0,84197376.0,43.17,40.76,2.3499999999999996
