deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-03-30T08:35:44.751454+00:00,4.14
wasm_aot,2,2025-03-30T08:35:48.920828+00:00,4.21
docker,1,2025-03-30T08:35:53.145879+00:00,5.41
native,1,2025-03-30T08:35:58.693542+00:00,3.8
native,2,2025-03-30T08:36:02.504133+00:00,4.06
wasm_aot,3,2025-03-30T08:36:06.575345+00:00,4.24
wasm_aot,4,2025-03-30T08:36:10.825935+00:00,4.25
docker,2,2025-03-30T08:36:15.085392+00:00,5.32
wasm_aot,5,2025-03-30T08:36:20.541047+00:00,4.04
native,3,2025-03-30T08:36:24.587781+00:00,3.68
wasm_aot,6,2025-03-30T08:36:28.279146+00:00,4.35
wasm_aot,7,2025-03-30T08:36:32.642240+00:00,4.69
docker,3,2025-03-30T08:36:37.341418+00:00,5.31
native,4,2025-03-30T08:36:42.794545+00:00,3.85
native,5,2025-03-30T08:36:46.658044+00:00,3.91
docker,4,2025-03-30T08:36:50.575135+00:00,5.69
docker,5,2025-03-30T08:36:56.407247+00:00,5.66
wasm_aot,8,2025-03-30T08:37:02.216475+00:00,4.25
docker,6,2025-03-30T08:37:06.475106+00:00,5.15
docker,7,2025-03-30T08:37:11.769418+00:00,5.66
wasm_aot,9,2025-03-30T08:37:17.575395+00:00,4.34
wasm_aot,10,2025-03-30T08:37:21.925349+00:00,4.34
docker,8,2025-03-30T08:37:26.271752+00:00,5.37
native,6,2025-03-30T08:37:31.793258+00:00,4.07
wasm_aot,11,2025-03-30T08:37:35.868941+00:00,4.18
native,7,2025-03-30T08:37:40.060622+00:00,3.86
native,8,2025-03-30T08:37:43.938066+00:00,3.9
native,9,2025-03-30T08:37:47.851202+00:00,3.96
docker,9,2025-03-30T08:37:51.821600+00:00,7.6
docker,10,2025-03-30T08:37:59.594623+00:00,6.71
wasm_aot,12,2025-03-30T08:38:06.443159+00:00,4.24
docker,11,2025-03-30T08:38:10.694693+00:00,5.4
native,10,2025-03-30T08:38:16.234736+00:00,3.86
wasm_aot,13,2025-03-30T08:38:20.104972+00:00,4.5
native,11,2025-03-30T08:38:24.618273+00:00,3.97
docker,12,2025-03-30T08:38:28.602904+00:00,5.31
native,12,2025-03-30T08:38:34.061967+00:00,4.17
docker,13,2025-03-30T08:38:38.242082+00:00,5.36
wasm_aot,14,2025-03-30T08:38:43.752133+00:00,4.58
docker,14,2025-03-30T08:38:48.341473+00:00,5.69
wasm_aot,15,2025-03-30T08:38:54.186270+00:00,4.41
wasm_aot,16,2025-03-30T08:38:58.607776+00:00,4.85
docker,15,2025-03-30T08:39:03.472621+00:00,5.2
native,13,2025-03-30T08:39:08.822869+00:00,3.98
native,14,2025-03-30T08:39:12.814274+00:00,4.24
docker,16,2025-03-30T08:39:17.060664+00:00,5.79
wasm_aot,17,2025-03-30T08:39:23.004094+00:00,4.3
native,15,2025-03-30T08:39:27.313294+00:00,4.19
native,16,2025-03-30T08:39:31.511096+00:00,4.04
docker,17,2025-03-30T08:39:35.558048+00:00,5.54
docker,18,2025-03-30T08:39:41.243119+00:00,5.5
native,17,2025-03-30T08:39:46.893787+00:00,4.15
native,18,2025-03-30T08:39:51.058802+00:00,4.51
native,19,2025-03-30T08:39:55.578750+00:00,4.29
docker,19,2025-03-30T08:39:59.878531+00:00,5.53
wasm_aot,18,2025-03-30T08:40:05.552655+00:00,4.37
docker,20,2025-03-30T08:40:09.937349+00:00,5.43
native,20,2025-03-30T08:40:15.530565+00:00,4.26
wasm_aot,19,2025-03-30T08:40:19.805831+00:00,4.55
wasm_aot,20,2025-03-30T08:40:24.366298+00:00,4.49
