deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-03-28T15:44:33.917174,4.22
wasm_aot,1,2025-03-28T15:44:38.281139,3.31
wasm_aot,2,2025-03-28T15:44:41.602581,3.46
native,1,2025-03-28T15:44:45.073891,2.88
native,2,2025-03-28T15:44:47.961511,2.87
wasm_aot,3,2025-03-28T15:44:50.843263,3.53
docker,2,2025-03-28T15:44:54.380098,4.28
native,3,2025-03-28T15:44:58.811120,2.7
wasm_aot,4,2025-03-28T15:45:01.523674,3.46
wasm_aot,5,2025-03-28T15:45:04.993521,3.44
docker,3,2025-03-28T15:45:08.442527,4.32
native,4,2025-03-28T15:45:12.902506,2.82
docker,4,2025-03-28T15:45:15.737367,4.31
native,5,2025-03-28T15:45:20.198525,2.83
native,6,2025-03-28T15:45:23.036940,2.83
docker,5,2025-03-28T15:45:25.880778,4.3
wasm_aot,6,2025-03-28T15:45:30.329119,4.39
wasm_aot,7,2025-03-28T15:45:34.731775,3.55
native,7,2025-03-28T15:45:38.294821,2.92
docker,6,2025-03-28T15:45:41.223025,4.27
wasm_aot,8,2025-03-28T15:45:45.643561,3.5
docker,7,2025-03-28T15:45:49.156996,4.27
docker,8,2025-03-28T15:45:53.577336,4.08
wasm_aot,9,2025-03-28T15:45:57.808091,3.48
docker,9,2025-03-28T15:46:01.295966,4.32
wasm_aot,10,2025-03-28T15:46:05.771857,3.53
native,8,2025-03-28T15:46:09.311502,2.86
wasm_aot,11,2025-03-28T15:46:12.180412,3.52
wasm_aot,12,2025-03-28T15:46:15.708076,3.38
wasm_aot,13,2025-03-28T15:46:19.098120,3.49
wasm_aot,14,2025-03-28T15:46:22.599476,3.45
wasm_aot,15,2025-03-28T15:46:26.059196,3.49
wasm_aot,16,2025-03-28T15:46:29.564868,3.51
docker,10,2025-03-28T15:46:33.086703,4.29
native,9,2025-03-28T15:46:37.513091,2.88
native,10,2025-03-28T15:46:40.407713,2.92
docker,11,2025-03-28T15:46:43.342636,4.29
docker,12,2025-03-28T15:46:47.792001,4.25
native,11,2025-03-28T15:46:52.181786,2.86
docker,13,2025-03-28T15:46:55.051177,4.28
native,12,2025-03-28T15:46:59.483076,2.76
wasm_aot,17,2025-03-28T15:47:02.257435,3.56
native,13,2025-03-28T15:47:05.828976,2.88
wasm_aot,18,2025-03-28T15:47:08.715898,3.57
docker,14,2025-03-28T15:47:12.296788,4.32
docker,15,2025-03-28T15:47:16.754765,4.21
docker,16,2025-03-28T15:47:21.110541,4.35
docker,17,2025-03-28T15:47:25.603006,4.09
docker,18,2025-03-28T15:47:29.842326,4.16
native,14,2025-03-28T15:47:34.155660,2.88
native,15,2025-03-28T15:47:37.044086,2.89
wasm_aot,19,2025-03-28T15:47:39.941199,3.51
native,16,2025-03-28T15:47:43.457120,2.84
docker,19,2025-03-28T15:47:46.310276,4.32
wasm_aot,20,2025-03-28T15:47:50.777157,3.48
native,17,2025-03-28T15:47:54.264351,2.89
native,18,2025-03-28T15:47:57.165664,2.91
native,19,2025-03-28T15:48:00.094829,2.97
native,20,2025-03-28T15:48:03.077537,2.85
docker,20,2025-03-28T15:48:05.942136,4.21
