deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-03-30T10:07:46.722166+00:00,4.74
wasm_aot,2,2025-03-30T10:07:51.537664+00:00,3.92
docker,1,2025-03-30T10:07:55.471416+00:00,4.52
native,1,2025-03-30T10:08:00.134052+00:00,3.21
docker,2,2025-03-30T10:08:03.352410+00:00,4.56
docker,3,2025-03-30T10:08:08.060726+00:00,4.69
wasm_aot,3,2025-03-30T10:08:12.894048+00:00,4.32
docker,4,2025-03-30T10:08:17.229413+00:00,5.29
wasm_aot,4,2025-03-30T10:08:22.673302+00:00,4.41
wasm_aot,5,2025-03-30T10:08:27.091186+00:00,4.32
native,2,2025-03-30T10:08:31.423829+00:00,3.58
native,3,2025-03-30T10:08:35.010444+00:00,3.27
native,4,2025-03-30T10:08:38.296519+00:00,3.53
wasm_aot,6,2025-03-30T10:08:41.846038+00:00,4.67
docker,5,2025-03-30T10:08:46.526971+00:00,4.96
native,5,2025-03-30T10:08:51.647352+00:00,3.58
native,6,2025-03-30T10:08:55.235061+00:00,3.8
wasm_aot,7,2025-03-30T10:08:59.043769+00:00,4.63
docker,6,2025-03-30T10:09:03.689715+00:00,5.06
native,7,2025-03-30T10:09:08.904454+00:00,3.57
docker,7,2025-03-30T10:09:12.489509+00:00,5.2
docker,8,2025-03-30T10:09:17.847467+00:00,5.07
native,8,2025-03-30T10:09:23.076732+00:00,3.58
native,9,2025-03-30T10:09:26.664416+00:00,3.72
wasm_aot,8,2025-03-30T10:09:30.398915+00:00,4.89
native,10,2025-03-30T10:09:35.302838+00:00,3.79
docker,9,2025-03-30T10:09:39.106069+00:00,5.25
docker,10,2025-03-30T10:09:44.518221+00:00,5.1
native,11,2025-03-30T10:09:49.780184+00:00,3.49
docker,11,2025-03-30T10:09:53.286233+00:00,5.24
native,12,2025-03-30T10:09:58.687013+00:00,3.68
wasm_aot,9,2025-03-30T10:10:02.383304+00:00,4.97
native,13,2025-03-30T10:10:07.368833+00:00,3.83
docker,12,2025-03-30T10:10:11.205905+00:00,5.34
docker,13,2025-03-30T10:10:16.705105+00:00,5.19
wasm_aot,10,2025-03-30T10:10:22.057155+00:00,4.78
docker,14,2025-03-30T10:10:26.852341+00:00,5.14
wasm_aot,11,2025-03-30T10:10:32.153156+00:00,4.86
docker,15,2025-03-30T10:10:37.020467+00:00,5.21
docker,16,2025-03-30T10:10:42.397012+00:00,5.2
docker,17,2025-03-30T10:10:47.757120+00:00,5.1
wasm_aot,12,2025-03-30T10:10:53.011294+00:00,4.79
docker,18,2025-03-30T10:10:57.810681+00:00,5.28
wasm_aot,13,2025-03-30T10:11:03.248887+00:00,4.8
native,14,2025-03-30T10:11:08.059721+00:00,4.16
wasm_aot,14,2025-03-30T10:11:12.232081+00:00,4.77
native,15,2025-03-30T10:11:17.016237+00:00,3.88
wasm_aot,15,2025-03-30T10:11:20.911291+00:00,4.91
native,16,2025-03-30T10:11:25.836238+00:00,3.9
wasm_aot,16,2025-03-30T10:11:29.751776+00:00,4.93
wasm_aot,17,2025-03-30T10:11:34.692568+00:00,5.03
wasm_aot,18,2025-03-30T10:11:39.731405+00:00,4.86
native,17,2025-03-30T10:11:44.599249+00:00,3.83
wasm_aot,19,2025-03-30T10:11:48.445929+00:00,4.9
docker,19,2025-03-30T10:11:53.366317+00:00,5.31
native,18,2025-03-30T10:11:58.848519+00:00,3.8
native,19,2025-03-30T10:12:02.656088+00:00,3.86
wasm_aot,20,2025-03-30T10:12:06.522865+00:00,4.83
docker,20,2025-03-30T10:12:11.369476+00:00,5.43
native,20,2025-03-30T10:12:16.973983+00:00,3.95
