deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
docker_container,1,2025-03-30T08:56:21.672423+00:00,12085721712.0,10084444687.0,36953102.0,2020272508.0,5969657823.0,38197.0,1051271234.0,82664635.0,519.0,37673.0,149816832.0,246370304.0,254418944.0,20.78,18.8,1.91
docker_container_and_daemon,1,2025-03-30T08:56:21.672423+00:00,12805050774.29,10347949670.62,38340812.71,2116341990.94,6105057480.13,40581.53,1074661637.29,84213168.91,535.7,40034.11,185094769.78,283148288.0,358465536.0,21.39,18.98,2.34
docker_container_and_daemon_extra_overhead,1,2025-03-30T08:56:21.672423+00:00,12802779157.29,10347631057.62,38329937.71,2116130480.94,6104157804.13,40581.53,1074625460.29,84200092.91,535.7,40034.11,152646257.78,250699776.0,254418944.0,21.380000000000003,18.98,2.34
native,1,2025-03-30T08:57:31.064515+00:00,10661155427.0,8056319686.0,36966760.0,1776350667.0,4985624325.0,37949.0,829428526.0,89512728.0,507.0,37442.0,121290069.33,212688896.0,216772608.0,30.09,27.42,2.14
wasm_aot,1,2025-03-30T08:57:59.751828+00:00,8888729290.0,6253508004.0,31200070.0,1673214149.0,4977759771.0,101855.0,777149117.0,72537696.0,454.0,101401.0,202060946.29,367554560.0,373723136.0,15.86,13.02,2.66
native,2,2025-03-30T08:58:33.681249+00:00,7784233369.0,5366538576.0,22666937.0,1094664803.0,3446788015.0,37816.0,475279022.0,60722895.0,198.0,37618.0,96778649.6,184332288.0,192270336.0,24.21,20.86,2.81
wasm_aot,2,2025-03-30T08:59:00.934059+00:00,9636619761.0,7409705626.0,29839417.0,1672974292.0,4548830655.0,101330.0,834612747.0,67141477.0,1.0,101329.0,177124693.33,225120256.0,293167104.0,47.7,42.18,5.0
docker_container,2,2025-03-30T08:59:27.355101+00:00,11665717314.0,9627460968.0,38679377.0,2106400782.0,5820722236.0,38098.0,1082155705.0,80055240.0,519.0,37579.0,121597321.85,247660544.0,249581568.0,11.08,10.15,0.86
docker_container_and_daemon,2,2025-03-30T08:59:27.355101+00:00,11981390300.85,10758054917.02,40308499.12,2451307129.96,5981875905.99,41777.77,1213663943.14,84639428.37,559.5,41161.8,158558162.99,288489472.0,353628160.0,11.47,10.27,1.12
docker_container_and_daemon_extra_overhead,2,2025-03-30T08:59:27.355101+00:00,11665717314.0,10610157247.02,40286104.12,2321890203.96,5980565805.99,41777.77,1167106698.14,84618925.37,559.5,41161.8,130738130.99,260669440.0,249581568.0,11.47,10.27,1.12
