deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-03-28T15:52:47.714798,8.88
wasm_aot,2,2025-03-28T15:52:56.601919,5.31
native,1,2025-03-28T15:53:01.926201,4.74
native,2,2025-03-28T15:53:06.679506,4.2
native,3,2025-03-28T15:53:10.889866,4.26
wasm_aot,3,2025-03-28T15:53:15.156670,5.19
docker,1,2025-03-28T15:53:20.362650,8.58
docker,2,2025-03-28T15:53:29.093017,5.52
docker,3,2025-03-28T15:53:34.763279,5.74
native,4,2025-03-28T15:53:40.657157,4.2
native,5,2025-03-28T15:53:44.871179,4.35
wasm_aot,4,2025-03-28T15:53:49.243594,5.28
native,6,2025-03-28T15:53:54.538591,4.55
native,7,2025-03-28T15:53:59.095099,4.45
native,8,2025-03-28T15:54:03.559430,4.46
wasm_aot,5,2025-03-28T15:54:08.031898,5.37
wasm_aot,6,2025-03-28T15:54:13.410197,5.52
native,9,2025-03-28T15:54:18.937192,4.32
docker,4,2025-03-28T15:54:23.279455,6.12
wasm_aot,7,2025-03-28T15:54:29.554939,5.33
native,10,2025-03-28T15:54:34.894561,4.42
native,11,2025-03-28T15:54:39.323740,4.34
native,12,2025-03-28T15:54:43.673589,4.36
docker,5,2025-03-28T15:54:48.042897,6.07
wasm_aot,8,2025-03-28T15:54:54.295765,5.38
docker,6,2025-03-28T15:54:59.683435,6.02
docker,7,2025-03-28T15:55:05.865831,5.81
docker,8,2025-03-28T15:55:11.829354,7.19
wasm_aot,9,2025-03-28T15:55:19.160183,5.19
docker,9,2025-03-28T15:55:24.356782,6.36
native,13,2025-03-28T15:55:30.871946,4.3
wasm_aot,10,2025-03-28T15:55:35.180730,5.44
wasm_aot,11,2025-03-28T15:55:40.635845,5.41
wasm_aot,12,2025-03-28T15:55:46.058708,5.51
wasm_aot,13,2025-03-28T15:55:51.580787,5.35
docker,10,2025-03-28T15:55:56.938305,6.21
docker,11,2025-03-28T15:56:03.302936,5.73
wasm_aot,14,2025-03-28T15:56:09.179881,5.41
native,14,2025-03-28T15:56:14.598204,4.41
wasm_aot,15,2025-03-28T15:56:19.029717,5.43
native,15,2025-03-28T15:56:24.475135,4.57
wasm_aot,16,2025-03-28T15:56:29.061222,5.4
docker,12,2025-03-28T15:56:34.473782,5.98
wasm_aot,17,2025-03-28T15:56:40.609931,5.29
docker,13,2025-03-28T15:56:45.907813,5.96
wasm_aot,18,2025-03-28T15:56:52.017267,5.33
native,16,2025-03-28T15:56:57.357621,4.47
wasm_aot,19,2025-03-28T15:57:01.838779,5.39
docker,14,2025-03-28T15:57:07.248863,6.05
docker,15,2025-03-28T15:57:13.468598,5.79
docker,16,2025-03-28T15:57:19.407710,5.72
native,17,2025-03-28T15:57:25.280785,4.32
docker,17,2025-03-28T15:57:29.614845,6.03
docker,18,2025-03-28T15:57:35.806882,6.16
docker,19,2025-03-28T15:57:42.140116,6.86
docker,20,2025-03-28T15:57:49.146045,5.61
native,18,2025-03-28T15:57:54.900138,4.44
wasm_aot,20,2025-03-28T15:57:59.349873,5.47
native,19,2025-03-28T15:58:04.835377,4.48
native,20,2025-03-28T15:58:09.330571,4.43
