deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-03-28T16:03:41.236187,6.85
docker,2,2025-03-28T16:03:48.233333,6.81
native,1,2025-03-28T16:03:55.194582,5.41
docker,3,2025-03-28T16:04:00.618295,6.88
docker,4,2025-03-28T16:04:07.647330,6.6
wasm_aot,1,2025-03-28T16:04:14.399327,6.44
native,2,2025-03-28T16:04:20.846634,5.37
docker,5,2025-03-28T16:04:26.225875,6.85
docker,6,2025-03-28T16:04:33.226718,6.86
native,3,2025-03-28T16:04:40.232565,5.33
docker,7,2025-03-28T16:04:45.571413,6.78
native,4,2025-03-28T16:04:52.502224,5.37
native,5,2025-03-28T16:04:57.884942,5.2
docker,8,2025-03-28T16:05:03.091433,6.74
wasm_aot,2,2025-03-28T16:05:09.975947,6.45
wasm_aot,3,2025-03-28T16:05:16.435041,6.42
wasm_aot,4,2025-03-28T16:05:22.862421,6.42
docker,9,2025-03-28T16:05:29.300980,6.99
wasm_aot,5,2025-03-28T16:05:36.445981,6.51
wasm_aot,6,2025-03-28T16:05:42.966145,6.42
docker,10,2025-03-28T16:05:49.394956,6.81
native,6,2025-03-28T16:05:56.355548,5.34
docker,11,2025-03-28T16:06:01.704657,6.84
native,7,2025-03-28T16:06:08.704496,5.5
wasm_aot,7,2025-03-28T16:06:14.210925,6.47
wasm_aot,8,2025-03-28T16:06:20.695327,6.45
native,8,2025-03-28T16:06:27.162150,5.34
docker,12,2025-03-28T16:06:32.515421,6.87
wasm_aot,9,2025-03-28T16:06:39.530347,6.47
native,9,2025-03-28T16:06:46.015818,5.41
native,10,2025-03-28T16:06:51.437096,5.49
docker,13,2025-03-28T16:06:56.939797,7.35
wasm_aot,10,2025-03-28T16:07:04.436384,6.38
wasm_aot,11,2025-03-28T16:07:10.828958,6.45
docker,14,2025-03-28T16:07:17.288113,7.03
wasm_aot,12,2025-03-28T16:07:24.465265,6.42
wasm_aot,13,2025-03-28T16:07:30.891805,6.37
wasm_aot,14,2025-03-28T16:07:37.277847,6.51
wasm_aot,15,2025-03-28T16:07:43.797030,6.38
wasm_aot,16,2025-03-28T16:07:50.191062,6.43
native,11,2025-03-28T16:07:56.635669,5.32
docker,15,2025-03-28T16:08:01.965146,7.15
native,12,2025-03-28T16:08:09.262643,5.09
native,13,2025-03-28T16:08:14.366997,5.12
wasm_aot,17,2025-03-28T16:08:19.493249,6.34
native,14,2025-03-28T16:08:25.849959,5.36
docker,16,2025-03-28T16:08:31.216726,6.87
native,15,2025-03-28T16:08:38.236006,5.35
docker,17,2025-03-28T16:08:43.599315,6.8
docker,18,2025-03-28T16:08:50.555596,6.67
native,16,2025-03-28T16:08:57.372555,5.04
native,17,2025-03-28T16:09:02.425035,5.42
native,18,2025-03-28T16:09:07.859476,5.45
docker,19,2025-03-28T16:09:13.318800,6.79
native,19,2025-03-28T16:09:20.257706,5.13
native,20,2025-03-28T16:09:25.398575,5.44
wasm_aot,18,2025-03-28T16:09:30.852092,6.45
wasm_aot,19,2025-03-28T16:09:37.314413,6.35
docker,20,2025-03-28T16:09:43.679076,6.84
wasm_aot,20,2025-03-28T16:09:50.662799,6.18
