deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
wasm_aot,1,2025-03-30T11:30:47.423817+00:00,15432140744.0,11055133786.0,52133452.0,2943316636.0,8494841269.0,117469.0,1141011361.0,120934898.0,312.0,117157.0,218630144.0,355807232.0,434130944.0,29.02,25.84,3.02
native,1,2025-03-30T11:32:09.217723+00:00,7003689487.0,5664290720.0,23743705.0,1447516520.0,4119284588.0,40292.0,632864844.0,60347617.0,211.0,40081.0,131786069.33,183664640.0,183771136.0,24.77,21.85,2.92
native,2,2025-03-30T11:32:36.629766+00:00,7282075535.0,5320595966.0,21984879.0,1435781020.0,4026528603.0,40133.0,762398765.0,84729386.0,0.0,40133.0,90823338.67,145620992.0,145969152.0,43.31,36.37,2.93
native,3,2025-03-30T11:33:02.234130+00:00,10103422004.0,5892252485.0,23231963.0,1561216663.0,4425910324.0,41347.0,782567272.0,70961213.0,0.0,41347.0,88961024.0,136048640.0,146841600.0,43.7,48.39,4.09
docker_container,1,2025-03-30T11:33:27.626708+00:00,13913223484.0,11746494004.0,45851014.0,2623224510.0,8184820016.0,40918.0,1332254733.0,111809096.0,511.0,40407.0,164556800.0,237510656.0,237740032.0,20.16,18.45,1.64
docker_container_and_daemon,1,2025-03-30T11:33:27.626708+00:00,14575649453.07,12180682851.55,48699188.42,2774788392.75,8731931210.99,44045.75,1396893669.13,116340282.68,724.03,43188.73,216792715.64,294055936.0,341786624.0,21.13,18.57,2.4899999999999998
docker_container_and_daemon_extra_overhead,1,2025-03-30T11:33:27.626708+00:00,14574485964.07,12122883993.55,48689286.42,2774649328.75,8731027467.99,44045.75,1396838731.13,116330692.68,724.03,43188.73,185675403.64,262938624.0,237740032.0,21.13,18.57,2.4899999999999998
native,4,2025-03-30T11:34:16.790602+00:00,9766641445.0,8660332289.0,37348609.0,2210977790.0,6195789165.0,40656.0,1004269119.0,104014606.0,387.0,40269.0,173580288.0,237830144.0,238227456.0,30.91,28.4,2.31
wasm_aot,2,2025-03-30T11:34:46.307029+00:00,17375092595.0,13112209040.0,55373449.0,3203007190.0,8268497821.0,117469.0,1206098334.0,131164621.0,405.0,117063.0,253211989.33,336338944.0,368820224.0,41.37,37.15,4.15
wasm_aot,3,2025-03-30T11:35:15.947781+00:00,12482821533.0,10273146076.0,42984117.0,2333589721.0,7130353212.0,117210.0,1297549555.0,105822477.0,371.0,116839.0,278364672.0,446078976.0,449003520.0,24.91,21.61,3.31
wasm_aot,4,2025-03-30T11:35:49.854748+00:00,12107967177.0,9018096510.0,26004372.0,1758150207.0,5125107458.0,116624.0,1011099037.0,51737869.0,206.0,116418.0,183844044.8,302190592.0,385724416.0,26.35,21.47,4.45
docker_container,2,2025-03-30T11:36:19.374103+00:00,13564407259.0,11143939957.0,36164219.0,2434348226.0,7848098536.0,42081.0,1324604318.0,122217104.0,506.0,41576.0,171266048.0,257798144.0,262754304.0,22.4,20.42,1.93
docker_container_and_daemon,2,2025-03-30T11:36:19.374103+00:00,14308391456.88,11688568553.5,37485807.12,2613983960.0,8190177772.0,45019.5,1400622955.25,123963208.62,542.0,44447.0,218977166.22,306995200.0,366800896.0,23.0,20.55,2.4
docker_container_and_daemon_extra_overhead,2,2025-03-30T11:36:19.374103+00:00,14307697124.88,11688385347.5,37481390.12,2613921376.0,8189826034.0,45019.5,1400598515.25,123959163.62,542.0,44447.0,179721102.22,267739136.0,262754304.0,23.0,20.55,2.4
docker_container,3,2025-03-30T11:37:07.926923+00:00,10253122061.0,8275003338.0,31852352.0,1808921498.0,5295213467.0,39879.0,979158023.0,68694676.0,0.0,39877.0,122591232.0,170803200.0,171032576.0,28.14,25.34,2.8
docker_container_and_daemon,3,2025-03-30T11:37:07.926923+00:00,11161919347.21,8857984778.71,33701261.42,2094865900.6,5477879439.91,40853.12,1099334354.08,70651771.16,5.89,40841.69,172653568.0,221306880.0,275079168.0,29.44,25.76,3.6799999999999997
docker_container_and_daemon_extra_overhead,3,2025-03-30T11:37:07.926923+00:00,11161305080.21,8496832188.71,33696975.42,2031863729.6,5295213467.0,40853.12,1058770680.08,70647746.16,5.89,40841.69,123898880.0,172552192.0,171032576.0,29.44,25.76,3.6799999999999997
native,5,2025-03-30T11:37:47.904574+00:00,8007857321.0,6009935694.0,24796261.0,1467890456.0,4497046424.0,40143.0,771734230.0,63177688.0,43.0,40100.0,161697792.0,201814016.0,202592256.0,31.65,28.39,2.82
native,6,2025-03-30T11:38:15.314753+00:00,7744890435.0,6983693956.0,28153755.0,1422134425.0,4132835683.0,40568.0,665536550.0,66871935.0,0.0,40568.0,97678336.0,184659968.0,185253888.0,29.57,25.61,2.89
docker_container,4,2025-03-30T11:38:42.340678+00:00,11554073295.0,9612754181.0,34399600.0,1929301052.0,5251489142.0,42486.0,958493747.0,72919975.0,109.0,42378.0,141336576.0,213737472.0,214736896.0,24.0,21.86,2.14
docker_container_and_daemon,4,2025-03-30T11:38:42.340678+00:00,11620433836.15,10629515787.33,38199683.29,2370523943.17,5281838379.56,42515.55,1141056777.09,76859932.67,109.0,42406.27,188738218.67000002,262238208.0,318783488.0,24.21,21.919999999999998,2.29
docker_container_and_daemon_extra_overhead,4,2025-03-30T11:38:42.340678+00:00,11620433836.15,10629515787.33,38199683.29,2370523943.17,5281838379.56,42515.55,1141056777.09,76859932.67,109.0,42406.27,141638314.67000002,215138304.0,214736896.0,24.21,21.919999999999998,2.29
wasm_aot,5,2025-03-30T11:39:24.591716+00:00,18118967161.0,14322733325.0,52398643.0,2839741537.0,8551310640.0,118072.0,1217299765.0,116113597.0,561.0,117510.0,196546048.0,367316992.0,377044992.0,32.66,28.63,3.7
wasm_aot,6,2025-03-30T11:39:57.450380+00:00,11740850713.0,8438063206.0,41671407.0,1575054265.0,5681659537.0,117792.0,1139826927.0,93184734.0,225.0,117567.0,241718886.4,449560576.0,451272704.0,17.37,14.56,2.78
wasm_aot,7,2025-03-30T11:40:31.963890+00:00,11075253075.0,9156435440.0,37802377.0,1937560283.0,5239755363.0,116854.0,843808363.0,81083152.0,34.0,116820.0,178995200.0,345587712.0,345587712.0,45.59,38.91,5.42
wasm_aot,8,2025-03-30T11:40:59.042630+00:00,11900523162.0,8911622336.0,39020664.0,2291059793.0,6698877110.0,117894.0,1034616946.0,95653969.0,37.0,117857.0,193999530.67,304431104.0,386637824.0,36.75,31.78,4.67
docker_container,5,2025-03-30T11:41:27.972170+00:00,17840763901.0,11515001443.0,39026675.0,2304565874.0,6567350240.0,41680.0,1121352206.0,84188360.0,497.0,41184.0,152777289.14,251211776.0,251355136.0,18.13,16.43,1.66
