deployment-mechanism,trial-number,start-time,wall-time-seconds
native,1,2025-03-30T11:25:15.070405+00:00,7.86
native,2,2025-03-30T11:25:23.065278+00:00,3.57
wasm_aot,1,2025-03-30T11:25:26.652687+00:00,4.76
wasm_aot,2,2025-03-30T11:25:31.426316+00:00,4.94
docker,1,2025-03-30T11:25:36.377523+00:00,8.92
native,3,2025-03-30T11:25:45.453314+00:00,3.83
wasm_aot,3,2025-03-30T11:25:49.297721+00:00,5.16
native,4,2025-03-30T11:25:54.473219+00:00,4.13
docker,2,2025-03-30T11:25:58.613635+00:00,6.2
docker,3,2025-03-30T11:26:04.966272+00:00,5.52
native,5,2025-03-30T11:26:10.644345+00:00,4.15
wasm_aot,4,2025-03-30T11:26:14.806897+00:00,5.66
docker,4,2025-03-30T11:26:20.481718+00:00,6.52
native,6,2025-03-30T11:26:27.178671+00:00,4.1
docker,5,2025-03-30T11:26:31.288099+00:00,5.61
native,7,2025-03-30T11:26:37.060696+00:00,4.31
docker,6,2025-03-30T11:26:41.384841+00:00,5.78
native,8,2025-03-30T11:26:47.329977+00:00,4.15
docker,7,2025-03-30T11:26:51.491316+00:00,5.81
docker,8,2025-03-30T11:26:57.473750+00:00,5.82
docker,9,2025-03-30T11:27:03.456617+00:00,5.76
native,9,2025-03-30T11:27:09.375421+00:00,4.21
native,10,2025-03-30T11:27:13.593974+00:00,4.39
wasm_aot,5,2025-03-30T11:27:17.994907+00:00,5.58
docker,10,2025-03-30T11:27:23.582768+00:00,6.58
wasm_aot,6,2025-03-30T11:27:30.341540+00:00,5.42
docker,11,2025-03-30T11:27:35.774893+00:00,7.37
wasm_aot,7,2025-03-30T11:27:43.298223+00:00,5.35
native,11,2025-03-30T11:27:48.661666+00:00,5.43
native,12,2025-03-30T11:27:54.104259+00:00,4.31
wasm_aot,8,2025-03-30T11:27:58.425397+00:00,5.65
wasm_aot,9,2025-03-30T11:28:04.088903+00:00,5.51
wasm_aot,10,2025-03-30T11:28:09.615657+00:00,5.76
wasm_aot,11,2025-03-30T11:28:15.382787+00:00,5.33
wasm_aot,12,2025-03-30T11:28:20.732185+00:00,5.49
docker,12,2025-03-30T11:28:26.232941+00:00,6.35
wasm_aot,13,2025-03-30T11:28:32.772987+00:00,5.18
native,13,2025-03-30T11:28:37.968534+00:00,4.33
docker,13,2025-03-30T11:28:42.315258+00:00,6.3
native,14,2025-03-30T11:28:48.789459+00:00,4.35
native,15,2025-03-30T11:28:53.147973+00:00,4.52
native,16,2025-03-30T11:28:57.687375+00:00,4.37
wasm_aot,14,2025-03-30T11:29:02.064310+00:00,5.72
docker,14,2025-03-30T11:29:07.793373+00:00,6.37
wasm_aot,15,2025-03-30T11:29:14.347363+00:00,5.62
native,17,2025-03-30T11:29:19.975799+00:00,4.16
docker,15,2025-03-30T11:29:24.150671+00:00,6.39
native,18,2025-03-30T11:29:30.710964+00:00,4.38
docker,16,2025-03-30T11:29:35.106981+00:00,6.3
wasm_aot,16,2025-03-30T11:29:41.578567+00:00,5.44
docker,17,2025-03-30T11:29:47.032787+00:00,6.61
wasm_aot,17,2025-03-30T11:29:53.822995+00:00,5.6
native,19,2025-03-30T11:29:59.435003+00:00,4.53
native,20,2025-03-30T11:30:03.979731+00:00,4.5
docker,18,2025-03-30T11:30:08.490663+00:00,5.93
docker,19,2025-03-30T11:30:14.600642+00:00,5.82
wasm_aot,18,2025-03-30T11:30:20.600253+00:00,5.48
docker,20,2025-03-30T11:30:26.093390+00:00,6.38
wasm_aot,19,2025-03-30T11:30:32.649965+00:00,5.36
wasm_aot,20,2025-03-30T11:30:38.023957+00:00,5.65
