deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-sampled,max-memory-over-time-sampled,max-memory-over-time,cpu-total-utilization,cpu-user-utilization,cpu-system-utilization
native,1,2025-03-30T15:42:26.709006+00:00,12742566954.0,10981318482.0,37228742.0,2376746156.0,7138909627.0,53833.0,1413193785.0,108012561.0,12.0,53821.0,131642514.29,190394368.0,201048064.0,34.64,32.4,2.24
docker_container,1,2025-03-30T15:44:06.154422+00:00,11003761117.0,8534047321.0,31385299.0,1871964859.0,6212951542.0,54682.0,972358580.0,108980634.0,509.0,54169.0,164301027.56,277385216.0,288542720.0,12.75,11.3,1.39
docker_container_and_daemon,1,2025-03-30T15:44:06.154422+00:00,11981167998.25,9224136498.35,34993695.15,2093495837.27,6548006785.44,59342.44,1030793379.96,113036998.3,727.24,58472.53,214223416.89,332283904.0,393297920.0,13.68,11.510000000000002,2.11
docker_container_and_daemon_extra_overhead,1,2025-03-30T15:44:06.154422+00:00,11796835827.25,9058389798.35,34981586.15,2077105781.27,6432498799.44,59342.44,1025424850.96,113026994.3,727.24,58472.53,189368888.89,307429376.0,288542720.0,13.68,11.510000000000002,2.11
wasm_aot,1,2025-03-30T15:44:59.499098+00:00,17520945449.0,13557595840.0,48823746.0,2964511955.0,9216832487.0,118919.0,1263571375.0,110064425.0,722.0,118197.0,236954185.14,388595712.0,391143424.0,28.34,25.29,3.05
docker_container,2,2025-03-30T15:45:33.791089+00:00,14758215184.0,13245837818.0,44948738.0,2673782073.0,8223063680.0,54776.0,1406783281.0,141409270.0,526.0,54251.0,193434828.8,311922688.0,322822144.0,22.08,20.32,1.71
docker_container_and_daemon,2,2025-03-30T15:45:33.791089+00:00,16383513284.0,14795062918.0,46058694.67,3169453348.56,8815257981.11,58873.78,1519381932.11,154005384.44,553.78,57772.11,239330099.20000002,360263680.0,427577344.0,22.54,20.47,2.02
docker_container_and_daemon_extra_overhead,2,2025-03-30T15:45:33.791089+00:00,16382615777.0,14621376614.0,46051881.67,3104918390.56,8814754655.11,58873.78,1519357705.11,153996404.44,553.78,57772.11,197554995.20000002,318488576.0,322822144.0,22.54,20.47,2.02
docker_container,3,2025-03-30T15:46:23.508407+00:00,11880636944.0,8980782907.0,40957734.0,2168217167.0,6873443980.0,53779.0,1059733693.0,119292506.0,0.0,53777.0,117732147.2,164421632.0,176631808.0,31.65,29.03,2.62
docker_container_and_daemon,3,2025-03-30T15:46:23.508407+00:00,12808042179.25,10195515141.98,42496674.34,2609257819.84,7037576628.44,55585.99,1148628563.38,124599667.8,7.99,55574.86,163398451.2,210767872.0,281387008.0,32.809999999999995,29.540000000000003,3.27
docker_container_and_daemon_extra_overhead,3,2025-03-30T15:46:23.508407+00:00,12806924226.25,9923098435.98,42489351.34,2559601385.84,6873443980.0,55585.99,1106468194.38,124592228.8,7.99,55574.86,118858547.2,166227968.0,176631808.0,32.809999999999995,29.540000000000003,3.27
native,2,2025-03-30T15:47:03.242008+00:00,12237539342.0,8483537021.0,31574886.0,1835494609.0,7914912740.0,54809.0,1242983063.0,99226623.0,556.0,54253.0,121732534.86,204300288.0,231899136.0,32.15,28.77,2.85
native,3,2025-03-30T15:47:32.778965+00:00,12610056226.0,10403807396.0,40888306.0,2427516497.0,7217373109.0,54380.0,1473070852.0,128500306.0,16.0,54364.0,127853226.67,188792832.0,205570048.0,42.35,39.14,2.77
docker_container,4,2025-03-30T15:48:01.021807+00:00,13507795531.0,11325776052.0,40435095.0,2541077897.0,8706105280.0,53463.0,1449814706.0,115160082.0,0.0,53458.0,144687104.0,205328384.0,217010176.0,36.21,33.09,3.12
docker_container_and_daemon,4,2025-03-30T15:48:01.021807+00:00,14578878473.64,13389664013.16,41594028.84,2982938926.09,8835152131.92,53701.61,1606277687.37,120835809.55,2.35,53694.26,186696265.14,249249792.0,321765376.0,36.94,33.400000000000006,3.54
docker_container_and_daemon_extra_overhead,4,2025-03-30T15:48:01.021807+00:00,14577882412.64,13389524895.16,41588566.84,2982884887.09,8834854892.92,53701.61,1606268393.37,120831759.55,2.35,53694.26,144687104.0,206131200.0,217010176.0,36.94,33.400000000000006,3.54
wasm_aot,2,2025-03-30T15:48:42.423372+00:00,9958163202.0,7748727847.0,32731113.0,2139969893.0,5681641008.0,117705.0,811644107.0,59911240.0,312.0,117393.0,204362410.67,289095680.0,366419968.0,21.11,18.0,3.11
wasm_aot,3,2025-03-30T15:49:14.420220+00:00,18465332516.0,13628346705.0,47639188.0,2727306534.0,7520102476.0,117282.0,1350655599.0,119668298.0,140.0,117142.0,194555448.89,310112256.0,389607424.0,27.62,24.62,2.99
docker_container,5,2025-03-30T15:49:47.770976+00:00,13750980393.0,9574846055.0,38181239.0,2212931730.0,7285047747.0,54292.0,981242499.0,92229907.0,524.0,53769.0,153014272.0,271904768.0,280182784.0,19.68,17.57,2.06
docker_container_and_daemon,5,2025-03-30T15:49:47.770976+00:00,14819113015.57,11490342284.16,39869257.53,2784606042.49,7460320272.65,61059.63,1081952367.02,94235951.05,554.45,60484.43,190088338.29,309882880.0,384937984.0,20.49,17.84,2.59
docker_container_and_daemon_extra_overhead,5,2025-03-30T15:49:47.770976+00:00,14815954342.57,11489797047.16,39853421.53,2339981949.49,7285047747.0,61049.63,1081891244.02,94212204.05,554.45,60474.43,155645074.29,275439616.0,280182784.0,20.48,17.84,2.59
wasm_aot,4,2025-03-30T15:50:33.053407+00:00,14622059916.0,9532616090.0,42264876.0,2111551166.0,5538421077.0,116672.0,771408356.0,56392752.0,137.0,116535.0,234165862.4,311721984.0,365867008.0,30.41,26.52,3.89
wasm_aot,5,2025-03-30T15:51:02.221950+00:00,10554693270.0,9594038595.0,41517238.0,2663914550.0,6054059271.0,117467.0,852952829.0,77198368.0,119.0,117348.0,202403840.0,340045824.0,388804608.0,22.75,19.66,2.98
wasm_aot,6,2025-03-30T15:51:34.449502+00:00,14777602260.0,11028839762.0,43643182.0,2546062149.0,8135054250.0,117693.0,1132428662.0,127845979.0,180.0,117513.0,216906240.0,386928640.0,392290304.0,30.22,26.99,3.33
native,4,2025-03-30T15:52:06.126286+00:00,10627779067.0,7834901153.0,25638375.0,1912735678.0,4967614727.0,54073.0,758172232.0,72817645.0,43.0,54030.0,143728640.0,239427584.0,251174912.0,30.0,26.92,2.7
wasm_aot,7,2025-03-30T15:52:35.954818+00:00,11731377558.0,7982930277.0,31136510.0,1679687750.0,5570047089.0,116556.0,859051230.0,81890243.0,45.0,116511.0,200080588.8,266530816.0,338501632.0,34.47,29.69,4.4
native,5,2025-03-30T15:53:04.413952+00:00,6896060168.0,5082316388.0,17900856.0,1130894501.0,2657480655.0,52714.0,526308978.0,27519976.0,4.0,52710.0,152665088.0,229015552.0,240435200.0,34.08,31.62,2.41
docker_container,6,2025-03-30T15:53:33.601764+00:00,15905155968.0,12608010021.0,44652257.0,2896017399.0,8624780019.0,54138.0,1336494483.0,91179498.0,519.0,53619.0,129151658.67,194224128.0,220549120.0,28.48,26.02,2.45
docker_container_and_daemon,6,2025-03-30T15:53:33.601764+00:00,15961674654.25,15306269451.0,44918710.75,3531261600.25,8653825926.5,54225.5,1524798373.0,91369815.5,519.0,53706.5,163296733.87,228986880.0,325304320.0,28.67,26.09,2.5700000000000003
docker_container_and_daemon_extra_overhead,6,2025-03-30T15:53:33.601764+00:00,15961674654.25,15306269451.0,44918710.75,3531261600.25,8653825926.5,54225.5,1524798373.0,91369815.5,519.0,53706.5,133322205.87,199012352.0,220549120.0,28.67,26.09,2.5700000000000003
native,6,2025-03-30T15:54:17.415828+00:00,10676538563.0,7592995521.0,24997314.0,1457628410.0,4432607634.0,54086.0,646307041.0,51903187.0,2.0,54084.0,150503424.0,195268608.0,224718848.0,32.67,29.75,2.92
docker_container,7,2025-03-30T15:54:45.547474+00:00,14882060839.0,12652855529.0,41787064.0,3012866935.0,7297275089.0,54330.0,1232821619.0,96585871.0,0.0,54178.0,129272490.67,184299520.0,193888256.0,41.43,38.46,2.97
docker_container_and_daemon,7,2025-03-30T15:54:45.547474+00:00,16247108086.33,13702560563.5,42282305.2,3249147351.83,7946718272.91,54375.18,1341351667.48,97153041.24,0.0,54221.81,166828714.67000002,222019584.0,298643456.0,41.76,38.63,3.1300000000000003
docker_container_and_daemon_extra_overhead,7,2025-03-30T15:54:45.547474+00:00,16246828490.33,13382294337.5,42279451.2,3143527062.83,7946470314.91,54375.18,1306340003.48,97151062.24,0.0,54221.81,133417642.67,188608512.0,193888256.0,41.76,38.63,3.1300000000000003
native,7,2025-03-30T15:55:25.770408+00:00,9090039992.0,6969181414.0,28629597.0,1707596677.0,5192908938.0,53969.0,773041876.0,73798701.0,2.0,53967.0,159752192.0,212946944.0,220549120.0,35.33,32.75,2.57
docker_container,8,2025-03-30T15:55:54.190439+00:00,13183097437.0,9934492200.0,41254499.0,2507452567.0,7055789227.0,53938.0,1073789393.0,81740586.0,0.0,53822.0,133969510.4,194981888.0,204570624.0,36.62,33.68,2.93
docker_container_and_daemon,8,2025-03-30T15:55:54.190439+00:00,15959684122.0,13102411892.5,41789780.25,3329673777.0,8402847340.75,53989.25,1334856578.0,82562174.75,0.0,53873.25,172886425.60000002,234123264.0,309325824.0,36.989999999999995,33.86,3.1100000000000003
docker_container_and_daemon_extra_overhead,8,2025-03-30T15:55:54.190439+00:00,13399637096.0,12077518863.5,41785066.25,3097606662.0,7176531310.75,53988.25,1267440977.0,81740586.0,0.0,53872.25,135035289.60000002,196272128.0,204570624.0,36.989999999999995,33.86,3.1100000000000003
wasm_aot,8,2025-03-30T15:56:34.823792+00:00,16108615516.0,10395548578.0,42125905.0,2271735950.0,5806787775.0,117776.0,926142187.0,93093992.0,218.0,117558.0,185636352.0,344367104.0,347250688.0,26.29,23.04,3.16
wasm_aot,9,2025-03-30T15:57:06.930299+00:00,12687693707.0,10256320712.0,38612869.0,2296688383.0,6508406805.0,117217.0,985375624.0,76923475.0,353.0,116864.0,237657201.78,415707136.0,426979328.0,19.62,17.44,3.01
docker_container,9,2025-03-30T15:57:40.510433+00:00,13653842140.0,11214640722.0,39285860.0,2101150208.0,6147136185.0,53654.0,1035214347.0,78929473.0,490.0,53165.0,147946934.86,247128064.0,257503232.0,19.8,17.73,2.01
docker_container_and_daemon,9,2025-03-30T15:57:40.510433+00:00,15112672291.6,12651682156.8,39908165.6,2354627668.4,6850745619.0,54654.8,1195385043.0,79647917.8,490.0,54163.4,185124278.86,284340224.0,362258432.0,20.060000000000002,17.79,2.21
docker_container_and_daemon_extra_overhead,9,2025-03-30T15:57:40.510433+00:00,15111768748.6,12651586948.8,39902572.6,2354519456.4,6850154348.0,54654.8,1195368688.0,79637989.8,490.0,54163.4,149685686.86,248901632.0,257503232.0,20.060000000000002,17.79,2.21
wasm_aot,10,2025-03-30T15:58:26.028593+00:00,10140565195.0,7672232011.0,28853249.0,2211631712.0,5218184054.0,117057.0,892863714.0,53857089.0,539.0,116518.0,227841365.33,288751616.0,366051328.0,38.67,34.8,3.87
wasm_aot,11,2025-03-30T15:58:56.582616+00:00,15551453750.0,10003301679.0,48255371.0,2667537320.0,7371637350.0,117585.0,1176668972.0,97867803.0,433.0,117152.0,204568985.6,319483904.0,409489408.0,26.72,23.34,3.25
wasm_aot,12,2025-03-30T15:59:30.427105+00:00,15551453750.0,10003301679.0,48255371.0,2667537320.0,7371637350.0,117585.0,1176668972.0,97867803.0,433.0,117152.0,235558400.0,402362368.0,406175744.0,26.41,23.38,3.03
docker_container,10,2025-03-30T16:00:03.721716+00:00,15891460793.0,13486140531.0,47208521.0,2117912556.0,6113293453.0,54337.0,1060927149.0,88964221.0,525.0,53813.0,164699136.0,265056256.0,277004288.0,19.73,17.8,1.9
docker_container_and_daemon,10,2025-03-30T16:00:03.721716+00:00,16075252037.57,16612861079.57,48252774.71,3073711778.86,6199988743.29,55851.29,1375132499.8600001,89915520.43,542.14,55282.71,210885120.0,312164352.0,381759488.0,20.12,17.900000000000002,2.19
docker_container_and_daemon_extra_overhead,10,2025-03-30T16:00:03.721716+00:00,15891460793.0,15117927873.57,47405465.71,2353087818.86,6113293453.0,54337.0,1208729677.8600001,88964221.0,525.0,53813.0,183936170.67000002,281313280.0,277004288.0,19.78,17.8,1.96
wasm_aot,13,2025-03-30T16:00:51.363612+00:00,13316292857.0,9775748330.0,39064976.0,2231506277.0,6425095555.0,118402.0,998387590.0,97570517.0,264.0,118138.0,188502698.67,274948096.0,351862784.0,31.97,31.11,3.9
docker_container,11,2025-03-30T16:01:21.747533+00:00,13358117866.0,10510308881.0,43952603.0,2700781183.0,8228167289.0,54863.0,1313416488.0,107762398.0,524.0,54337.0,185695800.89,298213376.0,322830336.0,23.58,21.41,2.16
