deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-03-30T16:18:20.747206+00:00,9.8
native,1,2025-03-30T16:18:30.805079+00:00,4.68
wasm_aot,1,2025-03-30T16:18:35.492502+00:00,5.97
wasm_aot,2,2025-03-30T16:18:41.473210+00:00,8.17
native,2,2025-03-30T16:18:49.652630+00:00,6.66
native,3,2025-03-30T16:18:56.324419+00:00,4.66
docker,2,2025-03-30T16:19:00.992314+00:00,6.36
docker,3,2025-03-30T16:19:07.495652+00:00,6.14
wasm_aot,3,2025-03-30T16:19:13.806429+00:00,6.59
wasm_aot,4,2025-03-30T16:19:20.402449+00:00,6.21
wasm_aot,5,2025-03-30T16:19:26.621260+00:00,6.13
wasm_aot,6,2025-03-30T16:19:32.770609+00:00,6.29
docker,4,2025-03-30T16:19:39.068080+00:00,7.95
native,4,2025-03-30T16:19:47.164524+00:00,4.94
wasm_aot,7,2025-03-30T16:19:52.115622+00:00,6.24
docker,5,2025-03-30T16:19:58.376382+00:00,8.05
docker,6,2025-03-30T16:20:06.604660+00:00,6.47
wasm_aot,8,2025-03-30T16:20:13.232338+00:00,6.17
wasm_aot,9,2025-03-30T16:20:19.418693+00:00,6.51
wasm_aot,10,2025-03-30T16:20:25.942155+00:00,6.3
docker,7,2025-03-30T16:20:32.250575+00:00,8.28
docker,8,2025-03-30T16:20:40.690345+00:00,6.46
native,5,2025-03-30T16:20:47.309253+00:00,5.05
wasm_aot,11,2025-03-30T16:20:52.372200+00:00,6.6
native,6,2025-03-30T16:20:58.988333+00:00,5.31
wasm_aot,12,2025-03-30T16:21:04.310705+00:00,6.43
docker,9,2025-03-30T16:21:10.752609+00:00,6.98
native,7,2025-03-30T16:21:17.900569+00:00,5.2
docker,10,2025-03-30T16:21:23.112628+00:00,6.66
docker,11,2025-03-30T16:21:29.936160+00:00,6.65
docker,12,2025-03-30T16:21:36.751520+00:00,6.71
wasm_aot,13,2025-03-30T16:21:43.624690+00:00,6.17
native,8,2025-03-30T16:21:49.804303+00:00,5.37
docker,13,2025-03-30T16:21:55.193985+00:00,7.34
native,9,2025-03-30T16:22:02.701954+00:00,5.54
wasm_aot,14,2025-03-30T16:22:08.254442+00:00,6.51
native,10,2025-03-30T16:22:14.772624+00:00,5.53
native,11,2025-03-30T16:22:20.312719+00:00,5.43
wasm_aot,15,2025-03-30T16:22:25.763660+00:00,6.71
docker,14,2025-03-30T16:22:32.484082+00:00,6.82
docker,15,2025-03-30T16:22:39.470631+00:00,6.78
wasm_aot,16,2025-03-30T16:22:46.416187+00:00,6.67
wasm_aot,17,2025-03-30T16:22:53.098863+00:00,6.61
native,12,2025-03-30T16:22:59.721836+00:00,5.5
docker,16,2025-03-30T16:23:05.235585+00:00,7.35
wasm_aot,18,2025-03-30T16:23:12.763015+00:00,6.48
docker,17,2025-03-30T16:23:19.257589+00:00,6.94
native,13,2025-03-30T16:23:26.366477+00:00,5.28
native,14,2025-03-30T16:23:31.661797+00:00,5.58
wasm_aot,19,2025-03-30T16:23:37.256600+00:00,6.65
native,15,2025-03-30T16:23:43.917491+00:00,5.56
native,16,2025-03-30T16:23:49.493492+00:00,5.55
wasm_aot,20,2025-03-30T16:23:55.055416+00:00,6.28
docker,18,2025-03-30T16:24:01.347198+00:00,7.43
native,17,2025-03-30T16:24:08.939116+00:00,5.72
native,18,2025-03-30T16:24:14.673992+00:00,5.5
docker,19,2025-03-30T16:24:20.184718+00:00,7.13
native,19,2025-03-30T16:24:27.475473+00:00,5.62
docker,20,2025-03-30T16:24:33.109914+00:00,6.91
native,20,2025-03-30T16:24:40.203477+00:00,5.4
