deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_interpreted,1,2025-03-30T23:55:37.225559+00:00,,,,,,35225.0,,,57.0,35168.0,108519936.0,132096000.0,47.48,44.33,2.23
docker_container,1,2025-03-30T23:56:22.844634+00:00,,,,,,12449.0,,,287.0,12159.0,51941376.0,102236160.0,10.03,3.94,6.09
docker_container_and_daemon,1,2025-03-30T23:56:22.844634+00:00,,,,,,12497.46,,,292.82,12201.64,100962304.0,796962816.0,12.18,5.16,7.01
docker_container_and_daemon_extra_overhead,1,2025-03-30T23:56:22.844634+00:00,,,,,,12497.46,,,292.82,12201.64,52355072.0,102236160.0,12.139999999999999,5.14,6.99
docker_container,2,2025-03-31T00:02:48.050641+00:00,,,,,,49.0,,,0.0,41.0,2523136.0,3174400.0,,,
docker_container_and_daemon,2,2025-03-31T00:02:48.050641+00:00,,,,,,49.0,,,0.0,41.0,53485568.0,697901056.0,,,
docker_container_and_daemon_extra_overhead,2,2025-03-31T00:02:48.050641+00:00,,,,,,49.0,,,0.0,41.0,4001792.0,3174400.0,,,
wasm_aot,1,2025-03-31T00:03:56.053370+00:00,,,,,,36582.0,,,503.0,36079.0,176862976.0,199823360.0,45.01,43.78,0.53
docker_container,3,2025-03-31T00:04:42.459082+00:00,,,,,,438.0,,,0.0,426.0,3059712.0,3354624.0,,,
docker_container_and_daemon,3,2025-03-31T00:04:42.459082+00:00,,,,,,438.0,,,0.0,426.0,54775808.0,698081280.0,,,
docker_container_and_daemon_extra_overhead,3,2025-03-31T00:04:42.459082+00:00,,,,,,438.0,,,0.0,426.0,3395584.0,3354624.0,,,
wasm_interpreted,2,2025-03-31T00:05:15.419259+00:00,,,,,,35223.0,,,4.0,35219.0,97222656.0,118603776.0,46.59,46.03,0.05
docker_container,4,2025-03-31T00:09:48.319828+00:00,,,,,,160.0,,,0.0,160.0,2379776.0,3596288.0,,,
docker_container_and_daemon,4,2025-03-31T00:09:48.319828+00:00,,,,,,160.0,,,0.0,160.0,51494912.0,698322944.0,,,
docker_container_and_daemon_extra_overhead,4,2025-03-31T00:09:48.319828+00:00,,,,,,160.0,,,0.0,160.0,2379776.0,3596288.0,,,
wasm_interpreted,3,2025-03-31T00:10:20.824253+00:00,,,,,,35618.0,,,0.0,35618.0,96070562.91,117829632.0,39.21,36.49,2.22
