deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-03-31T00:47:25.118275+00:00,6.04
wasm_interpreted,1,2025-03-31T00:47:31.290175+00:00,22.17
wasm_aot,1,2025-03-31T00:47:53.472549+00:00,22.15
docker,2,2025-03-31T00:48:15.635813+00:00,1.77
docker,3,2025-03-31T00:48:17.514035+00:00,2.04
wasm_interpreted,2,2025-03-31T00:48:19.631741+00:00,36.23
wasm_interpreted,3,2025-03-31T00:48:55.884669+00:00,25.84
wasm_interpreted,4,2025-03-31T00:49:21.753602+00:00,25.46
wasm_aot,2,2025-03-31T00:49:47.228454+00:00,22.82
wasm_interpreted,5,2025-03-31T00:50:10.065987+00:00,22.72
wasm_interpreted,6,2025-03-31T00:50:32.801049+00:00,21.5
wasm_aot,3,2025-03-31T00:50:54.309088+00:00,21.62
wasm_aot,4,2025-03-31T00:51:15.944185+00:00,22.2
docker,4,2025-03-31T00:51:38.159601+00:00,3.65
wasm_interpreted,7,2025-03-31T00:51:41.932121+00:00,21.34
wasm_interpreted,8,2025-03-31T00:52:03.282792+00:00,20.2
wasm_interpreted,9,2025-03-31T00:52:23.489491+00:00,23.31
wasm_aot,5,2025-03-31T00:52:46.807439+00:00,21.12
wasm_aot,6,2025-03-31T00:53:07.939844+00:00,21.87
wasm_aot,7,2025-03-31T00:53:29.814793+00:00,22.87
wasm_aot,8,2025-03-31T00:53:52.697641+00:00,21.28
docker,5,2025-03-31T00:54:13.984970+00:00,2.44
wasm_interpreted,10,2025-03-31T00:54:16.515169+00:00,20.75
docker,6,2025-03-31T00:54:37.276067+00:00,1.76
docker,7,2025-03-31T00:54:39.144620+00:00,1.76
wasm_interpreted,11,2025-03-31T00:54:41.002514+00:00,21.32
docker,8,2025-03-31T00:55:02.329649+00:00,1.83
docker,9,2025-03-31T00:55:04.260874+00:00,1.95
docker,10,2025-03-31T00:55:06.308088+00:00,1.66
wasm_aot,9,2025-03-31T00:55:08.056948+00:00,22.4
docker,11,2025-03-31T00:55:30.464528+00:00,2.36
wasm_aot,10,2025-03-31T00:55:32.931809+00:00,21.92
docker,12,2025-03-31T00:55:54.858931+00:00,1.57
wasm_aot,11,2025-03-31T00:55:56.508818+00:00,20.95
wasm_aot,12,2025-03-31T00:56:17.468393+00:00,20.6
wasm_aot,13,2025-03-31T00:56:38.081388+00:00,22.28
wasm_aot,14,2025-03-31T00:57:00.366713+00:00,23.01
docker,13,2025-03-31T00:57:23.381821+00:00,2.15
wasm_interpreted,12,2025-03-31T00:57:25.626494+00:00,22.53
wasm_aot,15,2025-03-31T00:57:48.170187+00:00,22.05
wasm_aot,16,2025-03-31T00:58:10.231925+00:00,21.95
docker,14,2025-03-31T00:58:32.194758+00:00,1.97
wasm_aot,17,2025-03-31T00:58:34.237032+00:00,22.66
docker,15,2025-03-31T00:58:56.910944+00:00,1.97
wasm_aot,18,2025-03-31T00:58:58.967099+00:00,23.47
wasm_interpreted,13,2025-03-31T00:59:22.442443+00:00,21.36
docker,16,2025-03-31T00:59:43.808279+00:00,1.77
docker,17,2025-03-31T00:59:45.647851+00:00,1.59
wasm_aot,19,2025-03-31T00:59:47.326188+00:00,20.78
wasm_interpreted,14,2025-03-31T01:00:08.119424+00:00,20.51
wasm_interpreted,15,2025-03-31T01:00:28.635984+00:00,21.43
wasm_aot,20,2025-03-31T01:00:50.071634+00:00,21.08
docker,18,2025-03-31T01:01:11.161503+00:00,1.7
wasm_interpreted,16,2025-03-31T01:01:12.948049+00:00,22.39
wasm_interpreted,17,2025-03-31T01:01:35.350130+00:00,23.32
wasm_interpreted,18,2025-03-31T01:01:58.679370+00:00,23.12
wasm_interpreted,19,2025-03-31T01:02:21.807982+00:00,23.25
docker,19,2025-03-31T01:02:45.064490+00:00,2.23
docker,20,2025-03-31T01:02:47.375624+00:00,1.82
wasm_interpreted,20,2025-03-31T01:02:49.286003+00:00,22.6
