deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_interpreted,1,2025-03-31T09:07:38.921642+00:00,,,,,,49556.0,,,0.0,49556.0,132141248.0,148623360.0,48.76,48.54,0.0
docker_container,1,2025-03-31T09:09:37.957974+00:00,,,,,,71.0,,,1.0,70.0,2420736.0,3727360.0,,,
docker_container_and_daemon,1,2025-03-31T09:09:37.957974+00:00,,,,,,75.2,,,1.0,74.2,47149056.0,698454016.0,,,
docker_container_and_daemon_extra_overhead,1,2025-03-31T09:09:37.957974+00:00,,,,,,75.2,,,1.0,74.2,2658304.0,3727360.0,,,
docker_container,2,2025-03-31T09:10:11.169516+00:00,,,,,,65.0,,,0.0,67.0,2535424.0,3186688.0,,,
docker_container_and_daemon,2,2025-03-31T09:10:11.169516+00:00,,,,,,66.71,,,0.0,68.71,47280128.0,697913344.0,,,
docker_container_and_daemon_extra_overhead,2,2025-03-31T09:10:11.169516+00:00,,,,,,66.71,,,0.0,68.71,2781184.0,3186688.0,,,
docker_container,3,2025-03-31T09:10:43.742104+00:00,,,,,,273.0,,,0.0,229.0,4710400.0,4710400.0,,,
docker_container_and_daemon,3,2025-03-31T09:10:43.742104+00:00,,,,,,273.0,,,0.0,229.0,49496064.0,699437056.0,,,
docker_container_and_daemon_extra_overhead,3,2025-03-31T09:10:43.742104+00:00,,,,,,273.0,,,0.0,229.0,4968448.0,4710400.0,,,
docker_container,4,2025-03-31T09:11:16.758487+00:00,,,,,,278.0,,,0.0,252.0,4706304.0,4706304.0,,,
docker_container_and_daemon,4,2025-03-31T09:11:16.758487+00:00,,,,,,278.0,,,0.0,252.0,4706304.0,699432960.0,,,
docker_container_and_daemon_extra_overhead,4,2025-03-31T09:11:16.758487+00:00,,,,,,278.0,,,0.0,252.0,4706304.0,4706304.0,,,
docker_container,5,2025-03-31T09:11:49.692777+00:00,,,,,,315.0,,,0.0,285.0,4894720.0,4894720.0,,,
docker_container_and_daemon,5,2025-03-31T09:11:49.692777+00:00,,,,,,315.0,,,0.0,285.0,49573888.0,699621376.0,,,
docker_container_and_daemon_extra_overhead,5,2025-03-31T09:11:49.692777+00:00,,,,,,315.0,,,0.0,285.0,4997120.0,4894720.0,,,
wasm_interpreted,2,2025-03-31T09:12:22.393735+00:00,,,,,,54817.0,,,171.0,54646.0,138150016.0,163905536.0,49.39,49.3,0.09
wasm_aot,1,2025-03-31T09:14:21.500724+00:00,,,,,,50612.0,,,10.0,50602.0,134341778.29,151736320.0,49.9,49.67,0.06
docker_container,6,2025-03-31T09:16:19.675576+00:00,,,,,,269.0,,,0.0,258.0,2605056.0,3182592.0,,,
docker_container_and_daemon,6,2025-03-31T09:16:19.675576+00:00,,,,,,269.0,,,0.0,258.0,2605056.0,697909248.0,,,
docker_container_and_daemon_extra_overhead,6,2025-03-31T09:16:19.675576+00:00,,,,,,269.0,,,0.0,258.0,2605056.0,3182592.0,,,
docker_container,7,2025-03-31T09:16:52.249856+00:00,,,,,,54.0,,,0.0,50.0,2445312.0,3706880.0,,,
docker_container_and_daemon,7,2025-03-31T09:16:52.249856+00:00,,,,,,54.0,,,0.0,50.0,44335104.0,698433536.0,,,
docker_container_and_daemon_extra_overhead,7,2025-03-31T09:16:52.249856+00:00,,,,,,54.0,,,0.0,50.0,3346432.0,3706880.0,,,
wasm_aot,2,2025-03-31T09:17:24.740915+00:00,,,,,,50595.0,,,0.0,50595.0,133807168.0,151326720.0,48.82,48.69,0.07
wasm_interpreted,3,2025-03-31T09:19:25.220941+00:00,,,,,,49557.0,,,0.0,49557.0,131337199.75,148705280.0,49.86,49.7,0.05
wasm_aot,3,2025-03-31T09:21:23.879986+00:00,,,,,,50594.0,,,0.0,50594.0,133880028.55,151228416.0,49.4,49.27,0.05
wasm_interpreted,4,2025-03-31T09:23:22.319507+00:00,,,,,,49558.0,,,0.0,49558.0,131401088.0,148602880.0,49.97,49.85,0.06
docker_container,8,2025-03-31T09:25:19.163143+00:00,,,,,,14.0,,,0.0,5.0,2273280.0,3375104.0,,,
docker_container_and_daemon,8,2025-03-31T09:25:19.163143+00:00,,,,,,14.0,,,0.0,5.0,43474944.0,698101760.0,,,
docker_container_and_daemon_extra_overhead,8,2025-03-31T09:25:19.163143+00:00,,,,,,14.0,,,0.0,5.0,2633728.0,3375104.0,,,
wasm_interpreted,5,2025-03-31T09:25:52.018201+00:00,,,,,,50056.0,,,0.0,50056.0,131492123.57,148553728.0,49.99,49.86,0.06
wasm_interpreted,6,2025-03-31T09:27:49.781581+00:00,,,,,,49556.0,,,0.0,49556.0,131394880.0,148733952.0,49.39,49.35,0.04
docker_container,9,2025-03-31T09:29:46.724670+00:00,,,,,,31517.0,,,0.0,31476.0,49829888.0,107438080.0,26.74,14.74,12.0
docker_container_and_daemon,9,2025-03-31T09:29:46.724670+00:00,,,,,,31562.03,,,0.0,31521.03,91033600.0,802164736.0,27.869999999999997,14.85,13.02
docker_container_and_daemon_extra_overhead,9,2025-03-31T09:29:46.724670+00:00,,,,,,31562.03,,,0.0,31521.03,50240512.0,107438080.0,27.869999999999997,14.85,13.02
docker_container,10,2025-03-31T09:30:21.484529+00:00,,,,,,320.0,,,0.0,5.0,3878912.0,4120576.0,,,
docker_container_and_daemon,10,2025-03-31T09:30:21.484529+00:00,,,,,,396.64,,,0.0,81.64,45066240.0,698847232.0,,,
docker_container_and_daemon_extra_overhead,10,2025-03-31T09:30:21.484529+00:00,,,,,,396.64,,,0.0,81.64,4106240.0,4120576.0,,,
wasm_aot,4,2025-03-31T09:30:54.206362+00:00,,,,,,50596.0,,,0.0,50596.0,132136128.93,151265280.0,48.85,48.25,0.6
wasm_aot,5,2025-03-31T09:32:55.235806+00:00,,,,,,50593.0,,,18.0,50575.0,150510087.64,169775104.0,48.81,48.59,0.72
wasm_interpreted,7,2025-03-31T09:34:54.226341+00:00,,,,,,49557.0,,,0.0,49557.0,131469375.02,148680704.0,48.52,49.14,0.09
wasm_interpreted,8,2025-03-31T09:36:51.378090+00:00,,,,,,49559.0,,,0.0,49559.0,131515576.66,148598784.0,48.72,48.67,0.05
wasm_aot,6,2025-03-31T09:38:48.233190+00:00,,,,,,50594.0,,,0.0,50594.0,134043420.44,151187456.0,49.93,49.8,0.06
wasm_aot,7,2025-03-31T09:40:46.071177+00:00,,,,,,50597.0,,,0.0,50597.0,131809910.15,151437312.0,49.36,49.44,0.52
wasm_interpreted,9,2025-03-31T09:42:44.610539+00:00,,,,,,49557.0,,,0.0,49557.0,131288691.61,148594688.0,49.88,49.77,0.05
wasm_aot,8,2025-03-31T09:44:41.507609+00:00,,,,,,50595.0,,,0.0,50595.0,133675074.06,151384064.0,49.29,49.17,0.05
docker_container,11,2025-03-31T09:46:38.632744+00:00,,,,,,9.0,,,2.0,7.0,1318912.0,3719168.0,,,
docker_container_and_daemon,11,2025-03-31T09:46:38.632744+00:00,,,,,,9.0,,,2.0,7.0,42430464.0,698445824.0,,,
docker_container_and_daemon_extra_overhead,11,2025-03-31T09:46:38.632744+00:00,,,,,,9.0,,,2.0,7.0,1699840.0,3719168.0,,,
wasm_aot,9,2025-03-31T09:47:12.287317+00:00,,,,,,50596.0,,,19.0,50577.0,133943232.98,151502848.0,49.86,49.2,0.33
wasm_aot,10,2025-03-31T09:49:10.874633+00:00,,,,,,50595.0,,,0.0,50595.0,134197113.7,151318528.0,48.86,48.77,0.1
docker_container,12,2025-03-31T09:51:08.130879+00:00,,,,,,20.0,,,2.0,4.0,1687552.0,3497984.0,,,
docker_container_and_daemon,12,2025-03-31T09:51:08.130879+00:00,,,,,,20.0,,,2.0,4.0,1687552.0,698224640.0,,,
docker_container_and_daemon_extra_overhead,12,2025-03-31T09:51:08.130879+00:00,,,,,,20.0,,,2.0,4.0,1687552.0,3497984.0,,,
wasm_aot,11,2025-03-31T09:51:42.972492+00:00,,,,,,50594.0,,,0.0,50594.0,132122375.76,151425024.0,48.71,48.92,0.34
wasm_aot,12,2025-03-31T09:53:44.917348+00:00,,,,,,50594.0,,,19.0,50575.0,134150364.55,151613440.0,49.96,49.82,0.07
