deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
docker_container,1,2025-03-31T07:22:29.525777+00:00,,,,,,99.0,,,3.0,85.0,1622016.0,3645440.0,,,
docker_container_and_daemon,1,2025-03-31T07:22:29.525777+00:00,,,,,,99.0,,,3.0,85.0,39731200.0,698372096.0,,,
docker_container_and_daemon_extra_overhead,1,2025-03-31T07:22:29.525777+00:00,,,,,,99.0,,,3.0,85.0,2883584.0,3645440.0,,,
docker_container,2,2025-03-31T07:23:02.944394+00:00,,,,,,264.0,,,0.0,231.0,3661824.0,3661824.0,,,
docker_container_and_daemon,2,2025-03-31T07:23:02.944394+00:00,,,,,,264.0,,,0.0,231.0,3661824.0,698388480.0,,,
docker_container_and_daemon_extra_overhead,2,2025-03-31T07:23:02.944394+00:00,,,,,,264.0,,,0.0,231.0,3661824.0,3661824.0,,,
wasm_interpreted,1,2025-03-31T07:23:35.440260+00:00,,,,,,45181.0,,,0.0,45181.0,117407744.0,148705280.0,49.91,49.45,0.05
docker_container,3,2025-03-31T07:24:15.914984+00:00,,,,,,611.0,,,0.0,444.0,3194880.0,3223552.0,,,
docker_container_and_daemon,3,2025-03-31T07:24:15.914984+00:00,,,,,,804.44,,,2.69,629.38,41924608.0,697950208.0,,,
docker_container_and_daemon_extra_overhead,3,2025-03-31T07:24:15.914984+00:00,,,,,,804.44,,,2.69,629.38,3545088.0,3223552.0,,,
wasm_interpreted,2,2025-03-31T07:24:48.797676+00:00,,,,,,45183.0,,,0.0,45183.0,117407744.0,153649152.0,45.79,45.01,0.09
wasm_aot,1,2025-03-31T07:25:30.066037+00:00,,,,,,46220.0,,,4.0,46216.0,151265280.0,182595584.0,47.28,45.46,0.0
wasm_aot,2,2025-03-31T07:26:11.798910+00:00,,,,,,46219.0,,,0.0,46219.0,119771136.0,151379968.0,47.77,47.7,0.06
wasm_interpreted,3,2025-03-31T07:26:52.624638+00:00,,,,,,45184.0,,,0.0,45184.0,108756699.43,148664320.0,49.88,49.51,0.37
wasm_aot,3,2025-03-31T07:27:34.292709+00:00,,,,,,46223.0,,,0.0,46223.0,119775232.0,151298048.0,49.8,49.21,0.09
wasm_interpreted,4,2025-03-31T07:28:15.393885+00:00,,,,,,45183.0,,,0.0,45183.0,124682240.0,156250112.0,47.53,47.45,0.08
wasm_aot,4,2025-03-31T07:28:55.913208+00:00,,,,,,46218.0,,,0.0,46218.0,119771136.0,151429120.0,46.86,46.8,0.06
