deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_interpreted,1,2025-03-31T22:05:24.770868+00:00,20.56
docker,1,2025-03-31T22:05:45.348390+00:00,1.81
docker,2,2025-03-31T22:05:47.233793+00:00,1.77
wasm_aot,1,2025-03-31T22:05:49.086417+00:00,20.2
wasm_aot,2,2025-03-31T22:06:09.291472+00:00,19.98
docker,3,2025-03-31T22:06:29.281029+00:00,1.76
wasm_aot,3,2025-03-31T22:06:31.117846+00:00,20.04
wasm_interpreted,2,2025-03-31T22:06:51.166933+00:00,20.31
wasm_interpreted,3,2025-03-31T22:07:11.483040+00:00,19.9
wasm_aot,4,2025-03-31T22:07:31.390897+00:00,20.15
wasm_aot,5,2025-03-31T22:07:51.548569+00:00,19.98
docker,4,2025-03-31T22:08:11.535067+00:00,1.75
wasm_interpreted,4,2025-03-31T22:08:13.355752+00:00,21.77
wasm_interpreted,5,2025-03-31T22:08:35.136698+00:00,20.31
docker,5,2025-03-31T22:08:55.456842+00:00,1.87
wasm_aot,6,2025-03-31T22:08:57.403249+00:00,20.12
wasm_interpreted,6,2025-03-31T22:09:17.527094+00:00,19.94
wasm_aot,7,2025-03-31T22:09:37.474488+00:00,20.85
wasm_interpreted,7,2025-03-31T22:09:58.330102+00:00,19.96
wasm_interpreted,8,2025-03-31T22:10:18.300003+00:00,20.03
wasm_interpreted,9,2025-03-31T22:10:38.334971+00:00,20.13
wasm_aot,8,2025-03-31T22:10:58.476443+00:00,20.02
docker,6,2025-03-31T22:11:18.502794+00:00,1.7
wasm_interpreted,10,2025-03-31T22:11:20.279990+00:00,27.06
wasm_aot,9,2025-03-31T22:11:47.353429+00:00,23.56
wasm_interpreted,11,2025-03-31T22:12:10.927657+00:00,21.72
wasm_interpreted,12,2025-03-31T22:12:32.656546+00:00,21.13
docker,7,2025-03-31T22:12:53.795861+00:00,2.09
docker,8,2025-03-31T22:12:55.959241+00:00,1.77
docker,9,2025-03-31T22:12:57.798163+00:00,1.72
wasm_interpreted,13,2025-03-31T22:12:59.595807+00:00,20.38
wasm_aot,10,2025-03-31T22:13:19.981000+00:00,20.69
docker,10,2025-03-31T22:13:40.679516+00:00,2.12
docker,11,2025-03-31T22:13:42.936289+00:00,2.47
wasm_aot,11,2025-03-31T22:13:45.504991+00:00,21.33
docker,12,2025-03-31T22:14:06.841612+00:00,1.93
wasm_interpreted,14,2025-03-31T22:14:08.836537+00:00,20.16
docker,13,2025-03-31T22:14:29.001423+00:00,1.82
docker,14,2025-03-31T22:14:30.890502+00:00,1.8
wasm_interpreted,15,2025-03-31T22:14:32.766522+00:00,20.62
wasm_aot,12,2025-03-31T22:14:53.399689+00:00,21.48
wasm_aot,13,2025-03-31T22:15:14.890116+00:00,20.15
wasm_aot,14,2025-03-31T22:15:35.045874+00:00,20.54
docker,15,2025-03-31T22:15:55.597869+00:00,1.77
wasm_interpreted,16,2025-03-31T22:15:57.446297+00:00,20.17
wasm_interpreted,17,2025-03-31T22:16:17.628410+00:00,20.27
wasm_aot,15,2025-03-31T22:16:37.909441+00:00,20.39
wasm_interpreted,18,2025-03-31T22:16:58.309472+00:00,20.31
wasm_interpreted,19,2025-03-31T22:17:18.624575+00:00,20.38
wasm_aot,16,2025-03-31T22:17:39.010647+00:00,20.19
docker,16,2025-03-31T22:17:59.205385+00:00,1.75
wasm_interpreted,20,2025-03-31T22:18:01.036230+00:00,20.22
wasm_aot,17,2025-03-31T22:18:21.263278+00:00,20.38
wasm_aot,18,2025-03-31T22:18:41.656240+00:00,20.55
docker,17,2025-03-31T22:19:02.211106+00:00,1.71
wasm_aot,19,2025-03-31T22:19:03.999027+00:00,20.34
docker,18,2025-03-31T22:19:24.343508+00:00,1.79
wasm_aot,20,2025-03-31T22:19:26.209983+00:00,20.43
docker,19,2025-03-31T22:19:46.650933+00:00,1.83
docker,20,2025-03-31T22:19:48.550649+00:00,1.7
