deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-04-01T05:22:48.919645+00:00,97.34
wasm_interpreted,1,2025-04-01T05:24:26.282621+00:00,95.33
wasm_interpreted,2,2025-04-01T05:26:01.623693+00:00,95.50999999999999
wasm_aot,2,2025-04-01T05:27:37.146465+00:00,95.65
wasm_interpreted,3,2025-04-01T05:29:12.805277+00:00,95.53
wasm_aot,3,2025-04-01T05:30:48.338732+00:00,95.13
docker,1,2025-04-01T05:32:23.475575+00:00,2.45
docker,2,2025-04-01T05:32:25.999560+00:00,2.2
wasm_interpreted,4,2025-04-01T05:32:28.275554+00:00,96.78
wasm_interpreted,5,2025-04-01T05:34:05.060469+00:00,95.37
wasm_interpreted,6,2025-04-01T05:35:40.437504+00:00,97.53999999999999
docker,3,2025-04-01T05:37:17.988782+00:00,2.79
wasm_interpreted,7,2025-04-01T05:37:20.860867+00:00,95.59
wasm_interpreted,8,2025-04-01T05:38:56.456665+00:00,95.6
wasm_interpreted,9,2025-04-01T05:40:32.063689+00:00,95.12
wasm_aot,4,2025-04-01T05:42:07.195430+00:00,96.82
wasm_interpreted,10,2025-04-01T05:43:44.021401+00:00,96.72999999999999
wasm_interpreted,11,2025-04-01T05:45:20.763010+00:00,97.66
docker,4,2025-04-01T05:46:58.428621+00:00,2.46
wasm_aot,5,2025-04-01T05:47:00.963223+00:00,98.92
wasm_interpreted,12,2025-04-01T05:48:39.891687+00:00,97.7
docker,5,2025-04-01T05:50:17.598091+00:00,2.44
docker,6,2025-04-01T05:50:20.112216+00:00,2.2
wasm_aot,6,2025-04-01T05:50:22.397618+00:00,96.47999999999999
docker,7,2025-04-01T05:51:58.886849+00:00,2.21
wasm_aot,7,2025-04-01T05:52:01.177740+00:00,95.27000000000001
docker,8,2025-04-01T05:53:36.458789+00:00,2.34
wasm_interpreted,13,2025-04-01T05:53:38.877836+00:00,96.12
wasm_interpreted,14,2025-04-01T05:55:15.003268+00:00,96.06
wasm_aot,8,2025-04-01T05:56:51.073163+00:00,95.85
docker,9,2025-04-01T05:58:26.929271+00:00,2.27
wasm_interpreted,15,2025-04-01T05:58:29.281542+00:00,95.64
docker,10,2025-04-01T06:00:04.928224+00:00,2.21
wasm_aot,9,2025-04-01T06:00:07.214104+00:00,95.31
wasm_aot,10,2025-04-01T06:01:42.532632+00:00,95.62
docker,11,2025-04-01T06:03:18.165450+00:00,2.26
wasm_aot,11,2025-04-01T06:03:20.506908+00:00,96.08
wasm_interpreted,16,2025-04-01T06:04:56.600668+00:00,95.69
wasm_aot,12,2025-04-01T06:06:32.296540+00:00,94.9
wasm_aot,13,2025-04-01T06:08:07.205848+00:00,95.18
docker,12,2025-04-01T06:09:42.393518+00:00,2.11
docker,13,2025-04-01T06:09:44.574063+00:00,2.17
docker,14,2025-04-01T06:09:46.823376+00:00,2.18
docker,15,2025-04-01T06:09:49.085032+00:00,2.15
docker,16,2025-04-01T06:09:51.303928+00:00,2.16
docker,17,2025-04-01T06:09:53.540566+00:00,2.15
wasm_interpreted,17,2025-04-01T06:09:55.762941+00:00,95.37
docker,18,2025-04-01T06:11:31.138615+00:00,2.13
docker,19,2025-04-01T06:11:33.337981+00:00,2.1
wasm_aot,14,2025-04-01T06:11:35.513533+00:00,103.24000000000001
wasm_aot,15,2025-04-01T06:13:18.764410+00:00,96.85
wasm_aot,16,2025-04-01T06:14:55.629769+00:00,96.11
wasm_aot,17,2025-04-01T06:16:31.752638+00:00,96.28999999999999
wasm_aot,18,2025-04-01T06:18:08.055025+00:00,96.43
wasm_interpreted,18,2025-04-01T06:19:44.492411+00:00,96.0
wasm_aot,19,2025-04-01T06:21:20.505261+00:00,113.97999999999999
docker,20,2025-04-01T06:23:14.504115+00:00,3.73
wasm_aot,20,2025-04-01T06:23:18.325806+00:00,96.06
wasm_interpreted,19,2025-04-01T06:24:54.394766+00:00,95.77000000000001
wasm_interpreted,20,2025-04-01T06:26:30.171068+00:00,95.5
