deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_aot,1,2025-04-01T10:56:52.964939+00:00,,,,,,36907.0,,,25.0,36882.0,125837019.43,147591168.0,47.25,45.01,0.45
wasm_interpreted,1,2025-04-01T10:57:35.685555+00:00,,,,,,35858.0,,,28.0,35830.0,98283520.0,120725504.0,49.67,49.18,0.06
wasm_interpreted,2,2025-04-01T10:58:16.620495+00:00,,,,,,35859.0,,,0.0,35859.0,110952448.0,133062656.0,49.38,49.03,0.04
docker_container,1,2025-04-01T10:58:57.172431+00:00,,,,,,18377.0,,,476.0,17896.0,110419968.0,150241280.0,18.02,8.83,9.18
docker_container_and_daemon,1,2025-04-01T10:58:57.172431+00:00,,,,,,18377.0,,,476.0,17896.0,148910080.0,844967936.0,18.02,8.83,9.18
docker_container_and_daemon_extra_overhead,1,2025-04-01T10:58:57.172431+00:00,,,,,,18377.0,,,476.0,17896.0,110419968.0,150241280.0,18.02,8.83,9.18
docker_container,2,2025-04-01T10:59:36.605779+00:00,,,,,,7.0,,,2.0,5.0,1495040.0,3325952.0,,,
docker_container_and_daemon,2,2025-04-01T10:59:36.605779+00:00,,,,,,89.08,,,2.0,87.08,40824832.0,698052608.0,,,
docker_container_and_daemon_extra_overhead,2,2025-04-01T10:59:36.605779+00:00,,,,,,89.08,,,2.0,87.08,2613248.0,3325952.0,,,
wasm_interpreted,3,2025-04-01T11:00:09.917163+00:00,,,,,,35892.0,,,36.0,35856.0,101961728.0,124239872.0,49.51,49.08,0.11
wasm_aot,2,2025-04-01T11:00:50.625313+00:00,,,,,,36907.0,,,8.0,36899.0,100597760.0,123039744.0,44.71,44.66,0.05
