deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-04-01T11:37:14.901540+00:00,3.11
wasm_interpreted,1,2025-04-01T11:37:18.109049+00:00,23.5
wasm_aot,1,2025-04-01T11:37:41.619587+00:00,20.7
wasm_aot,2,2025-04-01T11:38:02.327622+00:00,19.85
docker,2,2025-04-01T11:38:22.182926+00:00,1.53
wasm_aot,3,2025-04-01T11:38:23.785084+00:00,20.01
wasm_interpreted,2,2025-04-01T11:38:43.802976+00:00,19.91
wasm_aot,4,2025-04-01T11:39:03.718381+00:00,19.68
wasm_interpreted,3,2025-04-01T11:39:23.404415+00:00,20.06
wasm_interpreted,4,2025-04-01T11:39:43.469393+00:00,19.55
docker,3,2025-04-01T11:40:03.033753+00:00,1.46
wasm_interpreted,5,2025-04-01T11:40:04.570271+00:00,20.15
wasm_aot,5,2025-04-01T11:40:24.726913+00:00,19.78
wasm_aot,6,2025-04-01T11:40:44.519929+00:00,19.95
docker,4,2025-04-01T11:41:04.482617+00:00,1.43
docker,5,2025-04-01T11:41:05.985353+00:00,1.43
wasm_aot,7,2025-04-01T11:41:07.492990+00:00,19.75
wasm_interpreted,6,2025-04-01T11:41:27.248667+00:00,19.7
wasm_aot,8,2025-04-01T11:41:46.952184+00:00,19.61
wasm_interpreted,7,2025-04-01T11:42:06.570660+00:00,19.64
wasm_interpreted,8,2025-04-01T11:42:26.215178+00:00,19.58
docker,6,2025-04-01T11:42:45.808490+00:00,1.4
wasm_aot,9,2025-04-01T11:42:47.273779+00:00,20.0
wasm_interpreted,9,2025-04-01T11:43:07.285490+00:00,20.2
wasm_aot,10,2025-04-01T11:43:27.496071+00:00,19.78
wasm_interpreted,10,2025-04-01T11:43:47.286041+00:00,19.99
wasm_interpreted,11,2025-04-01T11:44:07.284184+00:00,19.63
docker,7,2025-04-01T11:44:26.921660+00:00,1.51
wasm_interpreted,12,2025-04-01T11:44:28.507052+00:00,21.02
docker,8,2025-04-01T11:44:49.533186+00:00,1.7
wasm_aot,11,2025-04-01T11:44:51.313498+00:00,20.23
docker,9,2025-04-01T11:45:11.551396+00:00,1.54
wasm_interpreted,13,2025-04-01T11:45:13.159346+00:00,20.13
wasm_aot,12,2025-04-01T11:45:33.300449+00:00,20.47
wasm_aot,13,2025-04-01T11:45:53.779514+00:00,20.43
wasm_aot,14,2025-04-01T11:46:14.217527+00:00,20.05
wasm_interpreted,14,2025-04-01T11:46:34.271674+00:00,20.16
docker,10,2025-04-01T11:46:54.441878+00:00,1.49
docker,11,2025-04-01T11:46:56.005348+00:00,1.42
wasm_interpreted,15,2025-04-01T11:46:57.501241+00:00,20.6
wasm_interpreted,16,2025-04-01T11:47:18.109046+00:00,20.17
docker,12,2025-04-01T11:47:38.286731+00:00,1.56
docker,13,2025-04-01T11:47:39.926501+00:00,1.51
wasm_aot,15,2025-04-01T11:47:41.527482+00:00,19.93
docker,14,2025-04-01T11:48:01.468859+00:00,1.52
wasm_interpreted,17,2025-04-01T11:48:03.067098+00:00,20.69
wasm_aot,16,2025-04-01T11:48:23.769669+00:00,20.18
wasm_interpreted,18,2025-04-01T11:48:43.954127+00:00,21.57
wasm_interpreted,19,2025-04-01T11:49:05.532559+00:00,20.42
wasm_interpreted,20,2025-04-01T11:49:25.959511+00:00,20.14
wasm_aot,17,2025-04-01T11:49:46.108436+00:00,20.57
docker,15,2025-04-01T11:50:06.692679+00:00,1.6
docker,16,2025-04-01T11:50:08.372649+00:00,1.46
wasm_aot,18,2025-04-01T11:50:09.907382+00:00,20.28
wasm_aot,19,2025-04-01T11:50:30.192828+00:00,20.04
docker,17,2025-04-01T11:50:50.241815+00:00,1.48
docker,18,2025-04-01T11:50:51.794905+00:00,1.44
docker,19,2025-04-01T11:50:53.311264+00:00,1.49
docker,20,2025-04-01T11:50:54.882944+00:00,1.67
wasm_aot,20,2025-04-01T11:50:56.624552+00:00,20.54
