deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_aot,1,2025-04-01T11:51:18.204416+00:00,,,,,,36897.0,,,2.0,36895.0,102154240.0,124280832.0,49.61,48.61,0.0
wasm_aot,2,2025-04-01T11:51:59.612919+00:00,,,,,,36897.0,,,0.0,36897.0,99954688.0,122298368.0,49.68,49.26,0.08
wasm_interpreted,1,2025-04-01T11:52:40.306612+00:00,,,,,,35859.0,,,0.0,35859.0,99196928.0,121114624.0,46.94,46.59,0.04
docker_container,1,2025-04-01T11:53:20.668284+00:00,,,,,,11.0,,,3.0,6.0,2641920.0,3420160.0,,,
docker_container_and_daemon,1,2025-04-01T11:53:20.668284+00:00,,,,,,39.6,,,4.59,32.81,44275712.0,698146816.0,,,
docker_container_and_daemon_extra_overhead,1,2025-04-01T11:53:20.668284+00:00,,,,,,39.6,,,4.59,32.81,2873344.0,3420160.0,,,
wasm_aot,3,2025-04-01T11:53:54.097705+00:00,,,,,,36898.0,,,2.0,36896.0,100548608.0,122601472.0,44.36,44.33,0.03
wasm_interpreted,2,2025-04-01T11:54:34.828689+00:00,,,,,,35866.0,,,4.0,35862.0,99852288.0,122273792.0,47.08,47.04,0.04
docker_container,2,2025-04-01T11:55:16.264980+00:00,,,,,,6.0,,,1.0,4.0,2584576.0,3543040.0,,,
docker_container_and_daemon,2,2025-04-01T11:55:16.264980+00:00,,,,,,6.0,,,1.0,4.0,44265472.0,698269696.0,,,
docker_container_and_daemon_extra_overhead,2,2025-04-01T11:55:16.264980+00:00,,,,,,6.0,,,1.0,4.0,2809856.0,3543040.0,,,
docker_container,3,2025-04-01T11:55:49.507922+00:00,,,,,,52.0,,,0.0,45.0,2621440.0,3735552.0,,,
docker_container_and_daemon,3,2025-04-01T11:55:49.507922+00:00,,,,,,52.0,,,0.0,45.0,43945984.0,698462208.0,,,
docker_container_and_daemon_extra_overhead,3,2025-04-01T11:55:49.507922+00:00,,,,,,52.0,,,0.0,45.0,2621440.0,3735552.0,,,
docker_container,4,2025-04-01T11:56:22.424540+00:00,,,,,,156.0,,,0.0,156.0,4046848.0,4046848.0,,,
docker_container_and_daemon,4,2025-04-01T11:56:22.424540+00:00,,,,,,156.0,,,0.0,156.0,46514176.0,698773504.0,,,
docker_container_and_daemon_extra_overhead,4,2025-04-01T11:56:22.424540+00:00,,,,,,156.0,,,0.0,156.0,5124096.0,4046848.0,,,
wasm_aot,4,2025-04-01T11:56:54.776863+00:00,,,,,,36920.0,,,18.0,36902.0,94177962.67,123039744.0,49.01,47.58,1.41
wasm_interpreted,3,2025-04-01T11:57:36.539194+00:00,,,,,,35867.0,,,4.0,35863.0,100130816.0,122023936.0,39.27,39.27,0.0
docker_container,5,2025-04-01T11:58:23.994467+00:00,,,,,,244.0,,,0.0,220.0,2080768.0,3452928.0,,,
docker_container_and_daemon,5,2025-04-01T11:58:23.994467+00:00,,,,,,380.03999999999996,,,9.28,345.22,44961792.0,698179584.0,,,
docker_container_and_daemon_extra_overhead,5,2025-04-01T11:58:23.994467+00:00,,,,,,380.03999999999996,,,9.28,345.22,2424832.0,3452928.0,,,
docker_container,6,2025-04-01T11:58:57.600003+00:00,,,,,,338.0,,,0.0,182.0,2908160.0,3493888.0,,,
docker_container_and_daemon,6,2025-04-01T11:58:57.600003+00:00,,,,,,338.0,,,0.0,182.0,44093440.0,698220544.0,,,
docker_container_and_daemon_extra_overhead,6,2025-04-01T11:58:57.600003+00:00,,,,,,338.0,,,0.0,182.0,3133440.0,3493888.0,,,
docker_container,7,2025-04-01T12:00:02.212150+00:00,,,,,,10.0,,,0.0,20.0,2535424.0,3698688.0,,,
docker_container_and_daemon,7,2025-04-01T12:00:02.212150+00:00,,,,,,10.0,,,0.0,20.0,2535424.0,698425344.0,,,
docker_container_and_daemon_extra_overhead,7,2025-04-01T12:00:02.212150+00:00,,,,,,10.0,,,0.0,20.0,2535424.0,3698688.0,,,
wasm_aot,5,2025-04-01T12:00:34.344738+00:00,,,,,,36897.0,,,0.0,36897.0,99954688.0,122171392.0,47.2,47.19,0.01
wasm_interpreted,4,2025-04-01T12:01:15.228868+00:00,,,,,,35859.0,,,0.0,35859.0,97251328.0,119263232.0,49.78,49.34,0.04
wasm_aot,6,2025-04-01T12:01:55.665636+00:00,,,,,,36898.0,,,0.0,36898.0,99958784.0,122159104.0,47.7,47.69,0.02
wasm_aot,7,2025-04-01T12:02:36.004927+00:00,,,,,,36896.0,,,0.0,36896.0,99954688.0,122396672.0,47.08,47.03,0.05
wasm_interpreted,5,2025-04-01T12:03:16.657701+00:00,,,,,,35858.0,,,0.0,35858.0,97255424.0,119697408.0,49.69,49.33,0.06
docker_container,8,2025-04-01T12:03:57.468660+00:00,,,,,,14.0,,,0.0,14.0,2359296.0,3735552.0,,,
docker_container_and_daemon,8,2025-04-01T12:03:57.468660+00:00,,,,,,14.0,,,0.0,14.0,42328064.0,698462208.0,,,
docker_container_and_daemon_extra_overhead,8,2025-04-01T12:03:57.468660+00:00,,,,,,14.0,,,0.0,14.0,2801664.0,3735552.0,,,
wasm_aot,8,2025-04-01T12:04:29.601188+00:00,,,,,,36898.0,,,0.0,36898.0,99986825.85,122388480.0,47.38,47.06,0.07
wasm_aot,9,2025-04-01T12:05:09.724285+00:00,,,,,,36896.0,,,0.0,36896.0,92815067.43,122245120.0,46.75,46.35,0.38
docker_container,9,2025-04-01T12:05:50.290672+00:00,,,,,,196.0,,,0.0,165.0,3149824.0,3502080.0,,,
docker_container_and_daemon,9,2025-04-01T12:05:50.290672+00:00,,,,,,196.0,,,0.0,165.0,43347968.0,698228736.0,,,
docker_container_and_daemon_extra_overhead,9,2025-04-01T12:05:50.290672+00:00,,,,,,196.0,,,0.0,165.0,3366912.0,3502080.0,,,
wasm_interpreted,6,2025-04-01T12:06:23.520449+00:00,,,,,,35857.0,,,0.0,35857.0,97259520.0,119689216.0,46.16,45.7,0.05
docker_container,10,2025-04-01T12:07:04.135866+00:00,,,,,,264.0,,,0.0,262.0,2793472.0,3424256.0,,,
docker_container_and_daemon,10,2025-04-01T12:07:04.135866+00:00,,,,,,264.0,,,0.0,262.0,42602496.0,698150912.0,,,
docker_container_and_daemon_extra_overhead,10,2025-04-01T12:07:04.135866+00:00,,,,,,264.0,,,0.0,262.0,2793472.0,3424256.0,,,
wasm_aot,10,2025-04-01T12:07:36.346996+00:00,,,,,,36896.0,,,0.0,36896.0,92855442.29,122130432.0,49.81,49.34,0.46
wasm_interpreted,7,2025-04-01T12:08:16.830390+00:00,,,,,,35860.0,,,0.0,35860.0,97259520.0,119701504.0,49.3,48.77,0.04
wasm_interpreted,8,2025-04-01T12:08:57.599134+00:00,,,,,,35859.0,,,0.0,35859.0,97263616.0,119488512.0,49.9,49.5,0.03
wasm_aot,11,2025-04-01T12:09:37.991658+00:00,,,,,,36896.0,,,0.0,36896.0,99958784.0,122167296.0,46.86,46.78,0.07
docker_container,11,2025-04-01T12:10:18.669167+00:00,,,,,,218.0,,,0.0,194.0,2928640.0,3735552.0,,,
docker_container_and_daemon,11,2025-04-01T12:10:18.669167+00:00,,,,,,218.0,,,0.0,194.0,43577344.0,698462208.0,,,
docker_container_and_daemon_extra_overhead,11,2025-04-01T12:10:18.669167+00:00,,,,,,218.0,,,0.0,194.0,3809280.0,3735552.0,,,
wasm_interpreted,9,2025-04-01T12:11:23.247515+00:00,,,,,,35860.0,,,0.0,35860.0,97259520.0,119644160.0,49.79,49.02,0.13
docker_container,12,2025-04-01T12:12:03.641203+00:00,,,,,,44.0,,,0.0,20.0,2338816.0,3719168.0,,,
docker_container_and_daemon,12,2025-04-01T12:12:03.641203+00:00,,,,,,44.0,,,0.0,20.0,2338816.0,698445824.0,,,
docker_container_and_daemon_extra_overhead,12,2025-04-01T12:12:03.641203+00:00,,,,,,44.0,,,0.0,20.0,2338816.0,3719168.0,,,
docker_container,13,2025-04-01T12:13:08.364172+00:00,,,,,,94.0,,,0.0,114.0,2605056.0,3334144.0,,,
docker_container_and_daemon,13,2025-04-01T12:13:08.364172+00:00,,,,,,94.0,,,0.0,114.0,2605056.0,698060800.0,,,
docker_container_and_daemon_extra_overhead,13,2025-04-01T12:13:08.364172+00:00,,,,,,94.0,,,0.0,114.0,2605056.0,3334144.0,,,
