deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-04-01T12:31:27.009299+00:00,2.18
wasm_interpreted,1,2025-04-01T12:31:29.285557+00:00,19.5
wasm_interpreted,2,2025-04-01T12:31:48.795953+00:00,19.64
wasm_aot,1,2025-04-01T12:32:08.442008+00:00,19.66
wasm_aot,2,2025-04-01T12:32:28.106592+00:00,19.52
wasm_aot,3,2025-04-01T12:32:47.638551+00:00,20.59
docker,2,2025-04-01T12:33:08.239547+00:00,1.52
docker,3,2025-04-01T12:33:09.839340+00:00,1.48
wasm_interpreted,3,2025-04-01T12:33:11.398521+00:00,20.21
wasm_interpreted,4,2025-04-01T12:33:31.615697+00:00,19.95
wasm_interpreted,5,2025-04-01T12:33:51.571678+00:00,19.93
docker,4,2025-04-01T12:34:11.510547+00:00,1.5
docker,5,2025-04-01T12:34:13.084984+00:00,1.57
wasm_aot,4,2025-04-01T12:34:14.725043+00:00,19.6
wasm_aot,5,2025-04-01T12:34:34.335539+00:00,19.54
wasm_aot,6,2025-04-01T12:34:53.883912+00:00,19.66
wasm_aot,7,2025-04-01T12:35:13.551738+00:00,19.82
wasm_aot,8,2025-04-01T12:35:33.377527+00:00,19.49
wasm_aot,9,2025-04-01T12:35:52.871794+00:00,19.78
docker,6,2025-04-01T12:36:12.661709+00:00,1.47
wasm_interpreted,6,2025-04-01T12:36:14.206886+00:00,19.7
wasm_aot,10,2025-04-01T12:36:33.914665+00:00,21.15
wasm_interpreted,7,2025-04-01T12:36:55.070186+00:00,21.02
wasm_aot,11,2025-04-01T12:37:16.095596+00:00,20.26
wasm_aot,12,2025-04-01T12:37:36.361010+00:00,20.08
docker,7,2025-04-01T12:37:56.448663+00:00,1.55
docker,8,2025-04-01T12:37:58.072452+00:00,1.4
docker,9,2025-04-01T12:37:59.543510+00:00,1.76
docker,10,2025-04-01T12:38:01.388858+00:00,1.55
wasm_aot,13,2025-04-01T12:38:03.019033+00:00,19.63
wasm_interpreted,8,2025-04-01T12:38:22.655902+00:00,19.48
wasm_aot,14,2025-04-01T12:38:42.146165+00:00,20.47
docker,11,2025-04-01T12:39:02.626861+00:00,1.49
wasm_interpreted,9,2025-04-01T12:39:04.188760+00:00,19.52
docker,12,2025-04-01T12:39:23.722681+00:00,1.45
wasm_interpreted,10,2025-04-01T12:39:25.244304+00:00,19.66
docker,13,2025-04-01T12:39:44.911357+00:00,1.39
wasm_interpreted,11,2025-04-01T12:39:46.376391+00:00,19.51
wasm_interpreted,12,2025-04-01T12:40:05.896597+00:00,19.68
wasm_aot,15,2025-04-01T12:40:25.586930+00:00,19.52
wasm_interpreted,13,2025-04-01T12:40:45.114678+00:00,19.52
wasm_interpreted,14,2025-04-01T12:41:04.646163+00:00,19.45
docker,14,2025-04-01T12:41:24.109175+00:00,1.4
wasm_aot,16,2025-04-01T12:41:25.578496+00:00,19.5
docker,15,2025-04-01T12:41:45.083692+00:00,1.42
wasm_aot,17,2025-04-01T12:41:46.578972+00:00,19.68
wasm_aot,18,2025-04-01T12:42:06.268538+00:00,19.59
docker,16,2025-04-01T12:42:25.862859+00:00,1.47
wasm_interpreted,15,2025-04-01T12:42:27.404032+00:00,19.43
wasm_interpreted,16,2025-04-01T12:42:46.842341+00:00,20.25
docker,17,2025-04-01T12:43:07.100625+00:00,1.52
docker,18,2025-04-01T12:43:08.690763+00:00,1.46
wasm_interpreted,17,2025-04-01T12:43:10.229042+00:00,20.0
wasm_interpreted,18,2025-04-01T12:43:30.235318+00:00,19.52
wasm_aot,19,2025-04-01T12:43:49.767075+00:00,19.56
wasm_interpreted,19,2025-04-01T12:44:09.339398+00:00,19.49
docker,19,2025-04-01T12:44:28.840646+00:00,1.39
wasm_interpreted,20,2025-04-01T12:44:30.307910+00:00,19.74
docker,20,2025-04-01T12:44:50.054853+00:00,1.4
wasm_aot,20,2025-04-01T12:44:51.532618+00:00,19.93
