deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_aot,1,2025-04-01T16:36:52.648846+00:00,,,,,,34874.0,,,1.0,34873.0,110245205.33,115748864.0,48.75,48.69,0.06
docker_container,1,2025-04-01T16:38:51.794954+00:00,,,,,,73.0,,,0.0,52.0,4239360.0,4243456.0,,,
docker_container_and_daemon,1,2025-04-01T16:38:51.794954+00:00,,,,,,73.0,,,0.0,52.0,74223616.0,698970112.0,,,
docker_container_and_daemon_extra_overhead,1,2025-04-01T16:38:51.794954+00:00,,,,,,73.0,,,0.0,52.0,4464640.0,4243456.0,,,
docker_container,2,2025-04-01T16:39:25.203018+00:00,,,,,,20.0,,,0.0,14.0,3248128.0,3248128.0,,,
docker_container_and_daemon,2,2025-04-01T16:39:25.203018+00:00,,,,,,20.0,,,0.0,14.0,3248128.0,697974784.0,,,
docker_container_and_daemon_extra_overhead,2,2025-04-01T16:39:25.203018+00:00,,,,,,20.0,,,0.0,14.0,3248128.0,3248128.0,,,
docker_container,3,2025-04-01T16:39:58.320265+00:00,,,,,,390.0,,,0.0,313.0,3665920.0,3665920.0,,,
docker_container_and_daemon,3,2025-04-01T16:39:58.320265+00:00,,,,,,390.0,,,0.0,313.0,71413760.0,698392576.0,,,
docker_container_and_daemon_extra_overhead,3,2025-04-01T16:39:58.320265+00:00,,,,,,390.0,,,0.0,313.0,3997696.0,3665920.0,,,
wasm_interpreted,1,2025-04-01T16:40:31.183648+00:00,,,,,,33847.0,,,35.0,33812.0,118379601.27,125095936.0,49.77,49.52,0.25
docker_container,4,2025-04-01T16:42:30.392867+00:00,,,,,,42.0,,,0.0,42.0,4411392.0,4411392.0,,,
docker_container_and_daemon,4,2025-04-01T16:42:30.392867+00:00,,,,,,42.0,,,0.0,42.0,71184384.0,699138048.0,,,
docker_container_and_daemon_extra_overhead,4,2025-04-01T16:42:30.392867+00:00,,,,,,42.0,,,0.0,42.0,4636672.0,4411392.0,,,
wasm_interpreted,2,2025-04-01T16:43:03.188467+00:00,,,,,,33832.0,,,1.0,33831.0,106107613.61,112582656.0,49.21,49.63,0.11
wasm_interpreted,3,2025-04-01T16:45:01.718196+00:00,,,,,,33831.0,,,5.0,33826.0,113740173.37,119029760.0,49.87,49.66,0.14
wasm_aot,2,2025-04-01T16:47:01.252661+00:00,,,,,,34890.0,,,6.0,34884.0,112333560.69,117293056.0,49.86,49.75,0.07
docker_container,5,2025-04-01T16:49:04.046244+00:00,,,,,,88.0,,,0.0,78.0,1089536.0,3723264.0,,,
docker_container_and_daemon,5,2025-04-01T16:49:04.046244+00:00,,,,,,88.0,,,0.0,78.0,64874496.0,698449920.0,,,
docker_container_and_daemon_extra_overhead,5,2025-04-01T16:49:04.046244+00:00,,,,,,88.0,,,0.0,78.0,1366016.0,3723264.0,,,
wasm_aot,3,2025-04-01T16:49:36.550801+00:00,,,,,,34871.0,,,0.0,34871.0,110074516.65,115404800.0,49.17,48.93,0.21
wasm_aot,4,2025-04-01T16:51:36.287289+00:00,,,,,,34871.0,,,15.0,34856.0,118648587.46,123953152.0,48.72,48.56,0.16
wasm_interpreted,4,2025-04-01T16:53:35.993488+00:00,,,,,,33831.0,,,0.0,33831.0,108168819.61,113360896.0,49.94,49.84,0.05
wasm_aot,5,2025-04-01T16:55:32.562438+00:00,,,,,,34872.0,,,0.0,34872.0,110309376.0,115429376.0,49.16,49.02,0.09
docker_container,6,2025-04-01T16:57:29.239458+00:00,,,,,,175.0,,,0.0,153.0,3391488.0,3461120.0,,,
docker_container_and_daemon,6,2025-04-01T16:57:29.239458+00:00,,,,,,175.0,,,0.0,153.0,66764800.0,698187776.0,,,
docker_container_and_daemon_extra_overhead,6,2025-04-01T16:57:29.239458+00:00,,,,,,175.0,,,0.0,153.0,3665920.0,3461120.0,,,
wasm_aot,6,2025-04-01T16:58:01.555980+00:00,,,,,,34871.0,,,0.0,34871.0,110102858.32,115286016.0,48.85,48.65,0.05
docker_container,7,2025-04-01T16:59:59.119063+00:00,,,,,,22.0,,,0.0,22.0,5144576.0,5214208.0,,,
docker_container_and_daemon,7,2025-04-01T16:59:59.119063+00:00,,,,,,35.13,,,2.19,32.94,61083648.0,699940864.0,,,
docker_container_and_daemon_extra_overhead,7,2025-04-01T16:59:59.119063+00:00,,,,,,35.13,,,2.19,32.94,5902336.0,5214208.0,,,
wasm_interpreted,5,2025-04-01T17:00:32.636744+00:00,,,,,,33990.0,,,180.0,33810.0,134508661.03,139124736.0,46.09,46.17,0.43
wasm_interpreted,6,2025-04-01T17:02:50.468191+00:00,,,,,,33833.0,,,0.0,33833.0,106227798.54,112578560.0,49.59,49.19,0.15
wasm_aot,7,2025-04-01T17:05:01.117039+00:00,,,,,,34891.0,,,6.0,34885.0,111933797.59,117059584.0,49.12,48.91,0.16
wasm_interpreted,7,2025-04-01T17:07:01.016332+00:00,,,,,,33834.0,,,0.0,33834.0,107426647.88,112570368.0,49.93,49.69,0.19
wasm_interpreted,8,2025-04-01T17:08:59.083887+00:00,,,,,,33831.0,,,0.0,33831.0,107609544.86,112566272.0,49.91,49.82,0.05
wasm_interpreted,9,2025-04-01T17:10:56.603336+00:00,,,,,,33831.0,,,0.0,33831.0,117917349.42,122880000.0,49.38,49.24,0.14
wasm_interpreted,10,2025-04-01T17:12:54.846472+00:00,,,,,,33832.0,,,0.0,33832.0,107610112.0,112574464.0,49.33,49.25,0.08
wasm_aot,8,2025-04-01T17:14:53.318928+00:00,,,,,,34870.0,,,0.0,34870.0,116407446.19,120774656.0,45.75,45.3,0.37
docker_container,8,2025-04-01T17:17:06.905541+00:00,,,,,,22.0,,,0.0,19.0,1110016.0,3723264.0,,,
docker_container_and_daemon,8,2025-04-01T17:17:06.905541+00:00,,,,,,22.0,,,0.0,19.0,1110016.0,698449920.0,,,
docker_container_and_daemon_extra_overhead,8,2025-04-01T17:17:06.905541+00:00,,,,,,22.0,,,0.0,19.0,1110016.0,3723264.0,,,
wasm_interpreted,11,2025-04-01T17:17:41.438062+00:00,,,,,,33831.0,,,0.0,33831.0,113123201.97,118075392.0,48.64,48.56,0.08
docker_container,9,2025-04-01T17:19:41.144921+00:00,,,,,,362.0,,,0.0,367.0,2703360.0,3342336.0,,,
docker_container_and_daemon,9,2025-04-01T17:19:41.144921+00:00,,,,,,425.92,,,5.05,425.88,53442560.0,698068992.0,,,
docker_container_and_daemon_extra_overhead,9,2025-04-01T17:19:41.144921+00:00,,,,,,425.92,,,5.05,425.88,2703360.0,3342336.0,,,
wasm_aot,9,2025-04-01T17:20:14.599430+00:00,,,,,,34871.0,,,18.0,34853.0,123873878.65,129208320.0,49.57,49.17,0.11
wasm_interpreted,12,2025-04-01T17:22:15.581936+00:00,,,,,,33833.0,,,0.0,33833.0,107733116.12,112615424.0,49.05,48.94,0.07
wasm_interpreted,13,2025-04-01T17:24:13.178000+00:00,,,,,,33835.0,,,0.0,33835.0,108787167.59,112578560.0,48.5,48.19,0.29
docker_container,10,2025-04-01T17:26:47.610815+00:00,,,,,,11.0,,,0.0,10.0,1613824.0,3506176.0,,,
docker_container_and_daemon,10,2025-04-01T17:26:47.610815+00:00,,,,,,49.2,,,0.0,48.2,51902464.0,698232832.0,,,
docker_container_and_daemon_extra_overhead,10,2025-04-01T17:26:47.610815+00:00,,,,,,49.2,,,0.0,48.2,1902592.0,3506176.0,,,
wasm_aot,10,2025-04-01T17:27:22.454786+00:00,,,,,,34870.0,,,0.0,34870.0,110030972.12,115286016.0,49.32,48.77,0.48
docker_container,11,2025-04-01T17:29:24.127069+00:00,,,,,,50.0,,,0.0,50.0,2392064.0,3432448.0,,,
docker_container_and_daemon,11,2025-04-01T17:29:24.127069+00:00,,,,,,50.0,,,0.0,50.0,53116928.0,698159104.0,,,
docker_container_and_daemon_extra_overhead,11,2025-04-01T17:29:24.127069+00:00,,,,,,50.0,,,0.0,50.0,3000320.0,3432448.0,,,
docker_container,12,2025-04-01T17:29:56.852930+00:00,,,,,,188.0,,,0.0,163.0,3141632.0,3334144.0,,,
docker_container_and_daemon,12,2025-04-01T17:29:56.852930+00:00,,,,,,188.0,,,0.0,163.0,54423552.0,698060800.0,,,
docker_container_and_daemon_extra_overhead,12,2025-04-01T17:29:56.852930+00:00,,,,,,188.0,,,0.0,163.0,4390912.0,3334144.0,,,
wasm_aot,11,2025-04-01T17:30:29.944561+00:00,,,,,,34870.0,,,0.0,34870.0,110235766.72,115277824.0,49.58,49.16,0.12
wasm_aot,12,2025-04-01T17:32:33.126276+00:00,,,,,,34871.0,,,14.0,34857.0,118519808.0,123400192.0,49.88,49.53,0.24
wasm_interpreted,14,2025-04-01T17:34:32.099127+00:00,,,,,,33842.0,,,8.0,33834.0,111103156.71,116686848.0,49.42,48.41,0.61
wasm_aot,13,2025-04-01T17:36:34.749107+00:00,,,,,,34873.0,,,17.0,34856.0,120740343.61,125657088.0,49.79,49.41,0.16
docker_container,13,2025-04-01T17:38:32.560847+00:00,,,,,,103.0,,,0.0,97.0,2551808.0,3735552.0,,,
docker_container_and_daemon,13,2025-04-01T17:38:32.560847+00:00,,,,,,103.0,,,0.0,97.0,50984960.0,698462208.0,,,
docker_container_and_daemon_extra_overhead,13,2025-04-01T17:38:32.560847+00:00,,,,,,103.0,,,0.0,97.0,2902016.0,3735552.0,,,
wasm_aot,14,2025-04-01T17:39:06.726662+00:00,,,,,,34870.0,,,5.0,34865.0,116898214.6,122073088.0,49.28,48.77,0.5
docker_container,14,2025-04-01T17:41:06.288839+00:00,,,,,,253.0,,,4.0,249.0,1703936.0,3411968.0,,,
docker_container_and_daemon,14,2025-04-01T17:41:06.288839+00:00,,,,,,253.0,,,4.0,249.0,1703936.0,698138624.0,,,
docker_container_and_daemon_extra_overhead,14,2025-04-01T17:41:06.288839+00:00,,,,,,253.0,,,4.0,249.0,1703936.0,3411968.0,,,
wasm_interpreted,15,2025-04-01T17:41:39.839185+00:00,,,,,,35905.0,,,435.0,35469.0,128541071.61,164630528.0,38.21,36.95,1.15
docker_container,15,2025-04-01T17:46:34.165615+00:00,,,,,,30294.0,,,0.0,30286.0,37408768.0,84582400.0,25.85,12.5,13.35
docker_container_and_daemon,15,2025-04-01T17:46:34.165615+00:00,,,,,,30361.26,,,2.99,30350.27,83117397.33,779309056.0,28.64,13.61,15.03
docker_container_and_daemon_extra_overhead,15,2025-04-01T17:46:34.165615+00:00,,,,,,30359.26,,,0.9900000000000002,30350.27,37653845.33,84582400.0,28.610000000000003,13.58,15.03
wasm_aot,15,2025-04-01T17:48:11.356630+00:00,,,,,,35027.0,,,174.0,34853.0,135217265.78,141697024.0,49.65,48.93,0.49
wasm_interpreted,16,2025-04-01T17:50:22.164496+00:00,,,,,,33833.0,,,0.0,33833.0,105657490.29,112570368.0,49.83,49.38,0.45
wasm_interpreted,17,2025-04-01T17:52:27.227534+00:00,,,,,,33833.0,,,0.0,33833.0,107464216.38,112582656.0,49.13,48.93,0.06
wasm_aot,16,2025-04-01T17:54:25.138856+00:00,,,,,,34871.0,,,0.0,34871.0,109943634.71,115281920.0,49.88,49.76,0.07
