deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-04-01T18:13:01.730739+00:00,2.5
docker,2,2025-04-01T18:13:04.332916+00:00,1.71
wasm_aot,1,2025-04-01T18:13:06.121414+00:00,97.53
wasm_aot,2,2025-04-01T18:14:43.662338+00:00,94.07
wasm_interpreted,1,2025-04-01T18:16:17.740993+00:00,95.83
wasm_interpreted,2,2025-04-01T18:17:53.580551+00:00,94.81
docker,3,2025-04-01T18:19:28.402793+00:00,1.91
wasm_interpreted,3,2025-04-01T18:19:30.388376+00:00,93.9
wasm_aot,3,2025-04-01T18:21:04.293953+00:00,94.43
wasm_interpreted,4,2025-04-01T18:22:38.735327+00:00,94.07
docker,4,2025-04-01T18:24:12.810633+00:00,1.73
docker,5,2025-04-01T18:24:14.622827+00:00,1.92
docker,6,2025-04-01T18:24:16.621570+00:00,1.68
wasm_interpreted,5,2025-04-01T18:24:18.373309+00:00,94.62
wasm_aot,4,2025-04-01T18:25:52.999615+00:00,95.07
wasm_aot,5,2025-04-01T18:27:28.079469+00:00,94.14
docker,7,2025-04-01T18:29:02.225453+00:00,1.8
wasm_interpreted,6,2025-04-01T18:29:04.103169+00:00,111.41
wasm_interpreted,7,2025-04-01T18:30:55.524213+00:00,95.67
wasm_interpreted,8,2025-04-01T18:32:31.205636+00:00,96.63
wasm_interpreted,9,2025-04-01T18:34:07.847514+00:00,122.92
wasm_aot,6,2025-04-01T18:36:10.791176+00:00,96.63
docker,8,2025-04-01T18:37:47.434203+00:00,2.74
docker,9,2025-04-01T18:37:50.256861+00:00,1.86
docker,10,2025-04-01T18:37:52.193442+00:00,1.79
wasm_interpreted,10,2025-04-01T18:37:54.057340+00:00,95.19
wasm_aot,7,2025-04-01T18:39:29.258746+00:00,94.7
wasm_aot,8,2025-04-01T18:41:03.963804+00:00,95.07
wasm_aot,9,2025-04-01T18:42:39.039594+00:00,94.96000000000001
wasm_aot,10,2025-04-01T18:44:14.011077+00:00,94.9
wasm_interpreted,11,2025-04-01T18:45:48.925601+00:00,95.13
wasm_interpreted,12,2025-04-01T18:47:24.063789+00:00,96.49000000000001
wasm_interpreted,13,2025-04-01T18:49:00.561988+00:00,95.5
wasm_aot,11,2025-04-01T18:50:36.073474+00:00,95.34
docker,11,2025-04-01T18:52:11.419742+00:00,2.07
docker,12,2025-04-01T18:52:13.562772+00:00,1.75
docker,13,2025-04-01T18:52:15.387617+00:00,1.76
docker,14,2025-04-01T18:52:17.225415+00:00,2.1
wasm_aot,12,2025-04-01T18:52:19.407734+00:00,95.36
wasm_interpreted,14,2025-04-01T18:53:54.772694+00:00,95.35
wasm_interpreted,15,2025-04-01T18:55:30.135214+00:00,95.50999999999999
wasm_aot,13,2025-04-01T18:57:05.650227+00:00,94.63
wasm_interpreted,16,2025-04-01T18:58:40.288427+00:00,96.97999999999999
docker,15,2025-04-01T19:00:17.279081+00:00,1.7
docker,16,2025-04-01T19:00:19.052579+00:00,2.28
wasm_aot,14,2025-04-01T19:00:21.400444+00:00,96.45
wasm_aot,15,2025-04-01T19:01:57.856037+00:00,99.09
docker,17,2025-04-01T19:03:36.959250+00:00,1.94
wasm_interpreted,17,2025-04-01T19:03:38.980332+00:00,95.78
docker,18,2025-04-01T19:05:14.766351+00:00,1.76
wasm_aot,16,2025-04-01T19:05:16.596092+00:00,94.37
wasm_aot,17,2025-04-01T19:06:50.980036+00:00,95.6
wasm_aot,18,2025-04-01T19:08:26.589964+00:00,94.56
docker,19,2025-04-01T19:10:01.157534+00:00,1.69
wasm_aot,19,2025-04-01T19:10:02.942540+00:00,95.81
wasm_aot,20,2025-04-01T19:11:38.755854+00:00,94.27000000000001
docker,20,2025-04-01T19:13:13.034804+00:00,1.63
wasm_interpreted,18,2025-04-01T19:13:14.738923+00:00,94.6
wasm_interpreted,19,2025-04-01T19:14:49.346797+00:00,94.69
wasm_interpreted,20,2025-04-01T19:16:24.044001+00:00,96.53
