deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_interpreted,1,2025-04-01T14:48:59.003992+00:00,,,,,,24679.0,,,508.0,24171.0,157356544.0,174026752.0,48.01,43.36,3.72
docker_container,1,2025-04-01T14:49:43.935387+00:00,,,,,,9652.0,,,382.0,9270.0,57092778.67,105463808.0,9.17,2.08,6.85
docker_container_and_daemon,1,2025-04-01T14:49:43.935387+00:00,,,,,,10640.55,,,893.63,9664.81,120144554.67,800190464.0,13.57,2.6,10.73
docker_container_and_daemon_extra_overhead,1,2025-04-01T14:49:43.935387+00:00,,,,,,10581.55,,,841.63,9660.81,65538730.67,105463808.0,13.379999999999999,2.42,10.719999999999999
docker_container,2,2025-04-01T14:50:24.940435+00:00,,,,,,201.0,,,0.0,176.0,3399680.0,3436544.0,,,
docker_container_and_daemon,2,2025-04-01T14:50:24.940435+00:00,,,,,,201.0,,,0.0,176.0,70213632.0,698163200.0,,,
docker_container_and_daemon_extra_overhead,2,2025-04-01T14:50:24.940435+00:00,,,,,,201.0,,,0.0,176.0,4653056.0,3436544.0,,,
wasm_interpreted,2,2025-04-01T14:50:57.647023+00:00,,,,,,24662.0,,,464.0,24198.0,151375325.87,168677376.0,47.89,41.09,5.53
docker_container,3,2025-04-01T14:51:41.927502+00:00,,,,,,41.0,,,0.0,28.0,2584576.0,3342336.0,,,
docker_container_and_daemon,3,2025-04-01T14:51:41.927502+00:00,,,,,,41.0,,,0.0,28.0,2584576.0,698068992.0,,,
docker_container_and_daemon_extra_overhead,3,2025-04-01T14:51:41.927502+00:00,,,,,,41.0,,,0.0,28.0,2584576.0,3342336.0,,,
wasm_interpreted,3,2025-04-01T14:52:14.521415+00:00,,,,,,24343.0,,,0.0,24343.0,73859072.0,84127744.0,47.6,47.44,0.16
docker_container,4,2025-04-01T14:52:56.155745+00:00,,,,,,159.0,,,0.0,120.0,4464640.0,4464640.0,,,
docker_container_and_daemon,4,2025-04-01T14:52:56.155745+00:00,,,,,,159.0,,,0.0,120.0,72376320.0,699191296.0,,,
docker_container_and_daemon_extra_overhead,4,2025-04-01T14:52:56.155745+00:00,,,,,,159.0,,,0.0,120.0,4517888.0,4464640.0,,,
docker_container,5,2025-04-01T14:53:28.241702+00:00,,,,,,441.0,,,0.0,167.0,3588096.0,3588096.0,,,
docker_container_and_daemon,5,2025-04-01T14:53:28.241702+00:00,,,,,,441.0,,,0.0,167.0,3588096.0,698314752.0,,,
docker_container_and_daemon_extra_overhead,5,2025-04-01T14:53:28.241702+00:00,,,,,,441.0,,,0.0,167.0,3588096.0,3588096.0,,,
wasm_interpreted,4,2025-04-01T14:54:00.509837+00:00,,,,,,24466.0,,,199.0,24267.0,116584448.0,126668800.0,48.96,48.42,0.0
wasm_interpreted,5,2025-04-01T14:54:41.638711+00:00,,,,,,24343.0,,,3.0,24340.0,74236586.67,84574208.0,49.61,49.03,0.13
wasm_interpreted,6,2025-04-01T14:55:22.448006+00:00,,,,,,24345.0,,,0.0,24345.0,83410944.0,93757440.0,45.19,45.08,0.11
wasm_aot,1,2025-04-01T14:56:06.128203+00:00,,,,,,25402.0,,,21.0,25381.0,80990208.0,91668480.0,49.38,49.0,0.07
wasm_aot,2,2025-04-01T14:56:46.732626+00:00,,,,,,25380.0,,,3.0,25377.0,82284544.0,92962816.0,46.8,46.39,0.13
docker_container,6,2025-04-01T14:57:28.591415+00:00,,,,,,8.0,,,0.0,3.0,2539520.0,3072000.0,,,
docker_container_and_daemon,6,2025-04-01T14:57:28.591415+00:00,,,,,,8.0,,,0.0,3.0,69750784.0,697798656.0,,,
docker_container_and_daemon_extra_overhead,6,2025-04-01T14:57:28.591415+00:00,,,,,,8.0,,,0.0,3.0,3104768.0,3072000.0,,,
docker_container,7,2025-04-01T14:58:32.897038+00:00,,,,,,16.0,,,0.0,9.0,2551808.0,3739648.0,,,
docker_container_and_daemon,7,2025-04-01T14:58:32.897038+00:00,,,,,,16.0,,,0.0,9.0,70696960.0,698466304.0,,,
docker_container_and_daemon_extra_overhead,7,2025-04-01T14:58:32.897038+00:00,,,,,,16.0,,,0.0,9.0,3686400.0,3739648.0,,,
wasm_aot,3,2025-04-01T14:59:05.254993+00:00,,,,,,25403.0,,,21.0,25382.0,81317888.0,98672640.0,47.56,47.42,0.03
wasm_aot,4,2025-04-01T14:59:46.847203+00:00,,,,,,25542.0,,,241.0,25301.0,122081595.08,132177920.0,43.64,41.85,0.65
wasm_interpreted,7,2025-04-01T15:00:30.257042+00:00,,,,,,24352.0,,,4.0,24348.0,74870784.0,85053440.0,46.86,46.79,0.07
wasm_aot,5,2025-04-01T15:01:10.720013+00:00,,,,,,25383.0,,,7.0,25376.0,87003136.0,97345536.0,49.54,48.35,0.09
wasm_interpreted,8,2025-04-01T15:01:51.935561+00:00,,,,,,24342.0,,,11.0,24331.0,76824576.0,87420928.0,47.22,47.2,0.02
docker_container,8,2025-04-01T15:02:32.554953+00:00,,,,,,5.0,,,1.0,0.0,2154496.0,3424256.0,,,
docker_container_and_daemon,8,2025-04-01T15:02:32.554953+00:00,,,,,,5.0,,,1.0,0.0,67731456.0,698150912.0,,,
