deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_interpreted,1,2025-04-01T15:29:10.971787+00:00,21.67
docker,1,2025-04-01T15:29:32.662539+00:00,1.76
wasm_interpreted,2,2025-04-01T15:29:34.498639+00:00,20.35
docker,2,2025-04-01T15:29:54.855263+00:00,1.43
docker,3,2025-04-01T15:29:56.359317+00:00,1.41
docker,4,2025-04-01T15:29:57.837648+00:00,1.41
wasm_aot,1,2025-04-01T15:29:59.321216+00:00,20.06
wasm_interpreted,3,2025-04-01T15:30:19.391913+00:00,20.58
docker,5,2025-04-01T15:30:39.984432+00:00,1.65
docker,6,2025-04-01T15:30:41.705790+00:00,1.69
wasm_aot,2,2025-04-01T15:30:43.466270+00:00,20.27
wasm_aot,3,2025-04-01T15:31:03.748389+00:00,19.6
docker,7,2025-04-01T15:31:23.356618+00:00,1.78
wasm_interpreted,4,2025-04-01T15:31:25.235206+00:00,30.34
docker,8,2025-04-01T15:31:55.595194+00:00,4.28
wasm_aot,4,2025-04-01T15:31:59.973111+00:00,29.86
docker,9,2025-04-01T15:32:29.847156+00:00,7.11
wasm_aot,5,2025-04-01T15:32:37.478490+00:00,21.32
docker,10,2025-04-01T15:32:58.837175+00:00,1.69
wasm_interpreted,5,2025-04-01T15:33:00.600894+00:00,20.69
docker,11,2025-04-01T15:33:21.297900+00:00,1.52
wasm_aot,6,2025-04-01T15:33:22.886923+00:00,20.43
docker,12,2025-04-01T15:33:43.324467+00:00,1.53
wasm_aot,7,2025-04-01T15:33:44.931408+00:00,20.63
wasm_interpreted,6,2025-04-01T15:34:05.568601+00:00,20.15
wasm_interpreted,7,2025-04-01T15:34:25.729787+00:00,19.98
wasm_interpreted,8,2025-04-01T15:34:45.720879+00:00,20.5
wasm_interpreted,9,2025-04-01T15:35:06.231824+00:00,19.82
wasm_interpreted,10,2025-04-01T15:35:26.065027+00:00,19.74
wasm_aot,8,2025-04-01T15:35:45.816634+00:00,19.94
wasm_aot,9,2025-04-01T15:36:05.764891+00:00,19.5
docker,13,2025-04-01T15:36:25.277732+00:00,1.65
wasm_aot,10,2025-04-01T15:36:27.009635+00:00,20.03
wasm_interpreted,11,2025-04-01T15:36:47.043884+00:00,20.38
docker,14,2025-04-01T15:37:07.435065+00:00,1.48
wasm_aot,11,2025-04-01T15:37:08.991766+00:00,19.64
wasm_interpreted,12,2025-04-01T15:37:28.643700+00:00,19.68
wasm_aot,12,2025-04-01T15:37:48.329092+00:00,19.61
docker,15,2025-04-01T15:38:07.944879+00:00,1.52
wasm_interpreted,13,2025-04-01T15:38:09.545147+00:00,19.91
docker,16,2025-04-01T15:38:29.462909+00:00,1.47
wasm_aot,13,2025-04-01T15:38:31.012792+00:00,19.6
wasm_aot,14,2025-04-01T15:38:50.616881+00:00,19.79
wasm_aot,15,2025-04-01T15:39:10.419442+00:00,19.51
wasm_aot,16,2025-04-01T15:39:29.942670+00:00,19.51
wasm_aot,17,2025-04-01T15:39:49.458509+00:00,19.65
wasm_aot,18,2025-04-01T15:40:09.116869+00:00,19.48
docker,17,2025-04-01T15:40:28.607717+00:00,1.49
docker,18,2025-04-01T15:40:30.172194+00:00,1.4
docker,19,2025-04-01T15:40:31.650862+00:00,1.43
wasm_interpreted,14,2025-04-01T15:40:33.159416+00:00,19.72
wasm_interpreted,15,2025-04-01T15:40:52.891063+00:00,19.93
wasm_interpreted,16,2025-04-01T15:41:12.832427+00:00,19.47
wasm_interpreted,17,2025-04-01T15:41:32.312000+00:00,19.59
wasm_aot,19,2025-04-01T15:41:51.910788+00:00,20.06
docker,20,2025-04-01T15:42:11.979699+00:00,1.48
wasm_aot,20,2025-04-01T15:42:13.531550+00:00,19.65
wasm_interpreted,18,2025-04-01T15:42:33.194633+00:00,19.75
wasm_interpreted,19,2025-04-01T15:42:52.956510+00:00,19.81
wasm_interpreted,20,2025-04-01T15:43:12.779690+00:00,19.46
