deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_interpreted,1,2025-04-01T15:43:34.640349+00:00,,,,,,24513.0,,,319.0,24194.0,121293092.57,137080832.0,44.77,39.92,2.99
wasm_aot,1,2025-04-01T15:44:19.081654+00:00,,,,,,25385.0,,,3.0,25382.0,76582912.0,86867968.0,47.36,47.33,0.03
wasm_interpreted,2,2025-04-01T15:45:00.033038+00:00,,,,,,24345.0,,,5.0,24340.0,84131840.0,94494720.0,47.68,47.62,0.06
docker_container,1,2025-04-01T15:45:40.939705+00:00,,,,,,12077.0,,,427.0,11649.0,59054080.0,115359744.0,27.68,12.14,15.54
docker_container_and_daemon,1,2025-04-01T15:45:40.939705+00:00,,,,,,12079.46,,,427.0,11651.46,128450560.0,810086400.0,28.36,12.39,15.969999999999999
docker_container_and_daemon_extra_overhead,1,2025-04-01T15:45:40.939705+00:00,,,,,,12079.46,,,427.0,11651.46,59371520.0,115359744.0,28.36,12.39,15.969999999999999
wasm_aot,2,2025-04-01T15:46:15.203725+00:00,,,,,,25384.0,,,6.0,25378.0,80944566.86,97456128.0,47.19,47.87,1.44
docker_container,2,2025-04-01T15:46:56.260539+00:00,,,,,,42.0,,,6.0,32.0,4964352.0,4964352.0,,,
docker_container_and_daemon,2,2025-04-01T15:46:56.260539+00:00,,,,,,42.0,,,6.0,32.0,74354688.0,699691008.0,,,
docker_container_and_daemon_extra_overhead,2,2025-04-01T15:46:56.260539+00:00,,,,,,42.0,,,6.0,32.0,5193728.0,4964352.0,,,
docker_container,3,2025-04-01T15:47:29.439134+00:00,,,,,,80.0,,,0.0,80.0,2658304.0,3526656.0,,,
docker_container_and_daemon,3,2025-04-01T15:47:29.439134+00:00,,,,,,80.0,,,0.0,80.0,72716288.0,698253312.0,,,
docker_container_and_daemon_extra_overhead,3,2025-04-01T15:47:29.439134+00:00,,,,,,80.0,,,0.0,80.0,3457024.0,3526656.0,,,
wasm_interpreted,3,2025-04-01T15:48:01.848365+00:00,,,,,,24344.0,,,5.0,24339.0,79360000.0,89960448.0,43.84,43.84,0.0
wasm_interpreted,4,2025-04-01T15:48:42.883624+00:00,,,,,,24343.0,,,0.0,24343.0,75149312.0,85766144.0,49.73,49.37,0.07
wasm_interpreted,5,2025-04-01T15:49:23.074214+00:00,,,,,,24344.0,,,0.0,24344.0,68271542.86,84123648.0,49.82,49.38,0.44
wasm_aot,3,2025-04-01T15:50:03.555059+00:00,,,,,,25382.0,,,0.0,25382.0,77275136.0,87887872.0,49.77,49.32,0.04
wasm_interpreted,6,2025-04-01T15:50:43.801830+00:00,,,,,,24345.0,,,0.0,24345.0,73519104.0,84197376.0,47.02,46.72,0.02
wasm_interpreted,7,2025-04-01T15:51:23.804415+00:00,,,,,,24343.0,,,0.0,24343.0,73531392.0,84127744.0,49.51,49.22,0.06
wasm_interpreted,8,2025-04-01T15:52:04.588843+00:00,,,,,,24345.0,,,0.0,24345.0,76677120.0,87265280.0,49.92,49.59,0.05
wasm_aot,4,2025-04-01T15:52:45.120569+00:00,,,,,,25380.0,,,0.0,25380.0,76226560.0,86732800.0,47.42,47.36,0.05
wasm_aot,5,2025-04-01T15:53:25.988159+00:00,,,,,,25380.0,,,0.0,25380.0,77791232.0,88391680.0,43.57,43.51,0.05
wasm_interpreted,9,2025-04-01T15:54:06.821434+00:00,,,,,,24344.0,,,0.0,24344.0,73535488.0,84172800.0,47.13,47.09,0.04
