deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_interpreted,1,2025-04-01T16:23:09.333560+00:00,19.68
wasm_interpreted,2,2025-04-01T16:23:29.019486+00:00,19.74
wasm_aot,1,2025-04-01T16:23:48.765519+00:00,21.3
wasm_interpreted,3,2025-04-01T16:24:10.076532+00:00,19.82
wasm_interpreted,4,2025-04-01T16:24:29.906557+00:00,19.79
docker,1,2025-04-01T16:24:49.700445+00:00,1.46
docker,2,2025-04-01T16:24:51.273132+00:00,1.38
docker,3,2025-04-01T16:24:52.717511+00:00,1.42
wasm_interpreted,5,2025-04-01T16:24:54.210186+00:00,19.73
wasm_aot,2,2025-04-01T16:25:13.945930+00:00,19.82
docker,4,2025-04-01T16:25:33.770786+00:00,1.43
wasm_interpreted,6,2025-04-01T16:25:35.275852+00:00,20.37
wasm_interpreted,7,2025-04-01T16:25:55.655985+00:00,19.93
wasm_aot,3,2025-04-01T16:26:15.593395+00:00,19.83
wasm_aot,4,2025-04-01T16:26:35.429515+00:00,20.19
wasm_aot,5,2025-04-01T16:26:55.632533+00:00,19.86
docker,5,2025-04-01T16:27:15.497020+00:00,1.41
docker,6,2025-04-01T16:27:16.979863+00:00,1.41
wasm_aot,6,2025-04-01T16:27:18.460653+00:00,19.78
wasm_interpreted,8,2025-04-01T16:27:38.250903+00:00,20.3
wasm_aot,7,2025-04-01T16:27:58.560716+00:00,19.88
docker,7,2025-04-01T16:28:18.446323+00:00,1.37
docker,8,2025-04-01T16:28:19.894356+00:00,1.41
docker,9,2025-04-01T16:28:21.380031+00:00,1.41
wasm_interpreted,9,2025-04-01T16:28:22.867234+00:00,19.82
wasm_aot,8,2025-04-01T16:28:42.695715+00:00,20.15
wasm_aot,9,2025-04-01T16:29:02.856369+00:00,20.04
wasm_interpreted,10,2025-04-01T16:29:22.906273+00:00,19.9
wasm_aot,10,2025-04-01T16:29:42.810494+00:00,19.92
wasm_interpreted,11,2025-04-01T16:30:02.742867+00:00,19.77
wasm_interpreted,12,2025-04-01T16:30:22.520015+00:00,19.49
docker,10,2025-04-01T16:30:42.020768+00:00,1.66
docker,11,2025-04-01T16:30:43.773053+00:00,1.34
wasm_aot,11,2025-04-01T16:30:45.187004+00:00,19.51
docker,12,2025-04-01T16:31:04.705181+00:00,1.45
wasm_interpreted,13,2025-04-01T16:31:06.229219+00:00,19.46
wasm_interpreted,14,2025-04-01T16:31:25.692880+00:00,19.65
wasm_interpreted,15,2025-04-01T16:31:45.349461+00:00,19.48
docker,13,2025-04-01T16:32:04.833594+00:00,1.57
docker,14,2025-04-01T16:32:06.470133+00:00,1.38
wasm_interpreted,16,2025-04-01T16:32:07.919478+00:00,19.59
docker,15,2025-04-01T16:32:27.513185+00:00,1.46
wasm_interpreted,17,2025-04-01T16:32:29.050525+00:00,19.79
wasm_aot,12,2025-04-01T16:32:48.848283+00:00,19.86
wasm_aot,13,2025-04-01T16:33:08.714042+00:00,19.78
wasm_aot,14,2025-04-01T16:33:28.505792+00:00,19.6
docker,16,2025-04-01T16:33:48.110286+00:00,1.46
wasm_aot,15,2025-04-01T16:33:49.646261+00:00,19.43
wasm_interpreted,18,2025-04-01T16:34:09.087627+00:00,19.43
wasm_aot,16,2025-04-01T16:34:28.525918+00:00,19.59
wasm_aot,17,2025-04-01T16:34:48.126704+00:00,19.66
docker,17,2025-04-01T16:35:07.798454+00:00,1.43
wasm_aot,18,2025-04-01T16:35:09.295137+00:00,19.43
docker,18,2025-04-01T16:35:28.733545+00:00,1.39
wasm_interpreted,19,2025-04-01T16:35:30.195571+00:00,19.62
wasm_aot,19,2025-04-01T16:35:49.827082+00:00,19.61
docker,19,2025-04-01T16:36:09.449970+00:00,1.39
wasm_aot,20,2025-04-01T16:36:10.917959+00:00,19.49
wasm_interpreted,20,2025-04-01T16:36:30.415472+00:00,19.64
docker,20,2025-04-01T16:36:50.062246+00:00,1.54
