deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_interpreted,1,2025-04-01T23:09:59.573986+00:00,109.25999999999999
wasm_interpreted,2,2025-04-01T23:11:48.860412+00:00,105.92
wasm_aot,1,2025-04-01T23:13:34.794440+00:00,107.88
wasm_aot,2,2025-04-01T23:15:22.686394+00:00,102.75999999999999
wasm_interpreted,3,2025-04-01T23:17:05.456582+00:00,112.17
wasm_aot,3,2025-04-01T23:18:57.637465+00:00,120.57
wasm_aot,4,2025-04-01T23:20:58.220917+00:00,112.5
docker,1,2025-04-01T23:22:50.734747+00:00,3.4
docker,2,2025-04-01T23:22:54.226274+00:00,2.22
wasm_interpreted,4,2025-04-01T23:22:56.548380+00:00,101.12
docker,3,2025-04-01T23:24:37.671960+00:00,1.86
wasm_interpreted,5,2025-04-01T23:24:39.612750+00:00,119.72999999999999
wasm_interpreted,6,2025-04-01T23:26:39.350129+00:00,116.6
docker,4,2025-04-01T23:28:35.967642+00:00,2.84
docker,5,2025-04-01T23:28:38.924892+00:00,2.24
wasm_interpreted,7,2025-04-01T23:28:41.276576+00:00,108.22
wasm_aot,5,2025-04-01T23:30:29.512496+00:00,108.89
wasm_aot,6,2025-04-01T23:32:18.409865+00:00,104.1
docker,6,2025-04-01T23:34:02.516793+00:00,1.94
wasm_aot,7,2025-04-01T23:34:04.541937+00:00,97.93
wasm_interpreted,8,2025-04-01T23:35:42.482629+00:00,98.03
wasm_aot,8,2025-04-01T23:37:20.516904+00:00,96.28999999999999
docker,7,2025-04-01T23:38:56.816651+00:00,1.94
wasm_interpreted,9,2025-04-01T23:38:58.831870+00:00,95.85
docker,8,2025-04-01T23:40:34.691613+00:00,1.76
wasm_aot,9,2025-04-01T23:40:36.529300+00:00,96.3
docker,9,2025-04-01T23:42:12.837284+00:00,1.77
wasm_interpreted,10,2025-04-01T23:42:14.687655+00:00,97.75999999999999
docker,10,2025-04-01T23:43:52.454595+00:00,1.7
docker,11,2025-04-01T23:43:54.230524+00:00,1.73
docker,12,2025-04-01T23:43:56.036824+00:00,1.73
wasm_aot,10,2025-04-01T23:43:57.847344+00:00,96.14
wasm_interpreted,11,2025-04-01T23:45:33.991016+00:00,95.63
wasm_aot,11,2025-04-01T23:47:09.631657+00:00,95.61
wasm_interpreted,12,2025-04-01T23:48:45.248749+00:00,95.25
wasm_aot,12,2025-04-01T23:50:20.507736+00:00,95.31
wasm_interpreted,13,2025-04-01T23:51:55.822286+00:00,94.34
docker,13,2025-04-01T23:53:30.166755+00:00,1.78
wasm_aot,13,2025-04-01T23:53:32.024493+00:00,94.3
docker,14,2025-04-01T23:55:06.330959+00:00,1.63
wasm_aot,14,2025-04-01T23:55:08.040275+00:00,93.25999999999999
wasm_interpreted,14,2025-04-01T23:56:41.312955+00:00,93.92
wasm_aot,15,2025-04-01T23:58:15.244677+00:00,98.03999999999999
wasm_interpreted,15,2025-04-01T23:59:53.293638+00:00,99.52000000000001
docker,15,2025-04-02T00:01:32.829199+00:00,2.33
wasm_interpreted,16,2025-04-02T00:01:35.239779+00:00,95.97
docker,16,2025-04-02T00:03:11.221327+00:00,1.69
docker,17,2025-04-02T00:03:12.987375+00:00,1.6
wasm_interpreted,17,2025-04-02T00:03:14.659185+00:00,95.1
wasm_aot,16,2025-04-02T00:04:49.766803+00:00,93.58
wasm_interpreted,18,2025-04-02T00:06:23.357383+00:00,94.52000000000001
wasm_aot,17,2025-04-02T00:07:57.886427+00:00,95.68
docker,18,2025-04-02T00:09:33.572936+00:00,1.73
wasm_aot,18,2025-04-02T00:09:35.372185+00:00,95.28999999999999
wasm_interpreted,19,2025-04-02T00:11:10.671508+00:00,93.43
wasm_aot,19,2025-04-02T00:12:44.109763+00:00,93.53
wasm_interpreted,20,2025-04-02T00:14:17.647965+00:00,93.06
docker,19,2025-04-02T00:15:50.720454+00:00,1.71
docker,20,2025-04-02T00:15:52.556786+00:00,1.76
wasm_aot,20,2025-04-02T00:15:54.396666+00:00,93.74000000000001
