deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
docker_container,1,2025-04-01T19:18:03.600030+00:00,,,,,,20819.0,,,388.0,20428.0,93652992.0,185724928.0,16.94,5.81,11.13
docker_container_and_daemon,1,2025-04-01T19:18:03.600030+00:00,,,,,,20865.67,,,388.0,20472.39,140638208.0,880451584.0,17.470000000000002,5.989999999999999,11.48
docker_container_and_daemon_extra_overhead,1,2025-04-01T19:18:03.600030+00:00,,,,,,20865.67,,,388.0,20472.39,95361024.0,185724928.0,17.450000000000003,5.97,11.48
wasm_interpreted,1,2025-04-01T19:19:09.217074+00:00,,,,,,60183.0,,,487.0,59696.0,228231288.47,277590016.0,47.41,43.92,2.69
wasm_interpreted,2,2025-04-01T19:19:54.839335+00:00,,,,,,59869.0,,,21.0,59848.0,186784846.77,230744064.0,45.85,43.4,0.17
docker_container,2,2025-04-01T19:20:37.116680+00:00,,,,,,12.0,,,4.0,8.0,2949120.0,3792896.0,,,
docker_container_and_daemon,2,2025-04-01T19:20:37.116680+00:00,,,,,,12.0,,,4.0,8.0,49025024.0,698519552.0,,,
docker_container_and_daemon_extra_overhead,2,2025-04-01T19:20:37.116680+00:00,,,,,,12.0,,,4.0,8.0,3379200.0,3792896.0,,,
docker_container,3,2025-04-01T19:21:10.743065+00:00,,,,,,173.0,,,0.0,193.0,4915200.0,4915200.0,,,
docker_container_and_daemon,3,2025-04-01T19:21:10.743065+00:00,,,,,,173.0,,,0.0,193.0,52084736.0,699641856.0,,,
docker_container_and_daemon_extra_overhead,3,2025-04-01T19:21:10.743065+00:00,,,,,,173.0,,,0.0,193.0,6074368.0,4915200.0,,,
wasm_interpreted,3,2025-04-01T19:21:43.711088+00:00,,,,,,59867.0,,,1.0,59866.0,158251300.57,204038144.0,44.65,42.27,1.3
docker_container,4,2025-04-01T19:22:26.380309+00:00,,,,,,190.0,,,0.0,155.0,3502080.0,3690496.0,,,
docker_container_and_daemon,4,2025-04-01T19:22:26.380309+00:00,,,,,,190.0,,,0.0,155.0,49131520.0,698417152.0,,,
