deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-04-01T19:58:21.551598+00:00,2.97
wasm_interpreted,1,2025-04-01T19:58:24.600504+00:00,20.72
docker,2,2025-04-01T19:58:45.331597+00:00,1.49
docker,3,2025-04-01T19:58:46.904008+00:00,1.47
wasm_aot,1,2025-04-01T19:58:48.445498+00:00,20.42
docker,4,2025-04-01T19:59:08.869949+00:00,1.51
wasm_interpreted,2,2025-04-01T19:59:10.457151+00:00,20.04
wasm_aot,2,2025-04-01T19:59:30.508097+00:00,19.9
wasm_aot,3,2025-04-01T19:59:50.413194+00:00,19.88
wasm_interpreted,3,2025-04-01T20:00:10.296448+00:00,19.62
wasm_aot,4,2025-04-01T20:00:29.928130+00:00,19.95
docker,5,2025-04-01T20:00:49.882456+00:00,1.48
wasm_aot,5,2025-04-01T20:00:51.431382+00:00,19.77
wasm_aot,6,2025-04-01T20:01:11.214459+00:00,20.83
docker,6,2025-04-01T20:01:32.057563+00:00,1.51
wasm_interpreted,4,2025-04-01T20:01:33.649803+00:00,19.93
wasm_aot,7,2025-04-01T20:01:53.594943+00:00,19.73
docker,7,2025-04-01T20:02:13.334158+00:00,1.55
wasm_aot,8,2025-04-01T20:02:14.972069+00:00,19.92
docker,8,2025-04-01T20:02:34.896730+00:00,1.46
docker,9,2025-04-01T20:02:36.429979+00:00,1.46
wasm_aot,9,2025-04-01T20:02:37.970375+00:00,21.21
wasm_interpreted,5,2025-04-01T20:02:59.191763+00:00,23.12
wasm_aot,10,2025-04-01T20:03:22.320596+00:00,21.46
wasm_aot,11,2025-04-01T20:03:43.792720+00:00,30.85
wasm_interpreted,6,2025-04-01T20:04:14.678366+00:00,49.73
wasm_aot,12,2025-04-01T20:05:04.476186+00:00,25.0
wasm_aot,13,2025-04-01T20:05:29.503525+00:00,20.85
docker,10,2025-04-01T20:05:50.367567+00:00,3.98
wasm_aot,14,2025-04-01T20:05:54.461892+00:00,22.84
wasm_interpreted,7,2025-04-01T20:06:17.309389+00:00,22.29
wasm_interpreted,8,2025-04-01T20:06:39.610042+00:00,21.78
wasm_aot,15,2025-04-01T20:07:01.403538+00:00,22.11
wasm_aot,16,2025-04-01T20:07:23.520609+00:00,22.07
wasm_interpreted,9,2025-04-01T20:07:45.600864+00:00,22.3
wasm_interpreted,10,2025-04-01T20:08:07.907669+00:00,21.78
wasm_aot,17,2025-04-01T20:08:29.699211+00:00,21.72
wasm_interpreted,11,2025-04-01T20:08:51.431374+00:00,22.15
wasm_interpreted,12,2025-04-01T20:09:13.588314+00:00,21.69
wasm_interpreted,13,2025-04-01T20:09:35.283469+00:00,21.83
docker,11,2025-04-01T20:09:57.124930+00:00,1.85
wasm_aot,18,2025-04-01T20:09:59.066646+00:00,22.12
docker,12,2025-04-01T20:10:21.195384+00:00,1.75
docker,13,2025-04-01T20:10:23.045814+00:00,1.64
docker,14,2025-04-01T20:10:24.785979+00:00,1.57
wasm_interpreted,14,2025-04-01T20:10:26.454957+00:00,22.43
wasm_interpreted,15,2025-04-01T20:10:48.889301+00:00,21.87
wasm_aot,19,2025-04-01T20:11:10.767066+00:00,21.84
wasm_interpreted,16,2025-04-01T20:11:32.611059+00:00,21.84
wasm_aot,20,2025-04-01T20:11:54.463053+00:00,22.03
wasm_interpreted,17,2025-04-01T20:12:16.499086+00:00,23.04
docker,15,2025-04-01T20:12:39.544191+00:00,1.53
docker,16,2025-04-01T20:12:41.153885+00:00,1.43
wasm_interpreted,18,2025-04-01T20:12:42.670093+00:00,20.35
docker,17,2025-04-01T20:13:03.033690+00:00,1.68
docker,18,2025-04-01T20:13:04.800357+00:00,1.5
docker,19,2025-04-01T20:13:06.370427+00:00,1.53
wasm_interpreted,19,2025-04-01T20:13:08.097641+00:00,19.7
wasm_interpreted,20,2025-04-01T20:13:27.808472+00:00,19.64
docker,20,2025-04-01T20:13:47.460826+00:00,1.5
