deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
docker_container,1,2025-04-01T20:13:51.817377+00:00,,,,,,23385.0,,,123.0,23095.0,88459946.67,141680640.0,32.64,10.59,22.05
docker_container_and_daemon,1,2025-04-01T20:13:51.817377+00:00,,,,,,23391.53,,,125.61,23098.92,138074794.67000002,836407296.0,33.04,10.72,22.32
docker_container_and_daemon_extra_overhead,1,2025-04-01T20:13:51.817377+00:00,,,,,,23391.53,,,125.61,23098.92,88722090.67,141680640.0,33.02,10.72,22.3
docker_container,2,2025-04-01T20:14:28.261994+00:00,,,,,,38.0,,,0.0,7.0,3702784.0,3952640.0,,,
docker_container_and_daemon,2,2025-04-01T20:14:28.261994+00:00,,,,,,43.38,,,1.79,10.58,53127168.0,698679296.0,,,
docker_container_and_daemon_extra_overhead,2,2025-04-01T20:14:28.261994+00:00,,,,,,43.38,,,1.79,10.58,3950592.0,3952640.0,,,
wasm_interpreted,1,2025-04-01T20:15:01.956943+00:00,,,,,,64312.0,,,501.0,63811.0,231982592.0,294014976.0,43.13,38.82,3.97
docker_container,3,2025-04-01T20:16:13.746586+00:00,,,,,,17178.0,,,232.0,16948.0,53547008.0,105054208.0,25.31,4.55,20.76
docker_container_and_daemon,3,2025-04-01T20:16:13.746586+00:00,,,,,,17180.16,,,232.0,16950.16,102121472.0,799780864.0,25.83,4.72,21.110000000000003
docker_container_and_daemon_extra_overhead,3,2025-04-01T20:16:13.746586+00:00,,,,,,17180.16,,,232.0,16950.16,54059008.0,105054208.0,25.81,4.71,21.1
wasm_aot,1,2025-04-01T20:16:48.516966+00:00,,,,,,60923.0,,,10.0,60913.0,153527442.29,197865472.0,47.31,45.75,1.14
wasm_interpreted,2,2025-04-01T20:17:31.091681+00:00,,,,,,59865.0,,,28.0,59837.0,197854129.23,241889280.0,46.06,43.69,0.27
wasm_interpreted,3,2025-04-01T20:18:13.187085+00:00,,,,,,59865.0,,,0.0,59865.0,137798217.14,195670016.0,45.71,44.57,1.11
wasm_interpreted,4,2025-04-01T20:18:54.981101+00:00,,,,,,59864.0,,,0.0,59864.0,146034688.0,193331200.0,49.83,49.28,0.04
wasm_aot,2,2025-04-01T20:19:35.364999+00:00,,,,,,60920.0,,,6.0,60914.0,150466901.33,197124096.0,46.24,45.32,0.02
wasm_interpreted,5,2025-04-01T20:20:16.677637+00:00,,,,,,59865.0,,,0.0,59865.0,171172155.08,218476544.0,49.56,48.44,0.07
wasm_interpreted,6,2025-04-01T20:20:57.749147+00:00,,,,,,59864.0,,,0.0,59864.0,158412800.0,205258752.0,47.3,47.23,0.08
docker_container,4,2025-04-01T20:21:38.724246+00:00,,,,,,8.0,,,1.0,8.0,933888.0,3739648.0,,,
docker_container_and_daemon,4,2025-04-01T20:21:38.724246+00:00,,,,,,8.0,,,1.0,8.0,45895680.0,698466304.0,,,
docker_container_and_daemon_extra_overhead,4,2025-04-01T20:21:38.724246+00:00,,,,,,8.0,,,1.0,8.0,1714176.0,3739648.0,,,
wasm_interpreted,7,2025-04-01T20:22:12.284303+00:00,,,,,,59863.0,,,0.0,59863.0,136306688.0,193323008.0,46.95,45.68,1.24
wasm_interpreted,8,2025-04-01T20:22:54.118336+00:00,,,,,,59864.0,,,0.0,59864.0,181123859.69,226975744.0,49.43,45.93,0.85
wasm_interpreted,9,2025-04-01T20:23:35.991191+00:00,,,,,,59865.0,,,0.0,59865.0,159492973.71,204279808.0,49.78,47.11,0.0
wasm_aot,3,2025-04-01T20:24:17.363412+00:00,,,,,,60919.0,,,6.0,60913.0,166973440.0,213979136.0,49.7,48.69,0.03
wasm_aot,4,2025-04-01T20:24:58.624010+00:00,,,,,,60898.0,,,0.0,60898.0,166285312.0,213602304.0,47.07,46.96,0.11
docker_container,5,2025-04-01T20:25:39.636456+00:00,,,,,,49.0,,,0.0,29.0,1179648.0,3362816.0,,,
docker_container_and_daemon,5,2025-04-01T20:25:39.636456+00:00,,,,,,106.03999999999999,,,1.73,84.31,46407680.0,698089472.0,,,
docker_container_and_daemon_extra_overhead,5,2025-04-01T20:25:39.636456+00:00,,,,,,106.03999999999999,,,1.73,84.31,1511424.0,3362816.0,,,
docker_container,6,2025-04-01T20:26:13.985944+00:00,,,,,,77.0,,,0.0,81.0,1171456.0,3403776.0,,,
docker_container_and_daemon,6,2025-04-01T20:26:13.985944+00:00,,,,,,391.04,,,1.51,392.02,47536810.67,698130432.0,,,
docker_container_and_daemon_extra_overhead,6,2025-04-01T20:26:13.985944+00:00,,,,,,390.04,,,1.51,391.02,1991338.6700000018,3403776.0,,,
wasm_aot,5,2025-04-01T20:27:30.219268+00:00,,,,,,60900.0,,,0.0,60900.0,149048832.0,204115968.0,47.51,44.58,5.04
docker_container,7,2025-04-01T20:28:14.181302+00:00,,,,,,469.0,,,0.0,362.0,3588096.0,3690496.0,,,
docker_container_and_daemon,7,2025-04-01T20:28:14.181302+00:00,,,,,,469.0,,,0.0,362.0,51060736.0,698417152.0,,,
docker_container_and_daemon_extra_overhead,7,2025-04-01T20:28:14.181302+00:00,,,,,,469.0,,,0.0,362.0,4014080.0,3690496.0,,,
wasm_interpreted,10,2025-04-01T20:28:46.717361+00:00,,,,,,59867.0,,,0.0,59867.0,146365203.69,193298432.0,46.24,44.88,0.0
wasm_interpreted,11,2025-04-01T20:29:28.105986+00:00,,,,,,59869.0,,,50.0,59819.0,164742237.09,241086464.0,9.02,6.78,2.23
wasm_aot,6,2025-04-01T20:31:16.113747+00:00,,,,,,61432.0,,,421.0,61011.0,200283780.74,274325504.0,32.18,25.37,6.81
wasm_aot,7,2025-04-01T20:35:54.530755+00:00,,,,,,61432.0,,,421.0,61011.0,164413755.08,224456704.0,26.06,22.92,2.95
wasm_interpreted,12,2025-04-01T20:37:32.833019+00:00,,,,,,59979.0,,,113.0,59866.0,170420585.41,217014272.0,29.49,29.01,0.48
docker_container,8,2025-04-01T20:38:56.208767+00:00,,,,,,4815.0,,,211.0,4600.0,27402240.0,52707328.0,15.17,5.32,9.85
docker_container_and_daemon,8,2025-04-01T20:38:56.208767+00:00,,,,,,4886.02,,,213.84,4666.76,81431210.67,747433984.0,15.58,5.46,10.11
docker_container_and_daemon_extra_overhead,8,2025-04-01T20:38:56.208767+00:00,,,,,,4886.02,,,213.84,4666.76,28691114.67,52707328.0,15.51,5.42,10.07
wasm_aot,8,2025-04-01T20:41:07.528760+00:00,,,,,,61232.0,,,503.0,60729.0,269827018.11,321945600.0,45.23,38.84,5.43
