deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_interpreted,1,2025-04-02T02:04:11.066329+00:00,,,,,,99467.0,,,0.0,99467.0,227893248.0,315252736.0,49.94,49.69,0.04
docker_container,1,2025-04-02T02:06:06.696023+00:00,,,,,,112.0,,,0.0,91.0,3248128.0,3723264.0,,,
docker_container_and_daemon,1,2025-04-02T02:06:06.696023+00:00,,,,,,112.0,,,0.0,91.0,3248128.0,698449920.0,,,
docker_container_and_daemon_extra_overhead,1,2025-04-02T02:06:06.696023+00:00,,,,,,112.0,,,0.0,91.0,3248128.0,3723264.0,,,
wasm_aot,1,2025-04-02T02:06:39.233257+00:00,,,,,,100500.0,,,0.0,100500.0,230963904.0,318091264.0,48.77,48.12,0.41
wasm_interpreted,2,2025-04-02T02:08:40.975048+00:00,,,,,,99468.0,,,0.0,99468.0,227885056.0,315424768.0,49.43,49.41,0.02
wasm_interpreted,3,2025-04-02T02:10:36.672096+00:00,,,,,,99468.0,,,0.0,99468.0,227893248.0,315297792.0,48.69,48.66,0.03
wasm_interpreted,4,2025-04-02T02:12:32.259860+00:00,,,,,,99469.0,,,0.0,99469.0,227893248.0,315428864.0,49.96,49.71,0.01
wasm_interpreted,5,2025-04-02T02:14:28.520365+00:00,,,,,,99468.0,,,0.0,99468.0,227885056.0,315285504.0,49.47,49.23,0.04
wasm_interpreted,6,2025-04-02T02:16:24.620584+00:00,,,,,,99468.0,,,0.0,99468.0,227897344.0,315432960.0,49.91,49.7,0.02
wasm_interpreted,7,2025-04-02T02:18:21.270361+00:00,,,,,,99468.0,,,0.0,99468.0,227889152.0,315346944.0,49.96,49.77,0.03
wasm_aot,2,2025-04-02T02:20:16.759987+00:00,,,,,,100498.0,,,0.0,100498.0,230293504.0,317894656.0,49.94,49.77,0.05
docker_container,2,2025-04-02T02:22:13.903036+00:00,,,,,,150.0,,,0.0,150.0,1220608.0,3166208.0,,,
docker_container_and_daemon,2,2025-04-02T02:22:13.903036+00:00,,,,,,150.0,,,0.0,150.0,1220608.0,697892864.0,,,
docker_container_and_daemon_extra_overhead,2,2025-04-02T02:22:13.903036+00:00,,,,,,150.0,,,0.0,150.0,1220608.0,3166208.0,,,
wasm_interpreted,8,2025-04-02T02:22:46.558379+00:00,,,,,,99469.0,,,0.0,99469.0,227897344.0,315432960.0,48.84,48.8,0.04
wasm_interpreted,9,2025-04-02T02:24:42.899751+00:00,,,,,,99470.0,,,5.0,99465.0,228754318.22,315518976.0,48.9,48.59,0.06
docker_container,3,2025-04-02T02:26:40.172197+00:00,,,,,,32.0,,,3.0,23.0,1384448.0,3731456.0,,,
docker_container_and_daemon,3,2025-04-02T02:26:40.172197+00:00,,,,,,32.0,,,3.0,23.0,58642432.0,698458112.0,,,
docker_container_and_daemon_extra_overhead,3,2025-04-02T02:26:40.172197+00:00,,,,,,32.0,,,3.0,23.0,1777664.0,3731456.0,,,
docker_container,4,2025-04-02T02:27:13.061542+00:00,,,,,,162.0,,,0.0,137.0,3588096.0,3739648.0,,,
docker_container_and_daemon,4,2025-04-02T02:27:13.061542+00:00,,,,,,162.0,,,0.0,137.0,61927424.0,698466304.0,,,
docker_container_and_daemon_extra_overhead,4,2025-04-02T02:27:13.061542+00:00,,,,,,162.0,,,0.0,137.0,4526080.0,3739648.0,,,
wasm_aot,3,2025-04-02T02:27:45.729742+00:00,,,,,,100512.0,,,69.0,100443.0,237653504.0,324018176.0,49.18,47.93,0.91
wasm_aot,4,2025-04-02T02:29:44.348158+00:00,,,,,,100499.0,,,30.0,100469.0,231123200.0,318726144.0,49.43,49.41,0.02
wasm_interpreted,10,2025-04-02T02:31:40.018015+00:00,,,,,,99469.0,,,1.0,99468.0,227696640.0,315363328.0,49.22,49.03,0.03
wasm_aot,5,2025-04-02T02:33:35.302478+00:00,,,,,,100499.0,,,0.0,100499.0,230268928.0,317927424.0,49.92,49.77,0.02
wasm_aot,6,2025-04-02T02:35:32.748123+00:00,,,,,,100498.0,,,0.0,100498.0,230272121.49,317972480.0,48.57,48.57,0.01
docker_container,5,2025-04-02T02:37:28.192046+00:00,,,,,,27.0,,,5.0,6.0,3031040.0,3555328.0,,,
docker_container_and_daemon,5,2025-04-02T02:37:28.192046+00:00,,,,,,27.0,,,5.0,6.0,3031040.0,698281984.0,,,
docker_container_and_daemon_extra_overhead,5,2025-04-02T02:37:28.192046+00:00,,,,,,27.0,,,5.0,6.0,3031040.0,3555328.0,,,
wasm_interpreted,11,2025-04-02T02:38:01.282142+00:00,,,,,,99467.0,,,0.0,99467.0,228737920.0,315359232.0,49.91,49.26,0.3
docker_container,6,2025-04-02T02:39:58.591078+00:00,,,,,,339.0,,,0.0,295.0,2883584.0,3481600.0,,,
docker_container_and_daemon,6,2025-04-02T02:39:58.591078+00:00,,,,,,339.0,,,0.0,295.0,58945536.0,698208256.0,,,
docker_container_and_daemon_extra_overhead,6,2025-04-02T02:39:58.591078+00:00,,,,,,339.0,,,0.0,295.0,3215360.0,3481600.0,,,
wasm_aot,7,2025-04-02T02:40:30.957422+00:00,,,,,,100498.0,,,23.0,100475.0,232722432.0,320475136.0,49.34,49.32,0.02
wasm_aot,8,2025-04-02T02:42:26.681222+00:00,,,,,,100500.0,,,0.0,100500.0,230264832.0,317878272.0,48.74,49.28,0.03
wasm_interpreted,12,2025-04-02T02:44:23.382993+00:00,,,,,,99469.0,,,0.0,99469.0,227610624.0,315432960.0,49.95,49.73,0.02
wasm_aot,9,2025-04-02T02:46:19.004952+00:00,,,,,,100499.0,,,0.0,100499.0,230277120.0,318066688.0,49.97,49.63,0.01
docker_container,7,2025-04-02T02:48:14.835202+00:00,,,,,,82.0,,,0.0,84.0,2510848.0,3645440.0,,,
docker_container_and_daemon,7,2025-04-02T02:48:14.835202+00:00,,,,,,82.0,,,0.0,84.0,57630720.0,698372096.0,,,
docker_container_and_daemon_extra_overhead,7,2025-04-02T02:48:14.835202+00:00,,,,,,82.0,,,0.0,84.0,2826240.0,3645440.0,,,
wasm_aot,10,2025-04-02T02:48:47.178153+00:00,,,,,,100501.0,,,0.0,100501.0,226485969.84,318087168.0,49.38,49.6,0.32
docker_container,8,2025-04-02T02:50:43.002442+00:00,,,,,,328.0,,,0.0,249.0,3072000.0,3710976.0,,,
docker_container_and_daemon,8,2025-04-02T02:50:43.002442+00:00,,,,,,328.0,,,0.0,249.0,3072000.0,698437632.0,,,
docker_container_and_daemon_extra_overhead,8,2025-04-02T02:50:43.002442+00:00,,,,,,328.0,,,0.0,249.0,3072000.0,3710976.0,,,
wasm_aot,11,2025-04-02T02:51:15.418703+00:00,,,,,,100501.0,,,0.0,100501.0,230264832.0,317984768.0,49.97,49.6,0.02
docker_container,9,2025-04-02T02:53:11.083890+00:00,,,,,,161.0,,,0.0,160.0,2629632.0,3739648.0,,,
docker_container_and_daemon,9,2025-04-02T02:53:11.083890+00:00,,,,,,161.0,,,0.0,160.0,2629632.0,698466304.0,,,
docker_container_and_daemon_extra_overhead,9,2025-04-02T02:53:11.083890+00:00,,,,,,161.0,,,0.0,160.0,2629632.0,3739648.0,,,
wasm_interpreted,13,2025-04-02T02:53:43.489669+00:00,,,,,,99468.0,,,0.0,99468.0,224065408.0,314970112.0,48.73,49.06,0.26
wasm_interpreted,14,2025-04-02T02:55:38.932629+00:00,,,,,,99468.0,,,0.0,99468.0,227598336.0,315260928.0,48.83,48.79,0.04
wasm_interpreted,15,2025-04-02T02:57:33.933994+00:00,,,,,,99468.0,,,0.0,99468.0,227611813.16,315293696.0,49.27,48.95,0.02
