deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-04-02T06:04:56.127402+00:00,1.81
docker,2,2025-04-02T06:04:58.022008+00:00,1.65
docker,3,2025-04-02T06:04:59.744639+00:00,1.54
wasm_interpreted,1,2025-04-02T06:05:01.359212+00:00,19.55
wasm_aot,1,2025-04-02T06:05:20.919274+00:00,19.52
wasm_aot,2,2025-04-02T06:05:40.447176+00:00,19.55
wasm_aot,3,2025-04-02T06:06:00.007098+00:00,19.53
docker,4,2025-04-02T06:06:19.548024+00:00,1.54
docker,5,2025-04-02T06:06:21.161661+00:00,1.53
docker,6,2025-04-02T06:06:22.768185+00:00,1.54
wasm_aot,4,2025-04-02T06:06:24.384334+00:00,19.51
wasm_aot,5,2025-04-02T06:06:43.898055+00:00,19.57
wasm_aot,6,2025-04-02T06:07:03.480573+00:00,19.57
wasm_interpreted,2,2025-04-02T06:07:23.053994+00:00,19.57
docker,7,2025-04-02T06:07:42.630398+00:00,1.53
docker,8,2025-04-02T06:07:44.224854+00:00,1.54
wasm_interpreted,3,2025-04-02T06:07:45.835415+00:00,19.59
docker,9,2025-04-02T06:08:05.430022+00:00,1.59
docker,10,2025-04-02T06:08:07.101895+00:00,1.57
wasm_interpreted,4,2025-04-02T06:08:08.741458+00:00,19.53
docker,11,2025-04-02T06:08:28.278494+00:00,1.56
wasm_aot,7,2025-04-02T06:08:29.912327+00:00,19.5
wasm_aot,8,2025-04-02T06:08:49.423039+00:00,20.02
docker,12,2025-04-02T06:09:09.454680+00:00,1.57
wasm_aot,9,2025-04-02T06:09:11.095475+00:00,19.56
docker,13,2025-04-02T06:09:30.666521+00:00,1.61
docker,14,2025-04-02T06:09:32.347345+00:00,1.52
docker,15,2025-04-02T06:09:33.944472+00:00,1.52
wasm_aot,10,2025-04-02T06:09:35.534669+00:00,19.72
docker,16,2025-04-02T06:09:55.267418+00:00,1.65
wasm_aot,11,2025-04-02T06:09:56.994815+00:00,19.58
wasm_aot,12,2025-04-02T06:10:16.581836+00:00,19.52
wasm_aot,13,2025-04-02T06:10:36.108575+00:00,19.53
wasm_interpreted,5,2025-04-02T06:10:55.644538+00:00,19.48
docker,17,2025-04-02T06:11:15.133664+00:00,1.51
wasm_interpreted,6,2025-04-02T06:11:16.708677+00:00,19.53
wasm_aot,14,2025-04-02T06:11:36.244886+00:00,19.81
wasm_interpreted,7,2025-04-02T06:11:56.058643+00:00,19.69
wasm_interpreted,8,2025-04-02T06:12:15.761267+00:00,19.5
wasm_interpreted,9,2025-04-02T06:12:35.268727+00:00,19.57
docker,18,2025-04-02T06:12:54.848230+00:00,1.51
wasm_interpreted,10,2025-04-02T06:12:56.426150+00:00,19.52
wasm_interpreted,11,2025-04-02T06:13:15.952075+00:00,19.5
wasm_aot,15,2025-04-02T06:13:35.459518+00:00,19.58
wasm_interpreted,12,2025-04-02T06:13:55.045642+00:00,19.72
wasm_interpreted,13,2025-04-02T06:14:14.772613+00:00,19.48
docker,19,2025-04-02T06:14:34.257660+00:00,1.59
wasm_aot,16,2025-04-02T06:14:35.916879+00:00,19.59
wasm_aot,17,2025-04-02T06:14:55.515064+00:00,19.55
wasm_aot,18,2025-04-02T06:15:15.072998+00:00,19.56
wasm_interpreted,14,2025-04-02T06:15:34.636613+00:00,19.5
wasm_interpreted,15,2025-04-02T06:15:54.144458+00:00,19.57
docker,20,2025-04-02T06:16:13.722665+00:00,1.54
wasm_aot,19,2025-04-02T06:16:15.337769+00:00,19.53
wasm_aot,20,2025-04-02T06:16:34.874315+00:00,19.57
wasm_interpreted,16,2025-04-02T06:16:54.455372+00:00,19.59
wasm_interpreted,17,2025-04-02T06:17:14.049621+00:00,19.47
wasm_interpreted,18,2025-04-02T06:17:33.527974+00:00,19.46
wasm_interpreted,19,2025-04-02T06:17:52.999151+00:00,19.6
wasm_interpreted,20,2025-04-02T06:18:12.602640+00:00,19.51
