deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-03-31T07:57:46.380232+00:00,7.9
wasm_interpreted,1,2025-03-31T07:57:54.336493+00:00,268.71
native,1,2025-03-31T08:02:23.056593+00:00,6.57
docker,1,2025-03-31T08:02:29.640787+00:00,9.55
docker,2,2025-03-31T08:02:39.344399+00:00,7.89
native,2,2025-03-31T08:02:47.385508+00:00,6.79
wasm_interpreted,2,2025-03-31T08:02:54.181799+00:00,268.13
native,3,2025-03-31T08:07:22.322894+00:00,6.13
wasm_interpreted,3,2025-03-31T08:07:28.459163+00:00,268.01
native,4,2025-03-31T08:11:56.475467+00:00,6.51
wasm_interpreted,4,2025-03-31T08:12:03.000266+00:00,268.05
wasm_interpreted,5,2025-03-31T08:16:31.061898+00:00,268.14
docker,3,2025-03-31T08:20:59.213975+00:00,7.57
wasm_aot,2,2025-03-31T08:21:06.939434+00:00,6.76
docker,4,2025-03-31T08:21:13.706812+00:00,8.02
docker,5,2025-03-31T08:21:21.878807+00:00,7.94
docker,6,2025-03-31T08:21:29.966642+00:00,7.79
native,5,2025-03-31T08:21:37.906950+00:00,6.82
wasm_aot,3,2025-03-31T08:21:44.734928+00:00,7.46
native,6,2025-03-31T08:21:52.204406+00:00,6.91
wasm_aot,4,2025-03-31T08:21:59.120899+00:00,7.48
docker,7,2025-03-31T08:22:06.614876+00:00,8.47
docker,8,2025-03-31T08:22:15.243102+00:00,8.35
wasm_interpreted,6,2025-03-31T08:22:23.756503+00:00,268.43
wasm_interpreted,7,2025-03-31T08:26:52.196951+00:00,268.24
wasm_interpreted,8,2025-03-31T08:31:20.445761+00:00,268.03
docker,9,2025-03-31T08:35:48.491443+00:00,7.69
wasm_aot,5,2025-03-31T08:35:56.312561+00:00,7.15
docker,10,2025-03-31T08:36:03.471604+00:00,7.93
wasm_interpreted,9,2025-03-31T08:36:11.555353+00:00,268.04
wasm_interpreted,10,2025-03-31T08:40:39.601258+00:00,267.92
wasm_aot,6,2025-03-31T08:45:07.529148+00:00,6.73
wasm_interpreted,11,2025-03-31T08:45:14.272722+00:00,267.91
native,7,2025-03-31T08:49:42.188486+00:00,6.2
native,8,2025-03-31T08:49:48.401488+00:00,6.28
docker,11,2025-03-31T08:49:54.691399+00:00,7.98
wasm_aot,7,2025-03-31T08:50:02.823333+00:00,7.35
wasm_interpreted,12,2025-03-31T08:50:10.181011+00:00,268.05
native,9,2025-03-31T08:54:38.239990+00:00,6.22
native,10,2025-03-31T08:54:44.475102+00:00,6.35
wasm_aot,8,2025-03-31T08:54:50.839406+00:00,6.98
docker,12,2025-03-31T08:54:57.828229+00:00,7.83
wasm_aot,9,2025-03-31T08:55:05.833280+00:00,7.2
docker,13,2025-03-31T08:55:13.042975+00:00,8.34
docker,14,2025-03-31T08:55:21.540899+00:00,8.11
wasm_aot,10,2025-03-31T08:55:29.809212+00:00,7.55
docker,15,2025-03-31T08:55:37.366590+00:00,8.49
wasm_aot,11,2025-03-31T08:55:46.018095+00:00,7.48
native,11,2025-03-31T08:55:53.509164+00:00,7.1
wasm_interpreted,13,2025-03-31T08:56:00.621411+00:00,268.45
docker,16,2025-03-31T09:00:29.078298+00:00,7.66
wasm_aot,12,2025-03-31T09:00:36.877722+00:00,6.83
native,12,2025-03-31T09:00:43.718054+00:00,6.52
wasm_aot,13,2025-03-31T09:00:50.247669+00:00,7.37
wasm_interpreted,14,2025-03-31T09:00:57.630508+00:00,268.21
docker,17,2025-03-31T09:05:25.849663+00:00,7.75
native,13,2025-03-31T09:05:33.738594+00:00,6.43
wasm_aot,14,2025-03-31T09:05:40.183429+00:00,7.13
native,14,2025-03-31T09:05:47.324982+00:00,6.98
native,15,2025-03-31T09:05:54.316970+00:00,6.93
wasm_aot,15,2025-03-31T09:06:01.257358+00:00,7.48
native,16,2025-03-31T09:06:08.747921+00:00,7.16
wasm_aot,16,2025-03-31T09:06:15.924209+00:00,7.72
docker,18,2025-03-31T09:06:23.658145+00:00,8.47
wasm_interpreted,15,2025-03-31T09:06:32.299476+00:00,268.28
wasm_aot,17,2025-03-31T09:11:00.592942+00:00,6.96
native,17,2025-03-31T09:11:07.570705+00:00,6.48
wasm_interpreted,16,2025-03-31T09:11:14.066101+00:00,267.91
wasm_interpreted,17,2025-03-31T09:15:41.983625+00:00,268.04
wasm_interpreted,18,2025-03-31T09:20:10.035477+00:00,268.09
native,18,2025-03-31T09:24:38.135355+00:00,6.47
docker,19,2025-03-31T09:24:44.618548+00:00,7.6
native,19,2025-03-31T09:24:52.360465+00:00,6.61
docker,20,2025-03-31T09:24:58.979336+00:00,8.18
wasm_aot,18,2025-03-31T09:25:07.320365+00:00,7.12
wasm_interpreted,19,2025-03-31T09:25:14.448422+00:00,268.07
wasm_aot,19,2025-03-31T09:29:42.533136+00:00,6.72
wasm_interpreted,20,2025-03-31T09:29:49.262531+00:00,267.85
wasm_aot,20,2025-03-31T09:34:17.123567+00:00,6.84
native,20,2025-03-31T09:34:23.969347+00:00,6.3
