deployment-mechanism,trial-number,start-time,wall-time-seconds
native,1,2025-03-30T21:08:44.276954+00:00,6.8
wasm_interpreted,1,2025-03-30T21:08:51.114950+00:00,60.96
docker,1,2025-03-30T21:09:52.085850+00:00,7.16
wasm_interpreted,2,2025-03-30T21:09:59.402277+00:00,60.1
native,2,2025-03-30T21:10:59.511205+00:00,5.87
native,3,2025-03-30T21:11:05.397221+00:00,6.1
wasm_aot,1,2025-03-30T21:11:11.510758+00:00,6.87
wasm_interpreted,3,2025-03-30T21:11:18.389729+00:00,60.41
native,4,2025-03-30T21:12:18.814933+00:00,5.77
docker,2,2025-03-30T21:12:24.600221+00:00,7.71
native,5,2025-03-30T21:12:32.486472+00:00,6.27
native,6,2025-03-30T21:12:38.771616+00:00,6.45
wasm_aot,2,2025-03-30T21:12:45.234102+00:00,7.18
native,7,2025-03-30T21:12:52.428439+00:00,6.57
wasm_interpreted,4,2025-03-30T21:12:59.012899+00:00,60.68
wasm_aot,3,2025-03-30T21:13:59.705242+00:00,6.36
native,8,2025-03-30T21:14:06.086290+00:00,6.23
docker,3,2025-03-30T21:14:12.324941+00:00,7.76
wasm_interpreted,5,2025-03-30T21:14:20.273729+00:00,60.32
wasm_interpreted,6,2025-03-30T21:15:20.606376+00:00,59.87
wasm_interpreted,7,2025-03-30T21:16:20.483268+00:00,59.93
native,9,2025-03-30T21:17:20.426385+00:00,5.64
docker,4,2025-03-30T21:17:26.075968+00:00,9.57
native,10,2025-03-30T21:17:35.781729+00:00,5.77
docker,5,2025-03-30T21:17:41.560747+00:00,7.52
wasm_aot,4,2025-03-30T21:17:49.251534+00:00,6.89
native,11,2025-03-30T21:17:56.155692+00:00,6.41
wasm_interpreted,8,2025-03-30T21:18:02.579440+00:00,60.28
docker,6,2025-03-30T21:19:02.868168+00:00,7.0
docker,7,2025-03-30T21:19:10.038539+00:00,7.31
native,12,2025-03-30T21:19:17.511901+00:00,6.2
docker,8,2025-03-30T21:19:23.720882+00:00,7.78
docker,9,2025-03-30T21:19:31.662935+00:00,7.72
native,13,2025-03-30T21:19:39.568389+00:00,6.47
wasm_aot,5,2025-03-30T21:19:46.048254+00:00,6.96
docker,10,2025-03-30T21:19:53.015480+00:00,8.16
native,14,2025-03-30T21:20:01.347364+00:00,6.52
native,15,2025-03-30T21:20:07.874460+00:00,6.79
wasm_interpreted,9,2025-03-30T21:20:14.675825+00:00,60.73
wasm_interpreted,10,2025-03-30T21:21:15.419316+00:00,60.01
wasm_interpreted,11,2025-03-30T21:22:15.442901+00:00,59.87
wasm_aot,6,2025-03-30T21:23:15.321952+00:00,6.07
wasm_interpreted,12,2025-03-30T21:23:21.408430+00:00,60.15
wasm_interpreted,13,2025-03-30T21:24:21.572793+00:00,59.91
docker,11,2025-03-30T21:25:21.498054+00:00,7.15
docker,12,2025-03-30T21:25:28.796302+00:00,7.1
wasm_aot,7,2025-03-30T21:25:36.052649+00:00,6.41
wasm_interpreted,14,2025-03-30T21:25:42.477689+00:00,60.14
wasm_interpreted,15,2025-03-30T21:26:42.624181+00:00,59.71
native,16,2025-03-30T21:27:42.340100+00:00,5.48
wasm_aot,8,2025-03-30T21:27:47.829555+00:00,6.48
wasm_aot,9,2025-03-30T21:27:54.319050+00:00,6.7
wasm_interpreted,16,2025-03-30T21:28:01.035338+00:00,60.22
wasm_aot,10,2025-03-30T21:29:01.266848+00:00,6.23
wasm_aot,11,2025-03-30T21:29:07.510651+00:00,6.59
wasm_interpreted,17,2025-03-30T21:29:14.108567+00:00,60.29
wasm_aot,12,2025-03-30T21:30:14.421322+00:00,6.12
wasm_aot,13,2025-03-30T21:30:20.552107+00:00,6.42
docker,13,2025-03-30T21:30:26.980783+00:00,7.85
docker,14,2025-03-30T21:30:34.996504+00:00,7.52
docker,15,2025-03-30T21:30:42.692993+00:00,7.53
wasm_aot,14,2025-03-30T21:30:50.390191+00:00,7.01
docker,16,2025-03-30T21:30:57.408568+00:00,7.96
native,17,2025-03-30T21:31:05.550025+00:00,6.29
wasm_aot,15,2025-03-30T21:31:11.847077+00:00,7.06
wasm_aot,16,2025-03-30T21:31:18.920376+00:00,7.14
wasm_aot,17,2025-03-30T21:31:26.075363+00:00,7.11
docker,17,2025-03-30T21:31:33.195440+00:00,8.01
wasm_interpreted,18,2025-03-30T21:31:41.391880+00:00,60.6
native,18,2025-03-30T21:32:42.000120+00:00,6.03
native,19,2025-03-30T21:32:48.043959+00:00,6.23
wasm_aot,18,2025-03-30T21:32:54.285060+00:00,6.85
docker,18,2025-03-30T21:33:01.147485+00:00,7.87
wasm_aot,19,2025-03-30T21:33:09.206307+00:00,6.93
docker,19,2025-03-30T21:33:16.152859+00:00,8.11
wasm_aot,20,2025-03-30T21:33:24.434209+00:00,6.98
wasm_interpreted,19,2025-03-30T21:33:31.433767+00:00,69.91
native,20,2025-03-30T21:34:41.352052+00:00,7.55
docker,20,2025-03-30T21:34:48.918466+00:00,8.15
wasm_interpreted,20,2025-03-30T21:34:57.261477+00:00,60.44
