deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_interpreted,1,2025-03-30T22:51:04.463809+00:00,60.63
wasm_aot,1,2025-03-30T22:52:05.105530+00:00,6.34
docker,1,2025-03-30T22:52:11.453050+00:00,8.19
wasm_interpreted,2,2025-03-30T22:52:19.826606+00:00,59.96
wasm_aot,2,2025-03-30T22:53:19.800604+00:00,6.4
wasm_interpreted,3,2025-03-30T22:53:26.209101+00:00,59.91
wasm_interpreted,4,2025-03-30T22:54:26.125800+00:00,59.53
wasm_aot,3,2025-03-30T22:55:25.666646+00:00,5.83
native,1,2025-03-30T22:55:31.506164+00:00,6.17
native,2,2025-03-30T22:55:37.687581+00:00,6.33
wasm_interpreted,5,2025-03-30T22:55:44.027418+00:00,59.99
wasm_interpreted,6,2025-03-30T22:56:44.025486+00:00,59.54
docker,2,2025-03-30T22:57:43.572496+00:00,6.91
wasm_interpreted,7,2025-03-30T22:57:50.634838+00:00,59.75
native,3,2025-03-30T22:58:50.398880+00:00,5.62
docker,3,2025-03-30T22:58:56.028871+00:00,7.35
docker,4,2025-03-30T22:59:03.549251+00:00,7.24
native,4,2025-03-30T22:59:10.942498+00:00,6.19
docker,5,2025-03-30T22:59:17.142501+00:00,7.57
native,5,2025-03-30T22:59:24.881554+00:00,6.36
native,6,2025-03-30T22:59:31.257311+00:00,6.67
docker,6,2025-03-30T22:59:37.939932+00:00,7.82
docker,7,2025-03-30T22:59:45.934176+00:00,8.65
docker,8,2025-03-30T22:59:54.771870+00:00,9.38
docker,9,2025-03-30T23:00:04.373869+00:00,7.7
native,7,2025-03-30T23:00:12.252541+00:00,6.44
wasm_interpreted,8,2025-03-30T23:00:18.708019+00:00,60.25
wasm_aot,4,2025-03-30T23:01:18.970196+00:00,6.47
native,8,2025-03-30T23:01:25.456629+00:00,6.35
docker,10,2025-03-30T23:01:31.820160+00:00,7.85
wasm_interpreted,9,2025-03-30T23:01:39.837580+00:00,59.94
docker,11,2025-03-30T23:02:39.790222+00:00,7.31
native,9,2025-03-30T23:02:47.254307+00:00,6.12
wasm_aot,5,2025-03-30T23:02:53.384987+00:00,6.76
docker,12,2025-03-30T23:03:00.160822+00:00,7.83
wasm_interpreted,10,2025-03-30T23:03:08.167250+00:00,59.96
wasm_interpreted,11,2025-03-30T23:04:08.144874+00:00,59.49
native,10,2025-03-30T23:05:07.644435+00:00,5.93
docker,13,2025-03-30T23:05:13.584340+00:00,7.41
native,11,2025-03-30T23:05:21.157004+00:00,6.12
native,12,2025-03-30T23:05:27.294177+00:00,6.28
native,13,2025-03-30T23:05:33.582564+00:00,6.57
wasm_interpreted,12,2025-03-30T23:05:40.166540+00:00,59.92
wasm_interpreted,13,2025-03-30T23:06:40.094204+00:00,59.75
native,14,2025-03-30T23:07:39.861782+00:00,5.57
native,15,2025-03-30T23:07:45.438176+00:00,6.17
docker,14,2025-03-30T23:07:51.618933+00:00,7.73
wasm_aot,6,2025-03-30T23:07:59.534262+00:00,6.76
docker,15,2025-03-30T23:08:06.308803+00:00,7.56
wasm_interpreted,14,2025-03-30T23:08:14.040458+00:00,59.94
wasm_aot,7,2025-03-30T23:09:13.996061+00:00,6.23
wasm_aot,8,2025-03-30T23:09:20.240930+00:00,6.45
wasm_aot,9,2025-03-30T23:09:26.700460+00:00,6.54
docker,16,2025-03-30T23:09:33.252794+00:00,7.67
wasm_aot,10,2025-03-30T23:09:41.107916+00:00,6.95
native,16,2025-03-30T23:09:48.066726+00:00,6.45
wasm_interpreted,15,2025-03-30T23:09:54.528699+00:00,59.94
native,17,2025-03-30T23:10:54.482421+00:00,5.94
wasm_aot,11,2025-03-30T23:11:00.439713+00:00,6.74
wasm_aot,12,2025-03-30T23:11:07.191067+00:00,6.67
wasm_aot,13,2025-03-30T23:11:13.880999+00:00,7.05
wasm_aot,14,2025-03-30T23:11:20.947236+00:00,7.03
wasm_aot,15,2025-03-30T23:11:27.990576+00:00,7.01
native,18,2025-03-30T23:11:35.016815+00:00,6.55
wasm_interpreted,16,2025-03-30T23:11:41.575465+00:00,59.96
wasm_interpreted,17,2025-03-30T23:12:41.549360+00:00,59.61
wasm_aot,16,2025-03-30T23:13:41.176088+00:00,5.96
docker,17,2025-03-30T23:13:47.149550+00:00,7.52
wasm_aot,17,2025-03-30T23:13:54.830776+00:00,6.79
wasm_aot,18,2025-03-30T23:14:01.628626+00:00,6.67
docker,18,2025-03-30T23:14:08.308907+00:00,7.85
wasm_aot,19,2025-03-30T23:14:16.329089+00:00,6.77
docker,19,2025-03-30T23:14:23.107634+00:00,7.88
wasm_interpreted,18,2025-03-30T23:14:31.161015+00:00,60.13
wasm_interpreted,19,2025-03-30T23:15:31.303849+00:00,59.4
wasm_aot,20,2025-03-30T23:16:30.711320+00:00,5.96
native,19,2025-03-30T23:16:36.683593+00:00,5.96
docker,20,2025-03-30T23:16:42.659147+00:00,7.55
native,20,2025-03-30T23:16:50.373142+00:00,6.07
wasm_interpreted,20,2025-03-30T23:16:56.454987+00:00,59.91
