deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
native,1,2025-03-31T09:34:33.422385+00:00,39769050467.0,44276095514.0,53695582.0,8226190473.0,19628324481.0,35560.0,7170709379.0,171666762.0,4.0,35556.0,89460736.0,137793536.0,50.99,49.24,1.68
native,2,2025-03-31T09:36:11.341204+00:00,39107393463.0,44003117623.0,57373803.0,8313301712.0,19834659970.0,35907.0,6907942816.0,193619515.0,0.0,35907.0,70114304.0,106278912.0,61.88,60.12,1.46
docker_container,1,2025-03-31T09:36:49.397943+00:00,92353975917.0,117341208072.0,83954577.0,21000227857.0,45377600655.0,38864.0,19077583252.0,207001649.0,538.0,38327.0,121009091.76,150441984.0,49.43,47.27,2.14
docker_container_and_daemon,1,2025-03-31T09:36:49.397943+00:00,93695897820.48,117912560483.87,84289374.42,21246353303.19,46339171599.0,38982.71,19164399309.81,207306701.9,538.0,38445.71,158969539.76,255197184.0,49.47,47.27,2.18
docker_container_and_daemon_extra_overhead,1,2025-03-31T09:36:49.397943+00:00,93675920782.48,117907347237.87,84213806.42,21244030891.19,46332760835.0,38982.71,19163449662.81,207215654.9,538.0,38445.71,125394627.76,150441984.0,49.46,47.27,2.18
wasm_interpreted,1,2025-03-31T09:38:22.263999+00:00,365463767386.0,326152644663.0,173402329.0,194938759199.0,177238245216.0,57062.0,37088951796.0,1975468729.0,643.0,56419.0,204456182.99,236408832.0,27.23,27.07,0.15
wasm_interpreted,2,2025-03-31T09:43:46.534187+00:00,344108483324.0,300831745847.0,182519970.0,184144574054.0,192337589647.0,56108.0,37382488013.0,2016963417.0,7.0,56101.0,132467121.23,158691328.0,27.3,27.26,0.13
wasm_interpreted,3,2025-03-31T09:49:14.428556+00:00,338539746311.0,287757336006.0,170496897.0,199744110065.0,214769802863.0,57070.0,41156591416.0,2372167413.0,3.0,57067.0,159959090.95,187183104.0,27.28,27.18,0.14
native,3,2025-03-31T09:54:34.953261+00:00,39142495481.0,45324548714.0,54677055.0,8175524492.0,18851695533.0,36311.0,6423498862.0,166202653.0,46.0,36265.0,73176615.38,113217536.0,54.83,53.14,1.58
wasm_aot,1,2025-03-31T09:55:15.483296+00:00,41566765687.0,49078575665.0,63735374.0,8969744554.0,20221986632.0,50556.0,6565625055.0,164580522.0,40.0,50516.0,137080832.0,143048704.0,54.63,53.41,1.14
docker_container,2,2025-03-31T09:55:56.798507+00:00,92019035613.0,116002730691.0,83262039.0,20029806973.0,45864968481.0,36198.0,18619169832.0,200483966.0,539.0,35660.0,134266733.71,175734784.0,48.18,46.0,2.18
docker_container_and_daemon,2,2025-03-31T09:55:56.798507+00:00,100001999378.72,123825618094.06,90990442.13,22631053562.66,50237857734.65,36525.15,19608971369.17,224362585.73,542.14,35984.01,168537662.3,280489984.0,48.23,46.01,2.21
docker_container_and_daemon_extra_overhead,2,2025-03-31T09:55:56.798507+00:00,97206720976.72,118909916176.06,90939070.13,20750995926.66,45864968481.0,36525.15,19432403887.17,224309903.73,542.14,35984.01,135810622.3,175734784.0,48.23,46.01,2.21
wasm_aot,2,2025-03-31T09:57:33.243198+00:00,43870101529.0,51270585201.0,64146877.0,9676783756.0,23023031548.0,51044.0,7924771961.0,188046199.0,399.0,50645.0,151681536.0,166789120.0,55.27,53.38,1.73
wasm_aot,3,2025-03-31T09:58:18.272383+00:00,43619079241.0,47103299515.0,58840339.0,8810952771.0,20795641171.0,50857.0,7345513831.0,189776060.0,52.0,50805.0,154274377.14,166768640.0,55.13,53.49,1.56
native,4,2025-03-31T09:59:01.995870+00:00,39201280078.0,42923460170.0,52998318.0,7936082981.0,19655070083.0,37288.0,6902054061.0,181064729.0,17.0,37271.0,80970043.08,113967104.0,52.64,51.03,1.5
native,5,2025-03-31T09:59:43.750549+00:00,43119940640.0,47678404070.0,60474857.0,9123425139.0,21002061814.0,38381.0,7439494851.0,199650231.0,0.0,38381.0,75869892.92,106291200.0,59.73,57.9,1.68
wasm_interpreted,4,2025-03-31T10:00:25.326236+00:00,346467783617.0,311044960270.0,173008268.0,185119314568.0,160173325389.0,56236.0,35536741206.0,2131893685.0,14.0,56222.0,133719121.92,160075776.0,27.15,27.05,0.11
wasm_aot,4,2025-03-31T10:05:50.812778+00:00,39597903569.0,44264862209.0,56359652.0,8037231747.0,18789559483.0,50233.0,6475536677.0,189764539.0,24.0,50209.0,135712475.43,160534528.0,53.67,51.92,1.64
native,6,2025-03-31T10:06:32.994966+00:00,38130934201.0,43851279559.0,56667194.0,8722701549.0,20643501408.0,37825.0,6927710865.0,185991549.0,2.0,37823.0,71896405.33,106225664.0,53.78,52.47,1.81
docker_container,3,2025-03-31T10:07:13.756926+00:00,88431246111.0,110901340769.0,80003920.0,18822627219.0,41272715181.0,36631.0,16572303956.0,180264675.0,375.0,36257.0,98556928.0,138403840.0,45.15,43.03,2.12
docker_container_and_daemon,3,2025-03-31T10:07:13.756926+00:00,92351488297.64,117427072647.64,80376380.4,20939020201.08,42169844340.68,36679.88,17371738940.4,192773576.6,376.04,36301.72,132170594.46000001,243159040.0,45.199999999999996,43.04,2.16
docker_container_and_daemon_extra_overhead,3,2025-03-31T10:07:13.756926+00:00,92351488297.64,117427072647.64,80376380.4,20939020201.08,42169844340.68,36679.88,17371738940.4,192773576.6,376.04,36301.72,103252834.46000001,138403840.0,45.199999999999996,43.04,2.16
wasm_aot,5,2025-03-31T10:08:49.059492+00:00,43136478626.0,47218707085.0,60237476.0,9007627242.0,21412540841.0,50525.0,7738554323.0,183974106.0,56.0,50469.0,143614208.0,160309248.0,52.69,51.06,1.55
wasm_interpreted,5,2025-03-31T10:09:33.676379+00:00,356331699310.0,293754905124.0,175808793.0,188210529356.0,187184204978.0,56399.0,36861576693.0,2175506316.0,0.0,56399.0,143311360.0,172093440.0,27.18,27.05,0.13
native,7,2025-03-31T10:15:09.242294+00:00,37265419011.0,45850348081.0,59472935.0,9111712181.0,20662837246.0,38335.0,7389713670.0,184195120.0,7.0,38328.0,90883623.38,118648832.0,55.59,53.84,1.55
wasm_interpreted,6,2025-03-31T10:15:51.617012+00:00,295525607261.0,321821893070.0,183202708.0,222819240356.0,206975557892.0,55956.0,46318766964.0,2491398066.0,0.0,55956.0,133252903.88,158650368.0,27.29,27.51,0.13
native,8,2025-03-31T10:21:15.862822+00:00,39754217432.0,45929562680.0,58384709.0,8777610983.0,20310752234.0,38248.0,6798281893.0,195744388.0,8.0,38240.0,98106761.85,127184896.0,54.31,52.72,1.51
wasm_aot,6,2025-03-31T10:21:58.088457+00:00,40139468991.0,43219707166.0,56500065.0,8469477099.0,19677309718.0,49900.0,6943591542.0,181437250.0,19.0,49881.0,122462500.57,137838592.0,58.42,56.33,1.9
native,9,2025-03-31T10:22:39.521105+00:00,39455180308.0,45782705635.0,58689609.0,8700747178.0,20267355857.0,36427.0,6917430588.0,190443851.0,2.0,36425.0,90180371.69,127123456.0,57.13,55.29,1.76
wasm_aot,7,2025-03-31T10:23:21.158195+00:00,42184354117.0,46996932260.0,61760217.0,8791847274.0,20864480371.0,49606.0,6908929545.0,179204427.0,0.0,49606.0,119747730.29,135966720.0,57.76,55.71,1.9
wasm_interpreted,7,2025-03-31T10:24:03.242905+00:00,397846243331.0,297158244740.0,187977740.0,182359690686.0,189007898688.0,56103.0,34029348943.0,2086279563.0,0.0,56103.0,161662306.65,190705664.0,27.37,27.25,0.12
wasm_aot,8,2025-03-31T10:29:35.976813+00:00,45081391095.0,51463710553.0,61918502.0,9224478973.0,20803279649.0,50041.0,7503813871.0,191144259.0,18.0,50023.0,123900996.27,137977856.0,58.29,56.43,1.69
docker_container,4,2025-03-31T10:30:18.594309+00:00,88421623966.0,115456966505.0,86372741.0,20420038607.0,45425553035.0,37657.0,18052170797.0,204153637.0,404.0,37251.0,98991542.86,138387456.0,51.83,49.6,2.23
docker_container_and_daemon,4,2025-03-31T10:30:18.594309+00:00,100226203071.95,131252181874.28,87645577.27,26436033948.53,53425052624.03,39819.47,20153417775.7,267683294.56,417.69,39389.25,134474432.34,243142656.0,51.98,49.660000000000004,2.32
docker_container_and_daemon_extra_overhead,4,2025-03-31T10:30:18.594309+00:00,100226203071.95,131252181874.28,87645577.27,26436033948.53,53425052624.03,39819.47,20153417775.7,267683294.56,417.69,39389.25,103615168.34,138387456.0,51.98,49.660000000000004,2.32
wasm_interpreted,8,2025-03-31T10:31:48.167365+00:00,415370146739.0,282457960590.0,168623117.0,175345042679.0,167023777113.0,55719.0,34222222408.0,1908083341.0,290.0,55429.0,167193640.16,196083712.0,27.56,27.4,0.16
wasm_interpreted,9,2025-03-31T10:37:16.323762+00:00,355911693683.0,341387676481.0,186801755.0,212024169782.0,183850427475.0,56419.0,38536638692.0,1973947296.0,7.0,56412.0,140618836.92,168656896.0,27.37,27.23,0.15
wasm_aot,9,2025-03-31T10:42:45.044153+00:00,41374334274.0,47861050141.0,59967218.0,8584433768.0,20981472512.0,49594.0,7147633424.0,179938897.0,24.0,49570.0,132334933.33,143060992.0,58.08,56.01,1.89
docker_container,5,2025-03-31T10:43:27.227511+00:00,93789164421.0,121746135496.0,87101726.0,21506254786.0,47622566260.0,38603.0,19496973163.0,195124778.0,411.0,38190.0,105901916.16,137633792.0,48.42,46.21,2.21
docker_container_and_daemon,5,2025-03-31T10:43:27.227511+00:00,106444222024.0,136733825071.86,98425165.88,27220533093.93,53432710724.29,38644.56,21610900682.36,248656452.44,411.0,38231.56,141374522.76999998,242388992.0,48.46,46.22,2.2399999999999998
docker_container_and_daemon_extra_overhead,5,2025-03-31T10:43:27.227511+00:00,93789164421.0,121746135496.0,98362768.88,22882850208.93,47622566260.0,38644.56,20862032316.36,248585165.44,411.0,38231.56,109802554.77,137633792.0,48.45,46.22,2.23
wasm_aot,10,2025-03-31T10:45:05.190694+00:00,43672171821.0,49231377060.0,59282114.0,9498434997.0,23025451294.0,50653.0,8143990765.0,190900466.0,0.0,50653.0,139453440.0,155463680.0,57.24,55.3,1.78
native,10,2025-03-31T10:45:50.420767+00:00,38850717077.0,45772857756.0,54305728.0,8884229427.0,21268647619.0,38736.0,7568252240.0,180927601.0,56.0,38680.0,91174656.0,123858944.0,53.31,51.67,1.69
docker_container,6,2025-03-31T10:46:34.015626+00:00,92273977497.0,117393260539.0,82609546.0,20774016187.0,45993586678.0,36412.0,18831224857.0,188546706.0,286.0,36127.0,87802486.15,128114688.0,50.2,48.1,2.1
docker_container_and_daemon,6,2025-03-31T10:46:34.015626+00:00,103875647767.52,136932673427.26,82976557.37,28105502785.6,54242774483.54,36473.12,21433341711.84,268993122.77,289.16,36184.96,123584288.82000001,232869888.0,50.25,48.120000000000005,2.13
docker_container_and_daemon_extra_overhead,6,2025-03-31T10:46:34.015626+00:00,103871797818.52,136932559621.26,82948338.37,28105017375.6,54240966179.54,36473.12,21433190491.84,268959720.77,289.16,36184.96,87924512.82000001,128114688.0,50.25,48.120000000000005,2.13
wasm_aot,11,2025-03-31T10:48:09.112986+00:00,42749444104.0,46725728176.0,58547829.0,8548183422.0,20192484170.0,49879.0,7461433262.0,179763723.0,15.0,49864.0,142697540.27,167448576.0,51.03,49.31,1.63
native,11,2025-03-31T10:48:54.031409+00:00,39614049768.0,45837848121.0,55068868.0,8412205022.0,20622695994.0,38710.0,7669157566.0,175685143.0,2.0,38708.0,72888320.0,107032576.0,53.58,51.75,1.72
docker_container,7,2025-03-31T10:49:37.669271+00:00,79331619786.0,100293397795.0,71959278.0,17855413600.0,40722214448.0,36267.0,16190623312.0,176351591.0,284.0,35982.0,89887192.62,128483328.0,41.99,40.06,1.93
docker_container_and_daemon,7,2025-03-31T10:49:37.669271+00:00,98947862776.18,118918826788.07,72293256.03,24829807461.67,50778808339.96,36287.19,18596438742.28,245814525.86,284.0,36002.19,127269708.98,233238528.0,42.03,40.06,1.97
docker_container_and_daemon_extra_overhead,7,2025-03-31T10:49:37.669271+00:00,98941450133.18,111381673515.07,72248127.03,24828813136.67,50775051397.96,36287.19,18596079960.28,245767619.86,284.0,36002.19,90614604.98,128483328.0,42.03,40.06,1.97
wasm_interpreted,10,2025-03-31T10:51:14.548877+00:00,356175176580.0,310030134220.0,176857198.0,196586117780.0,189545071345.0,56408.0,39346514415.0,2196365545.0,12.0,56396.0,152145297.11,180203520.0,27.24,27.42,0.15
native,12,2025-03-31T10:56:56.866834+00:00,41381765832.0,49130681663.0,62680113.0,8653317333.0,20571056316.0,38400.0,6615790320.0,185955071.0,20.0,38380.0,89381966.77,118308864.0,53.88,52.42,1.21
docker_container,8,2025-03-31T10:57:38.617274+00:00,85935865084.0,109584053459.0,79936911.0,19102604738.0,42003721231.0,36992.0,18244372819.0,191265237.0,374.0,36619.0,92642034.53,131547136.0,48.54,46.39,2.15
docker_container_and_daemon,8,2025-03-31T10:57:38.617274+00:00,93549748311.89,126081824169.20999,80576990.11,25590821343.3,44412705694.65,37415.26,20586974071.62,199551832.5,374.0,37041.22,128674546.53,236302336.0,48.62,46.410000000000004,2.21
docker_container_and_daemon_extra_overhead,8,2025-03-31T10:57:38.617274+00:00,93544250167.89,118969836105.20999,80526800.11,22970417323.3,44410025628.65,37415.26,19687496307.62,199515397.5,374.0,37041.22,96865010.53,131547136.0,48.62,46.410000000000004,2.21
docker_container,9,2025-03-31T10:59:12.330843+00:00,93535285854.0,119283028830.0,85194890.0,20562676827.0,44989640009.0,37923.0,19035619181.0,189700733.0,17.0,37905.0,92918366.81,123158528.0,49.57,47.41,2.16
