deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_interpreted,1,2025-03-31T22:08:04.828125+00:00,275.13
native,1,2025-03-31T22:12:39.982137+00:00,12.02
wasm_interpreted,2,2025-03-31T22:12:52.020147+00:00,273.54
wasm_interpreted,3,2025-03-31T22:17:25.578241+00:00,272.65999999999997
native,2,2025-03-31T22:21:58.255671+00:00,11.46
wasm_aot,1,2025-03-31T22:22:09.722474+00:00,12.74
wasm_interpreted,4,2025-03-31T22:22:22.473811+00:00,273.23
wasm_aot,2,2025-03-31T22:26:55.719398+00:00,12.41
docker,1,2025-03-31T22:27:08.139095+00:00,14.17
native,3,2025-03-31T22:27:22.505968+00:00,12.31
native,4,2025-03-31T22:27:34.832433+00:00,12.66
wasm_interpreted,5,2025-03-31T22:27:47.501857+00:00,273.21
wasm_interpreted,6,2025-03-31T22:32:20.725019+00:00,272.53
docker,2,2025-03-31T22:36:53.271034+00:00,12.83
wasm_interpreted,7,2025-03-31T22:37:06.284022+00:00,272.75
wasm_aot,3,2025-03-31T22:41:39.054393+00:00,12.1
native,5,2025-03-31T22:41:51.170847+00:00,11.96
docker,3,2025-03-31T22:42:03.146326+00:00,13.68
wasm_aot,4,2025-03-31T22:42:16.999705+00:00,13.13
wasm_aot,5,2025-03-31T22:42:30.140892+00:00,13.53
wasm_aot,6,2025-03-31T22:42:43.683637+00:00,13.75
native,6,2025-03-31T22:42:57.448015+00:00,13.32
native,7,2025-03-31T22:43:10.781674+00:00,13.07
native,8,2025-03-31T22:43:23.861448+00:00,13.33
wasm_interpreted,8,2025-03-31T22:43:37.206360+00:00,273.55
native,9,2025-03-31T22:48:10.765112+00:00,11.78
docker,4,2025-03-31T22:48:22.558502+00:00,13.53
wasm_aot,7,2025-03-31T22:48:36.256075+00:00,13.18
native,10,2025-03-31T22:48:49.444199+00:00,12.9
docker,5,2025-03-31T22:49:02.355395+00:00,14.29
native,11,2025-03-31T22:49:16.831103+00:00,13.28
native,12,2025-03-31T22:49:30.119200+00:00,13.36
native,13,2025-03-31T22:49:43.493930+00:00,13.32
wasm_interpreted,9,2025-03-31T22:49:56.822614+00:00,273.9
docker,6,2025-03-31T22:54:30.736292+00:00,13.14
native,14,2025-03-31T22:54:44.054425+00:00,12.1
wasm_aot,8,2025-03-31T22:54:56.167167+00:00,13.34
wasm_aot,9,2025-03-31T22:55:09.521417+00:00,13.58
wasm_aot,10,2025-03-31T22:55:23.110365+00:00,13.85
wasm_interpreted,10,2025-03-31T22:55:36.985276+00:00,274.68
wasm_aot,11,2025-03-31T23:00:11.674280+00:00,12.58
docker,7,2025-03-31T23:00:24.270738+00:00,13.65
wasm_interpreted,11,2025-03-31T23:00:38.109586+00:00,272.94
wasm_interpreted,12,2025-03-31T23:05:11.061744+00:00,272.59000000000003
docker,8,2025-03-31T23:09:43.666110+00:00,12.79
docker,9,2025-03-31T23:09:56.622699+00:00,13.23
native,15,2025-03-31T23:10:10.029048+00:00,12.22
docker,10,2025-03-31T23:10:22.263062+00:00,14.1
wasm_interpreted,13,2025-03-31T23:10:36.538566+00:00,274.12
docker,11,2025-03-31T23:15:10.678030+00:00,16.3
native,16,2025-03-31T23:15:27.158696+00:00,12.13
native,17,2025-03-31T23:15:39.302660+00:00,12.49
docker,12,2025-03-31T23:15:51.807159+00:00,14.04
docker,13,2025-03-31T23:16:06.042537+00:00,14.58
wasm_aot,12,2025-03-31T23:16:20.805525+00:00,14.03
wasm_aot,13,2025-03-31T23:16:34.852656+00:00,13.97
wasm_aot,14,2025-03-31T23:16:48.834719+00:00,14.44
wasm_interpreted,14,2025-03-31T23:17:03.293881+00:00,273.55
docker,14,2025-03-31T23:21:36.858866+00:00,13.01
docker,15,2025-03-31T23:21:50.033253+00:00,13.4
wasm_interpreted,15,2025-03-31T23:22:03.599727+00:00,273.5
docker,16,2025-03-31T23:26:37.111011+00:00,13.29
native,18,2025-03-31T23:26:50.564682+00:00,12.04
wasm_aot,15,2025-03-31T23:27:02.619148+00:00,13.43
wasm_aot,16,2025-03-31T23:27:16.059196+00:00,13.6
wasm_interpreted,16,2025-03-31T23:27:29.677168+00:00,273.15999999999997
wasm_interpreted,17,2025-03-31T23:32:02.853955+00:00,272.83
wasm_aot,17,2025-03-31T23:36:35.700700+00:00,12.26
docker,17,2025-03-31T23:36:47.975457+00:00,15.32
docker,18,2025-03-31T23:37:03.493898+00:00,14.09
native,19,2025-03-31T23:37:17.749441+00:00,12.27
docker,19,2025-03-31T23:37:30.033419+00:00,13.92
wasm_aot,18,2025-03-31T23:37:44.149893+00:00,13.55
docker,20,2025-03-31T23:37:57.713300+00:00,14.55
wasm_aot,19,2025-03-31T23:38:12.450349+00:00,14.06
wasm_interpreted,18,2025-03-31T23:38:26.517855+00:00,273.83
native,20,2025-03-31T23:43:00.355514+00:00,11.62
wasm_interpreted,19,2025-03-31T23:43:11.991949+00:00,272.89
wasm_interpreted,20,2025-03-31T23:47:44.902342+00:00,272.78
wasm_aot,20,2025-03-31T23:52:17.691124+00:00,12.03
