deployment-mechanism,trial-number,start-time,wall-time-seconds
native,1,2025-04-02T00:06:58.059292+00:00,4.41
native,2,2025-04-02T00:07:02.514274+00:00,4.41
native,3,2025-04-02T00:07:06.932613+00:00,4.44
wasm_aot,1,2025-04-02T00:07:11.388245+00:00,5.08
wasm_interpreted,1,2025-04-02T00:07:16.481390+00:00,265.69
wasm_interpreted,2,2025-04-02T00:11:42.177245+00:00,265.48
docker,1,2025-04-02T00:16:07.663191+00:00,5.56
docker,2,2025-04-02T00:16:13.356001+00:00,5.59
wasm_aot,2,2025-04-02T00:16:19.081874+00:00,4.24
wasm_aot,3,2025-04-02T00:16:23.335501+00:00,4.21
wasm_aot,4,2025-04-02T00:16:27.550513+00:00,4.2
wasm_interpreted,3,2025-04-02T00:16:31.761907+00:00,265.93
native,4,2025-04-02T00:20:57.699446+00:00,3.9
wasm_interpreted,4,2025-04-02T00:21:01.612970+00:00,265.39
wasm_interpreted,5,2025-04-02T00:25:27.016418+00:00,265.42
wasm_interpreted,6,2025-04-02T00:29:52.450947+00:00,266.06
wasm_interpreted,7,2025-04-02T00:34:18.521873+00:00,265.62
wasm_aot,5,2025-04-02T00:38:44.154716+00:00,4.16
docker,3,2025-04-02T00:38:48.320964+00:00,5.1
native,5,2025-04-02T00:38:53.573784+00:00,3.8
wasm_interpreted,8,2025-04-02T00:38:57.387368+00:00,265.76
wasm_interpreted,9,2025-04-02T00:43:23.166180+00:00,265.59
wasm_interpreted,10,2025-04-02T00:47:48.771340+00:00,265.61
wasm_aot,6,2025-04-02T00:52:14.388189+00:00,4.2
wasm_interpreted,11,2025-04-02T00:52:18.595720+00:00,265.4
wasm_interpreted,12,2025-04-02T00:56:44.001161+00:00,265.73
wasm_aot,7,2025-04-02T01:01:09.744908+00:00,4.26
docker,4,2025-04-02T01:01:14.014696+00:00,5.18
native,6,2025-04-02T01:01:19.336307+00:00,4.07
wasm_aot,8,2025-04-02T01:01:23.413631+00:00,4.2
native,7,2025-04-02T01:01:27.624158+00:00,3.9
wasm_aot,9,2025-04-02T01:01:31.534941+00:00,4.6
native,8,2025-04-02T01:01:36.147041+00:00,3.75
wasm_aot,10,2025-04-02T01:01:39.910065+00:00,4.34
wasm_interpreted,13,2025-04-02T01:01:44.260831+00:00,265.34
docker,5,2025-04-02T01:06:09.609344+00:00,4.88
docker,6,2025-04-02T01:06:14.620862+00:00,5.36
wasm_aot,11,2025-04-02T01:06:20.117224+00:00,4.25
docker,7,2025-04-02T01:06:24.373986+00:00,5.31
wasm_aot,12,2025-04-02T01:06:29.821305+00:00,4.49
docker,8,2025-04-02T01:06:34.325487+00:00,5.16
wasm_interpreted,14,2025-04-02T01:06:39.617943+00:00,265.46
wasm_aot,13,2025-04-02T01:11:05.089462+00:00,4.19
native,9,2025-04-02T01:11:09.287079+00:00,3.72
native,10,2025-04-02T01:11:13.014989+00:00,3.81
wasm_aot,14,2025-04-02T01:11:16.830944+00:00,4.36
docker,9,2025-04-02T01:11:21.208704+00:00,5.23
docker,10,2025-04-02T01:11:26.574860+00:00,5.34
native,11,2025-04-02T01:11:32.048103+00:00,3.6
native,12,2025-04-02T01:11:35.655885+00:00,3.76
docker,11,2025-04-02T01:11:39.425688+00:00,5.75
wasm_aot,15,2025-04-02T01:11:45.307125+00:00,4.4
wasm_interpreted,15,2025-04-02T01:11:49.713595+00:00,265.41
wasm_interpreted,16,2025-04-02T01:16:15.130976+00:00,265.88
docker,12,2025-04-02T01:20:41.022479+00:00,5.15
docker,13,2025-04-02T01:20:46.304490+00:00,5.29
wasm_aot,16,2025-04-02T01:20:51.731870+00:00,4.27
native,13,2025-04-02T01:20:56.011329+00:00,3.58
native,14,2025-04-02T01:20:59.600274+00:00,3.63
native,15,2025-04-02T01:21:03.242659+00:00,3.57
docker,14,2025-04-02T01:21:06.820780+00:00,5.18
native,16,2025-04-02T01:21:12.134767+00:00,4.03
docker,15,2025-04-02T01:21:16.177420+00:00,5.16
native,17,2025-04-02T01:21:21.473361+00:00,4.27
wasm_interpreted,17,2025-04-02T01:21:25.752845+00:00,265.32
native,18,2025-04-02T01:25:51.080085+00:00,3.78
docker,16,2025-04-02T01:25:54.869236+00:00,5.07
wasm_aot,17,2025-04-02T01:26:00.069763+00:00,4.3
docker,17,2025-04-02T01:26:04.379282+00:00,5.32
native,19,2025-04-02T01:26:09.828187+00:00,3.59
docker,18,2025-04-02T01:26:13.427272+00:00,5.29
native,20,2025-04-02T01:26:18.849418+00:00,4.28
wasm_interpreted,18,2025-04-02T01:26:23.136132+00:00,265.28
wasm_interpreted,19,2025-04-02T01:30:48.422925+00:00,265.46
wasm_aot,18,2025-04-02T01:35:13.896179+00:00,4.36
wasm_aot,19,2025-04-02T01:35:18.268862+00:00,4.23
wasm_aot,20,2025-04-02T01:35:22.507201+00:00,4.23
wasm_interpreted,20,2025-04-02T01:35:26.750196+00:00,265.52
docker,19,2025-04-02T01:39:52.283421+00:00,5.2
docker,20,2025-04-02T01:39:57.615500+00:00,5.29
