deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_interpreted,1,2025-04-02T01:42:24.197154+00:00,324594540453.0,256723014869.0,178124748.0,184823120624.0,158045149414.0,74814.0,30100289188.0,1894506418.0,587.0,74227.0,179427061.88,274264064.0,22.9,22.84,0.05
native,1,2025-04-02T01:47:34.880709+00:00,8295039762.0,5051544213.0,17237389.0,900926181.0,3469864769.0,40673.0,452036498.0,38569156.0,162.0,40511.0,89368166.4,176238592.0,21.62,19.17,2.44
wasm_aot,1,2025-04-02T01:48:01.710224+00:00,4748455180.0,3490317707.0,14289851.0,763733591.0,1863514751.0,55035.0,339472755.0,14090188.0,125.0,54910.0,65750357.33,182382592.0,23.34,14.32,3.4
wasm_aot,2,2025-04-02T01:48:27.240389+00:00,4236801994.0,2822025858.0,12939810.0,691360905.0,1715509151.0,55143.0,347675055.0,39253402.0,0.0,55143.0,84594688.0,171048960.0,12.55,21.78,4.57
native,2,2025-04-02T01:48:52.244678+00:00,4523526897.0,3070807242.0,10234903.0,751398803.0,1775493449.0,38890.0,266772442.0,31554899.0,0.0,38890.0,96282624.0,120172544.0,21.54,20.79,0.75
wasm_interpreted,2,2025-04-02T01:49:40.930964+00:00,484772288754.0,248400427737.0,104956592.0,142732152140.0,114077706903.0,66668.0,22512521551.0,1419114633.0,9.0,66659.0,148143120.79,193376256.0,24.95,24.99,0.06
wasm_interpreted,3,2025-04-02T01:54:35.196846+00:00,326795591043.0,265116648533.0,139636195.0,181158282670.0,176516630578.0,66366.0,31510032795.0,2029009826.0,1.0,66365.0,164133709.91,210219008.0,24.88,24.82,0.06
wasm_aot,3,2025-04-02T01:59:32.183642+00:00,5117590362.0,3135259372.0,11437521.0,680572302.0,2168881587.0,61926.0,312009925.0,29788170.0,0.0,61926.0,124107434.67,194457600.0,24.37,20.52,3.77
wasm_interpreted,4,2025-04-02T01:59:58.027714+00:00,340082334195.0,262667451820.0,171351697.0,192202557390.0,144237082508.0,67001.0,30597980199.0,1732226876.0,38.0,66963.0,173254024.17,218447872.0,24.88,24.82,0.04
wasm_aot,4,2025-04-02T02:04:57.512350+00:00,6650295078.0,5783150782.0,18374697.0,1219332136.0,3994894572.0,60385.0,561357511.0,55515870.0,58.0,60327.0,87290880.0,198459392.0,24.99,21.58,3.41
native,3,2025-04-02T02:05:23.823293+00:00,6246306833.0,6498417602.0,26993260.0,1450773619.0,3445089578.0,40331.0,473253052.0,49209566.0,21.0,40310.0,76122112.0,131919872.0,35.37,32.44,2.88
docker_container,1,2025-04-02T02:05:48.862641+00:00,10716157102.0,7964041221.0,24941592.0,1326143591.0,4493849715.0,40748.0,375767276.0,44991789.0,468.0,40278.0,100374528.0,211202048.0,9.82,8.31,1.37
docker_container_and_daemon,1,2025-04-02T02:05:48.862641+00:00,13418604933.78,10853897607.9,28407539.56,2414680389.2200003,5651310600.08,44380.29,735815264.98,68932011.76,690.11,43529.89,148093383.11,316280832.0,11.08,8.620000000000001,2.3200000000000003
docker_container_and_daemon_extra_overhead,1,2025-04-02T02:05:48.862641+00:00,13028392700.78,10623964891.9,26349859.56,2276444515.2200003,5507812349.08,44380.29,575594992.98,65026020.760000005,690.11,43529.89,122743239.11,211202048.0,11.08,8.620000000000001,2.3200000000000003
wasm_interpreted,5,2025-04-02T02:06:36.496570+00:00,255649683861.0,199581600544.0,99216754.0,173424824740.0,207489603340.0,61883.0,37110273484.0,2419131291.0,633.0,61250.0,196502993.45,243744768.0,24.68,24.61,0.07
docker_container,2,2025-04-02T02:11:41.232935+00:00,8044590079.0,5977456059.0,19534324.0,1131346187.0,3691892736.0,41187.0,391775278.0,32560120.0,264.0,40919.0,104762572.8,188289024.0,14.82,12.52,2.3
