deployment-mechanism,trial-number,start-time,wall-time-seconds
native,1,2025-04-02T03:53:51.842196+00:00,3.93
native,2,2025-04-02T03:53:55.810671+00:00,3.27
wasm_interpreted,1,2025-04-02T03:53:59.094497+00:00,265.79
native,3,2025-04-02T03:58:24.897681+00:00,3.39
native,4,2025-04-02T03:58:28.299189+00:00,3.13
wasm_interpreted,2,2025-04-02T03:58:31.437175+00:00,265.05
native,5,2025-04-02T04:02:56.499393+00:00,3.09
wasm_interpreted,3,2025-04-02T04:02:59.606374+00:00,265.31
wasm_aot,1,2025-04-02T04:07:24.925150+00:00,3.88
docker,1,2025-04-02T04:07:28.823111+00:00,4.55
wasm_aot,2,2025-04-02T04:07:33.517151+00:00,3.93
native,6,2025-04-02T04:07:37.458810+00:00,3.1
wasm_aot,3,2025-04-02T04:07:40.572153+00:00,3.84
wasm_interpreted,4,2025-04-02T04:07:44.424381+00:00,265.17
docker,2,2025-04-02T04:12:09.600310+00:00,4.49
wasm_interpreted,5,2025-04-02T04:12:14.238991+00:00,265.19
wasm_aot,4,2025-04-02T04:16:39.436244+00:00,3.93
native,7,2025-04-02T04:16:43.383197+00:00,3.22
native,8,2025-04-02T04:16:46.612820+00:00,3.26
docker,3,2025-04-02T04:16:49.886374+00:00,4.41
wasm_aot,5,2025-04-02T04:16:54.430450+00:00,3.82
wasm_interpreted,6,2025-04-02T04:16:58.263067+00:00,265.42
wasm_aot,6,2025-04-02T04:21:23.693666+00:00,3.78
wasm_aot,7,2025-04-02T04:21:27.486014+00:00,3.84
docker,4,2025-04-02T04:21:31.337818+00:00,4.53
wasm_interpreted,7,2025-04-02T04:21:35.999720+00:00,265.3
docker,5,2025-04-02T04:26:01.308368+00:00,4.49
native,9,2025-04-02T04:26:05.936028+00:00,3.28
native,10,2025-04-02T04:26:09.222399+00:00,3.25
docker,6,2025-04-02T04:26:12.478062+00:00,4.6
native,11,2025-04-02T04:26:17.216260+00:00,3.23
wasm_aot,8,2025-04-02T04:26:20.460430+00:00,3.83
native,12,2025-04-02T04:26:24.303248+00:00,3.15
wasm_interpreted,8,2025-04-02T04:26:27.470470+00:00,265.27
wasm_interpreted,9,2025-04-02T04:30:52.750993+00:00,265.38
wasm_interpreted,10,2025-04-02T04:35:18.146778+00:00,265.14
docker,7,2025-04-02T04:39:43.297562+00:00,4.38
wasm_interpreted,11,2025-04-02T04:39:47.822910+00:00,265.13
docker,8,2025-04-02T04:44:12.961249+00:00,4.55
docker,9,2025-04-02T04:44:17.713530+00:00,4.57
docker,10,2025-04-02T04:44:22.420559+00:00,4.56
wasm_aot,9,2025-04-02T04:44:27.112708+00:00,3.93
wasm_interpreted,12,2025-04-02T04:44:31.057629+00:00,265.18
docker,11,2025-04-02T04:48:56.248723+00:00,4.58
wasm_aot,10,2025-04-02T04:49:00.975582+00:00,3.93
wasm_interpreted,13,2025-04-02T04:49:04.917687+00:00,265.45
docker,12,2025-04-02T04:53:30.374807+00:00,4.57
native,13,2025-04-02T04:53:35.081222+00:00,3.25
wasm_interpreted,14,2025-04-02T04:53:38.342201+00:00,265.26
native,14,2025-04-02T04:58:03.611582+00:00,3.26
wasm_aot,11,2025-04-02T04:58:06.889669+00:00,4.0
wasm_interpreted,15,2025-04-02T04:58:10.908547+00:00,265.23
wasm_aot,12,2025-04-02T05:02:36.151057+00:00,4.0
native,15,2025-04-02T05:02:40.159443+00:00,3.22
docker,13,2025-04-02T05:02:43.391797+00:00,4.59
wasm_interpreted,16,2025-04-02T05:02:48.119064+00:00,265.14
docker,14,2025-04-02T05:07:13.270145+00:00,4.52
docker,15,2025-04-02T05:07:17.923404+00:00,4.52
wasm_aot,13,2025-04-02T05:07:22.583614+00:00,3.96
wasm_aot,14,2025-04-02T05:07:26.559703+00:00,3.84
wasm_aot,15,2025-04-02T05:07:30.408530+00:00,3.89
docker,16,2025-04-02T05:07:34.311443+00:00,4.48
native,16,2025-04-02T05:07:38.931187+00:00,3.09
wasm_interpreted,17,2025-04-02T05:07:42.034995+00:00,265.08
native,17,2025-04-02T05:12:07.125351+00:00,3.09
docker,17,2025-04-02T05:12:10.222587+00:00,4.5
docker,18,2025-04-02T05:12:14.865913+00:00,4.55
native,18,2025-04-02T05:12:19.550881+00:00,3.3
docker,19,2025-04-02T05:12:22.859269+00:00,4.35
native,19,2025-04-02T05:12:27.339957+00:00,3.27
wasm_aot,16,2025-04-02T05:12:30.618919+00:00,3.93
wasm_aot,17,2025-04-02T05:12:34.558796+00:00,3.85
wasm_aot,18,2025-04-02T05:12:38.422381+00:00,3.97
native,20,2025-04-02T05:12:42.408651+00:00,3.22
wasm_interpreted,18,2025-04-02T05:12:45.634072+00:00,265.26
wasm_aot,19,2025-04-02T05:17:10.907600+00:00,3.92
wasm_aot,20,2025-04-02T05:17:14.839127+00:00,3.99
wasm_interpreted,19,2025-04-02T05:17:18.839545+00:00,265.18
docker,20,2025-04-02T05:21:44.027601+00:00,4.48
wasm_interpreted,20,2025-04-02T05:21:48.654708+00:00,265.13
