experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
wasm_aot,1,2025-02-02T03:03:06.173392,44096820039,38061196242,8352347166,67376356,102611,20333882853,6411211714,184533084,282526037,399785984
wasm_aot,2,2025-02-02T03:03:29.769257,82632358828,78447942155,15666086256,127286041,204996,38462547706,12425099340,389510191,297011386,401891328
wasm_interpreted,1,2025-02-02T03:03:47.133319,148108322026,160101931614,40738382836,214569093,314332,73261355183,20737782346,831555992,238610102,410337280
wasm_aot,3,2025-02-02T03:04:34.530871,189070281236,200591495060,48878011497,281772562,417309,93060180487,27176863560,1045183114,277633609,386686976
wasm_interpreted,2,2025-02-02T03:04:58.023701,253765974365,264608735397,73878299472,363804756,525973,128939231270,36601824939,1466293738,247496845,400695296
wasm_interpreted,3,2025-02-02T03:05:47.057400,330614120447,336554887300,100136192665,457866769,635048,163077466947,46232404175,1854958300,254793045,411082752
wasm_interpreted,4,2025-02-02T03:06:38.771401,405789263955,409325434859,127141727789,538854717,742607,203667574307,57073327727,2264703401,253637778,398655488
wasm_interpreted,5,2025-02-02T03:07:32.002635,490364341704,487193472706,155843117387,630303700,852551,238640493071,67761073980,2658420813,260003342,422178816
wasm_aot,4,2025-02-02T03:08:27.706112,541496242396,533369579036,165822701732,693424556,954035,261247932910,75998223762,2823434206,309277103,407293952
docker_container,1,2025-02-02T03:08:56.545466,87634973320,71394629842,14941022027,77526439,84258,33745475672,13633817399,181444379,261878063,359227392
docker_container_and_daemon,1,2025-02-02T03:08:56.545466,92960109979,73635247680,15681403488,149888841,88364,35047164852,14098191474,772157523,323142552,405381120
wasm_interpreted,6,2025-02-02T03:09:57.761697,627425673566,612184025778,197444982614,777587336,1065250,305681266408,90068715467,3251760027,266140997,400289792
wasm_aot,5,2025-02-02T03:11:06.988548,692656518856,665454268898,208948393856,850405004,1167705,331324639650,100163865298,3403083780,330898031,413339648
docker_container,2,2025-02-02T03:11:44.501569,82572157430,68031270363,15137496277,77317524,84119,36531033840,14542035921,170709699,245718506,352256000
docker_container_and_daemon,2,2025-02-02T03:11:44.501569,85412796587,72204378470,16315839286,143281750,86983,39654764178,15071493516,380958310,320258284,397021184
wasm_aot,6,2025-02-02T03:12:49.224225,760763975859,722678271353,222373297549,929150080,1270668,360950083233,110556166558,3568963551,329128346,387948544
