experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
wasm_aot,1,2025-02-01T14:52:07.110079,34690739912,30346495903,7204071219,60460824,72272,17630563838,5759792714,190423735,262326955,324984832
wasm_interpreted,1,2025-02-01T14:52:27.892196,107301954890,105068963146,31722393900,155529056,153632,51371598718,14127234871,549734885,209576642,358404096
docker_container,1,2025-02-01T14:53:14.627776,68530982372,58793830531,12302120733,74610693,61608,28847213325,11061351507,187152827,217684756,293167104
docker_container_and_daemon,1,2025-02-01T14:53:14.627776,71661218268,71769210059,13832272373,126566153,67970,36140598423,12276844964,1237478763,258062120,328527872
wasm_interpreted,2,2025-02-01T14:54:01.078155,184919103078,176154792536,56267882137,236019111,235388,85891583579,23526298237,952641605,200257093,352292864
wasm_interpreted,3,2025-02-01T14:54:57.815001,261601586960,250269619314,82279359906,316305353,314314,117617876331,32789878019,1369916375,219838584,369147904
wasm_aot,2,2025-02-01T14:55:53.003572,307450469477,292224861678,89933877905,385134633,387969,138879972526,40342275055,1521560080,267132205,349048832
wasm_aot,3,2025-02-01T14:56:20.764569,354057846875,331672058599,98855695584,455723581,461509,159981033010,47855517792,1671759545,275968256,347869184
docker_container,2,2025-02-01T14:56:48.971677,67203389453,53865039165,12411194660,76479110,62003,29316828183,11046684472,155967240,188950889,289808384
docker_container_and_daemon,2,2025-02-01T14:56:48.971677,72317772103,58435890810,13316510582,105507725,66143,31133649099,12204864443,235545399,257204419,324169728
docker_container,3,2025-02-01T14:57:39.698208,74803860816,59756321288,13343311047,77089104,62234,29672386212,11369424428,144933544,153757286,266567680
docker_container_and_daemon,3,2025-02-01T14:57:39.698208,80538628795,63371766453,16130815986,108689240,66075,31949462488,12145577877,178737860,234751681,310784000
docker_container,4,2025-02-01T14:58:28.953180,67067194033,55326652681,12463628021,74722117,62159,28456909272,11599547697,157961998,135421580,272859136
docker_container_and_daemon,4,2025-02-01T14:58:28.953180,71363431467,58438390456,16344791100,84640767,65230,32649433771,15100301440,218497434,229803032,300003328
wasm_aot,4,2025-02-01T14:59:16.895377,424973208240,390030894532,112670654456,538833205,536689,191192803102,59539190141,1829373409,283260140,348000256
wasm_aot,5,2025-02-01T15:00:00.158972,495077437246,449141117128,125205176923,618634934,610758,218938283350,70779312007,1980163452,283128247,338132992
wasm_aot,6,2025-02-01T15:00:44.406497,556849899738,501626834185,137667688335,691564511,684342,245815607308,80957427313,2124564484,280093145,352342016
docker_container,5,2025-02-01T15:01:25.001154,53453468725,48361713686,9623348223,63982836,58757,22497695949,8620183617,149615475,138050839,272629760
