experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
docker_container,1,2025-02-08T22:54:09.839371,,,,,25913,,,,97678677,173854720
docker_container_and_daemon,1,2025-02-08T22:54:09.839371,,,,,32404,,,,144744448,220934144
docker_container,2,2025-02-08T22:54:18.670487,,,,,204,,,,2412544,2412544
docker_container_and_daemon,2,2025-02-08T22:54:18.670487,,,,,,,,,51081216,51081216
docker_container,3,2025-02-08T22:54:22.263581,,,,,16723,,,,38914048,75571200
docker_container_and_daemon,3,2025-02-08T22:54:22.263581,,,,,,,,,49381376,49381376
docker_container,4,2025-02-08T22:54:26.157394,,,,,25431,,,,51320832,97542144
docker_container_and_daemon,4,2025-02-08T22:54:26.157394,,,,,,,,,53370880,53370880
wasm_aot,1,2025-02-08T22:54:29.547997,,,,,1211871,,,,171294720,171294720
wasm_aot,2,2025-02-08T22:54:33.386544,,,,,1286815,,,,130977792,130977792
wasm_interpreted,1,2025-02-08T22:54:36.607855,,,,,1349271,,,,163486720,173350912
docker_container,5,2025-02-08T22:54:48.698454,,,,,424,,,,4456448,4456448
docker_container_and_daemon,5,2025-02-08T22:54:48.698454,,,,,,,,,54390784,54390784
wasm_interpreted,2,2025-02-08T22:54:52.227844,,,,,1399915,,,,173383680,173383680
docker_container,6,2025-02-08T22:55:04.199539,,,,,692,,,,8486912,8486912
docker_container_and_daemon,6,2025-02-08T22:55:04.199539,,,,,,,,,58880000,58880000
docker_container,7,2025-02-08T22:55:07.788618,,,,,9,,,,2326528,2326528
docker_container_and_daemon,7,2025-02-08T22:55:07.788618,,,,,,,,,52817920,52817920
wasm_aot,3,2025-02-08T22:55:11.246463,,,,,1537326,,,,165494784,165494784
wasm_aot,4,2025-02-08T22:55:16.451773,,,,,1586401,,,,164556800,164556800
wasm_interpreted,3,2025-02-08T22:55:18.386503,,,,,1633784,,,,173395968,173395968
docker_container,8,2025-02-08T22:55:30.602551,,,,,578,,,,2236416,2236416
docker_container_and_daemon,8,2025-02-08T22:55:30.602551,,,,,,,,,52244480,52244480
wasm_interpreted,4,2025-02-08T22:55:34.133699,,,,,1684416,,,,173054635,173383680
wasm_interpreted,5,2025-02-08T22:55:46.267966,,,,,1738352,,,,165697536,186396672
wasm_interpreted,6,2025-02-08T22:55:58.349334,,,,,1786102,,,,171707392,173400064
wasm_interpreted,7,2025-02-08T22:56:10.640347,,,,,1836764,,,,167094565,173404160
