experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
wasm_interpreted,1,2025-02-02T11:33:24.794157,759162609091,859479906238,488305094893,319132713,109482,427788850179,84808436859,5219664525,272348026,446468096
wasm_interpreted,2,2025-02-02T11:46:04.583154,1558086014928,1723453369469,1006644988407,642298219,218879,844954561135,172684978551,10144002540,270526218,437821440
docker_container,1,2025-02-02T12:00:22.451033,70443545688,63138354541,13484156850,82867522,101737,31654802631,11561738171,161047790,162818048,282505216
docker_container_and_daemon,1,2025-02-02T12:00:22.451033,82268461666,88731203612,17825295069,158554480,108170,44010917104,14162534785,252129654,252576180,324321280
docker_container,2,2025-02-02T12:01:21.215989,69895449693,59550643137,13326312771,79631470,102752,31005916030,11528256994,150903539,125429175,266625024
docker_container_and_daemon,2,2025-02-02T12:01:21.215989,77525682992,66373558026,14933524314,84611453,109481,33694090845,13818057019,314916701,217468075,297078784
wasm_aot,1,2025-02-02T12:02:13.933557,1627773876622,1789075043556,1017366483483,728199513,322891,875859174774,183360035903,10381303114,407663797,422584320
docker_container,3,2025-02-02T12:03:05.089494,71009071611,56653984743,12567686489,77039363,101760,28759001302,11605398122,148514735,129058028,282722304
docker_container_and_daemon,3,2025-02-02T12:03:05.089494,85534364358,68225802863,16869692180,146436519,110563,37900376779,14242456403,220960412,241753109,336011264
docker_container,4,2025-02-02T12:04:05.430249,68307411557,57419933177,13200185422,80518145,103198,30995580102,12061058238,154951571,98133197,256827392
docker_container_and_daemon,4,2025-02-02T12:04:05.430249,81983039929,74683715758,14431220887,131524154,109173,32712688086,13014344467,227120511,207206229,303230976
wasm_aot,2,2025-02-02T12:04:59.501810,1700650902615,1853072192064,1030444490938,813317198,426499,907617176157,194671412702,10567602243,338583552,425594880
wasm_interpreted,3,2025-02-02T12:05:53.767584,2453888701462,2678592335869,1537337906705,1107384647,535841,1346947269938,273826004870,15444921027,276171285,438505472
docker_container,5,2025-02-02T12:20:15.552685,22181438707,21738098879,4104532700,45808466,87850,10205330535,2657255748,89297132,124514304,235466752
docker_container_and_daemon,5,2025-02-02T12:20:15.552685,30224338175,28904301629,6408062758,92915431,94411,11316329254,3536652022,153197859,246425088,283897856
wasm_interpreted,4,2025-02-02T12:21:15.002550,3277352786276,3479862355510,2080486033914,1417311279,645772,1761179157736,360454298461,20546513580,261797351,448626688
wasm_interpreted,5,2025-02-02T12:36:04.770294,3955031744879,4399241003105,2527370122067,1766942170,753579,2222568404394,441589351432,25289109285,269618671,449060864
wasm_interpreted,6,2025-02-02T12:50:48.024233,4754591362729,5201320999379,3020277296028,2101679282,865879,2659318441946,526397251587,30567254951,260145695,433385472
wasm_aot,3,2025-02-02T13:05:44.903627,4820702503565,5256500461043,3032061397555,2176552472,968254,2687812030463,535963329970,30717172087,356314147,441950208
docker_container,6,2025-02-02T13:06:29.622723,72963234919,61042005863,12982298076,78603733,101341,28668306323,11029027818,153324941,162458283,282124288
docker_container_and_daemon,6,2025-02-02T13:06:29.622723,92536537420,76459636280,19150518642,91086195,107493,36692174499,13594233355,243035034,262124629,332840960
docker_container,7,2025-02-02T13:07:30.240387,69108750275,55737042087,12528693014,82355629,102640,27599944039,10245920907,155786115,117962594,258633728
docker_container_and_daemon,7,2025-02-02T13:07:30.240387,102287195423,60579204435,15435067754,122330018,106379,32181398437,19809457008,207165946,212683057,311431168
docker_container,8,2025-02-02T13:08:21.299316,5903020969,9089385679,2080748742,37270831,57874,3865901336,705451543,44255045,65765376,118394880
docker_container_and_daemon,8,2025-02-02T13:08:21.299316,26691654669,21284727111,5894686914,76954136,62261,8748543458,2531377215,123666365,136582431,172077056
docker_container,9,2025-02-02T13:09:17.618755,70725291398,59386292068,12973609618,84569672,102552,30372542631,11519771097,159916112,120611499,247058432
docker_container_and_daemon,9,2025-02-02T13:09:17.618755,90422468151,67621259634,23287396877,137143763,105493,33412539024,19645880393,196950744,209608376,283414528
wasm_interpreted,7,2025-02-02T13:10:12.290161,5543050820135,6205316418568,3505204042424,2555541205,1078866,3153454571808,617102408709,35793610645,268760627,462622720
docker_container,10,2025-02-02T13:24:59.291448,72941491779,57998768144,13342381840,87484903,103050,30546649453,10853577601,154493310,143179461,277549056
docker_container_and_daemon,10,2025-02-02T13:24:59.291448,89873283167,64752808578,19382333612,274100083,110248,52450328516,12999958130,236174368,251372544,322011136
wasm_interpreted,8,2025-02-02T13:25:58.653275,6292448943773,7052844088685,4041400977144,2929011265,1188486,3555762966403,697738653573,40673807393,264291172,446320640
docker_container,11,2025-02-02T13:40:32.596171,42705446909,35458486273,8209857767,58330249,96596,19310552853,6497465335,104043130,139185835,267235328
docker_container_and_daemon,11,2025-02-02T13:40:32.596171,58223607665,42137386298,12389823110,78428072,103370,27084259128,8509996158,152267336,257632597,314863616
wasm_interpreted,9,2025-02-02T13:41:31.710581,6934990223623,7795991388493,4473862245231,3184907871,1298048,4065771849940,802986621917,45838404252,262118031,441413632
docker_container,12,2025-02-02T13:56:17.768688,64399498121,54394214130,12459346542,76220859,102685,29980044807,11614958648,171407533,169173285,280317952
docker_container_and_daemon,12,2025-02-02T13:56:17.768688,83528890953,65893561471,16966518256,85929064,108299,37327629541,14069570027,264764825,252659712,329588736
docker_container,13,2025-02-02T13:57:16.579949,70990145685,59348349146,13721252886,84440255,102793,31375720598,11870920967,150177363,99493702,248913920
docker_container_and_daemon,13,2025-02-02T13:57:16.579949,88574781754,64977100614,17983178365,101709221,106748,32520564787,13809003371,209590277,197524919,221765632
