experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
wasm_interpreted,1,2025-02-02T02:57:47.702011,25039869,41160839,8176962,155474,1406,14403044,1888877,1258632,45576192,45576192
wasm_aot,1,2025-02-02T02:57:55.939400,160919283,157144003,24969161,341971,2866,63791346,9668526,2006386,45801472,45801472
docker_container,1,2025-02-02T02:58:01.185105,0,0,0,0,0,0,0,0,851968,851968
docker_container_and_daemon,1,2025-02-02T02:58:01.185105,55618629,92684143,12289515,411477,64,49150908,10173151,504584,69699994,69742592
docker_container,2,2025-02-02T02:58:08.841304,0,0,0,0,7,0,0,0,922965,1019904
docker_container_and_daemon,2,2025-02-02T02:58:08.841304,199758484,410312308,88379348,1108779,696,158644887,29941105,2290801,70687744,72368128
docker_container,3,2025-02-02T02:58:17.364940,0,0,0,0,39,0,0,0,1870848,2211840
docker_container_and_daemon,3,2025-02-02T02:58:17.364940,116798191,61249255,66569668,368675,298,27119264,13385797,316385,68111360,68452352
wasm_aot,2,2025-02-02T02:58:25.313799,156133332,284459734,53448995,835225,4341,153536656,15994206,2410630,26140672,26140672
wasm_aot,3,2025-02-02T02:58:31.349283,217350820,355687056,79505662,1158392,5799,209684772,24554318,3677635,29392896,29548544
wasm_aot,4,2025-02-02T02:58:36.590745,272976209,607254436,107106314,1525721,7255,264672906,32119360,4597259,28190037,29306880
wasm_interpreted,2,2025-02-02T02:58:41.852655,333321546,669075786,156077291,2162847,8705,308463897,38690953,4841117,29278208,29278208
wasm_aot,5,2025-02-02T02:58:47.081405,444528696,804357915,208521871,2516907,11634,418939067,46329596,5486330,29118464,29118464
wasm_interpreted,3,2025-02-02T02:58:57.597463,480743026,798952729,255434537,3044454,13082,440374204,49069822,5606524,29020160,29020160
docker_container,4,2025-02-02T02:59:02.834076,0,0,0,0,0,0,0,0,929792,929792
docker_container_and_daemon,4,2025-02-02T02:59:02.834076,125233395,61460674,89220539,320192,69,30107684,12565691,322792,64563200,64565248
wasm_interpreted,4,2025-02-02T02:59:11.446974,532500457,888851672,266990815,3285389,14531,486862616,53726024,6596690,29020160,29020160
docker_container,5,2025-02-02T02:59:16.692709,0,0,0,0,0,0,0,0,459776,462848
docker_container_and_daemon,5,2025-02-02T02:59:16.692709,290910498,1530590,50799059,36082,0,1125225,17251287,26909,64070451,64135168
wasm_interpreted,5,2025-02-02T02:59:23.957007,616389958,1021696757,293712961,3531732,15980,539145924,60155403,7674284,29020160,29020160
