experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
docker_container,1,2025-02-03T01:22:22.062808,0,0,0,0,42,0,0,0,2447360,2674688
docker_container_and_daemon,1,2025-02-03T01:22:22.062808,110025709,404859628,29387311,1176643,2627,209628090,8631174,1840718,57520128,57520128
wasm_interpreted,1,2025-02-03T01:22:45.285432,63318099,146242296,21179051,461980,2613,72755640,8912779,1160442,7135232,7135232
wasm_interpreted,2,2025-02-03T01:23:03.893571,95367561,202894646,40324058,709339,3938,125028945,16659146,2615305,7135232,7135232
wasm_interpreted,3,2025-02-03T01:23:13.100386,132654035,263611392,50514541,952772,5268,152894340,19063272,3686097,7135232,7135232
wasm_interpreted,4,2025-02-03T01:23:22.303944,188422205,362137290,71304224,1302620,6645,208086753,23444395,4049967,7135232,7135232
wasm_aot,1,2025-02-03T01:23:31.564531,220813111,492217123,83678712,1544335,8026,241432876,29075646,5397625,7315456,7315456
wasm_aot,2,2025-02-03T01:23:40.828866,272067457,576262490,99951556,1873784,9355,288941074,34755999,5791147,7319552,7319552
docker_container,2,2025-02-03T01:23:50.053140,0,0,0,0,0,0,0,0,510362,520192
docker_container_and_daemon,2,2025-02-03T01:23:50.053140,145246642,188253082,13168703,28775,6,1313894,6517692,22709,54338901,54358016
wasm_aot,3,2025-02-03T01:24:01.716549,301901755,627459085,105925379,2096888,10684,306366309,37799582,5815454,7319552,7319552
wasm_aot,4,2025-02-03T01:24:10.925041,335348516,688727352,107395829,2190005,12015,334687962,41265203,6236794,7315456,7315456
docker_container,3,2025-02-03T01:24:20.148986,0,0,0,0,0,0,0,0,458752,458752
docker_container_and_daemon,3,2025-02-03T01:24:20.148986,193910506,399543839,39817121,307730,462,27842889,43787067,320463,54866432,55234560
wasm_aot,5,2025-02-03T01:24:31.529506,411251267,1438809076,132278520,2786652,14673,396058644,50727581,7235683,7311360,7311360
docker_container,4,2025-02-03T01:24:49.982419,0,0,0,0,0,0,0,0,455339,458752
docker_container_and_daemon,4,2025-02-03T01:24:49.982419,200289807,634486623,109020123,34239,0,220498309,44181987,22460,54725746,54759424
wasm_aot,6,2025-02-03T01:25:01.359743,439763596,1146121904,142198955,3026998,16002,433007671,55633213,8467781,7315456,7315456
wasm_aot,7,2025-02-03T01:25:10.613606,512943038,1286140172,149773373,3199085,17334,451772581,57796900,8669192,7319552,7319552
wasm_interpreted,5,2025-02-03T01:25:19.831540,575886530,1683403450,156427639,3687633,18655,487912673,61196920,9270872,7237632,7237632
docker_container,5,2025-02-03T01:25:29.017668,0,0,0,0,0,0,0,0,458752,458752
docker_container_and_daemon,5,2025-02-03T01:25:29.017668,317595,3427841,109633,26970,1,1372486,61261,25759,54961948,55005184
wasm_interpreted,6,2025-02-03T01:25:40.409023,598555393,1535791101,161406523,3873419,19977,530443205,66957456,9422962,7237632,7237632
docker_container,6,2025-02-03T01:25:49.661685,0,0,0,0,0,0,0,0,385707,389120
docker_container_and_daemon,6,2025-02-03T01:25:49.661685,536968672,473428497,206104577,26662,0,1550629,74745186,20265,55213170,55287808
docker_container,7,2025-02-03T01:26:01.006345,0,0,0,0,0,0,0,0,459435,462848
docker_container_and_daemon,7,2025-02-03T01:26:01.006345,370963169,1693856445,62932799,19955,0,387731769,94521765,14580,55618219,55664640
docker_container,8,2025-02-03T01:26:12.317633,0,0,0,0,0,0,0,0,393216,393216
docker_container_and_daemon,8,2025-02-03T01:26:12.317633,912919008,2323870,239066812,35461,0,1318853,115918299,29460,56015872,56037376
docker_container,9,2025-02-03T01:26:23.610885,0,0,0,0,0,0,0,0,389120,389120
docker_container_and_daemon,9,2025-02-03T01:26:23.610885,195853657,783724507,145129062,329912,6,380029000,18947733,351279,56059221,56094720
wasm_aot,8,2025-02-03T01:26:34.892583,673830972,1525402641,172506053,4094303,21309,556564701,70290518,9909937,7311360,7311360
wasm_interpreted,7,2025-02-03T01:26:44.100267,678584508,1890282379,186595481,4426606,22630,603602488,76681868,11119702,7237632,7237632
docker_container,10,2025-02-03T01:26:53.292642,0,0,0,0,0,0,0,0,438272,438272
docker_container_and_daemon,10,2025-02-03T01:26:53.292642,1176523940,873816552,227032060,30262,0,425904477,137471911,25561,56080384,56156160
wasm_interpreted,8,2025-02-03T01:27:04.549391,710583559,1835584307,199935554,4660128,23951,640200050,80390211,11311079,7233536,7233536
wasm_interpreted,9,2025-02-03T01:27:13.761649,763379573,1804052269,209405919,4816367,25271,660422223,83375129,11556169,7233536,7233536
wasm_aot,9,2025-02-03T01:27:22.969293,788678059,1858431333,224843602,5103534,26600,682845273,86027959,11689002,7311360,7311360
wasm_interpreted,10,2025-02-03T01:27:32.209071,815868607,1916680555,236849440,5188143,27921,755050579,89180667,11913835,7233536,7233536
wasm_aot,10,2025-02-03T01:27:41.432541,867638090,2004069552,252362514,5552102,29250,792563738,93297398,12780816,7311360,7311360
