experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
wasm_interpreted,1,2025-02-01T13:45:23.466991,39340361819,41707402127,19410512929,35857704,20512,15025133026,2418257398,196149158,132376037,140107776
wasm_aot,1,2025-02-01T13:45:56.575508,43352002228,45855152190,20159723062,45316350,37522,17528148194,2871316615,251166842,98115584,98115584
wasm_interpreted,2,2025-02-01T13:45:59.587797,67989129070,78747163173,38664450058,77660235,74034,39906507619,7591112014,556217726,135362332,136388608
docker_container,1,2025-02-01T13:46:29.752428,1292405497,2362138861,421503737,7204023,12692,1553130321,218155296,40999637,45632512,97968128
docker_container_and_daemon,1,2025-02-01T13:46:29.752428,1667376834,2994358729,515257659,9469508,15365,1893495691,269418244,48613294,113096294,163438592
docker_container,2,2025-02-01T13:46:40.078039,823296972,1395592837,412888900,5167319,8528,609343690,74535181,19722710,17129472,32043008
docker_container_and_daemon,2,2025-02-01T13:46:40.078039,1335497488,2193362818,624221121,8194837,13013,952215211,113217931,30060001,68304896,68595712
docker_container,3,2025-02-01T13:46:45.678851,718697427,1098297052,622610034,13080150,9905,1156630151,117723113,12882356,22155264,42291200
docker_container_and_daemon,3,2025-02-01T13:46:45.678851,1093162927,1729078929,940273078,20135119,14879,1776192924,178749616,19836161,70707200,70721536
wasm_aot,2,2025-02-01T13:46:51.682820,72624031417,85418150166,40101987546,93347020,98184,42148283643,7850193174,614737556,114331648,114331648
docker_container,4,2025-02-01T13:46:55.485061,3639184761,5255962379,1177618217,20226861,25816,2964256561,479992677,56786394,16988160,31989760
docker_container_and_daemon,4,2025-02-01T13:46:55.485061,974589874,1702999963,297652786,4593292,12746,947430613,198731582,19527802,129667891,154611712
wasm_interpreted,3,2025-02-01T13:47:01.368488,94227562329,119509824059,59612801015,123043929,129001,59813168125,11656852203,894558313,134214861,139374592
wasm_aot,3,2025-02-01T13:47:35.606548,97610158101,123975650286,60280247750,134043320,150363,61880955504,12046747338,959670551,93337600,113049600
wasm_interpreted,4,2025-02-01T13:47:38.885323,132417479639,165069606375,79302350142,168037555,181956,79452584843,15752847661,1307644601,133820611,136114176
wasm_interpreted,5,2025-02-01T13:48:12.140990,157599517084,205102180262,94924814588,191960240,211083,95308668760,19469365676,1649678784,133591040,133591040
docker_container,5,2025-02-01T13:48:43.966259,2730603280,3153377122,947134425,13938196,14442,1817131437,266687836,33138005,28228267,56336384
docker_container_and_daemon,5,2025-02-01T13:48:43.966259,3428163102,4036803218,3326853321,17978962,18108,2315601047,359915546,42024625,81960960,93569024
wasm_aot,4,2025-02-01T13:48:56.169127,162413211239,214171177735,96831031726,206585872,233761,98698818907,20265374602,1725124705,113258496,113258496
wasm_interpreted,6,2025-02-01T13:48:59.922240,192657968685,252707723726,115680622839,238945858,264587,116729831163,23162027751,1986831375,131445108,133648384
wasm_interpreted,7,2025-02-01T13:49:32.991883,226091740324,284477337584,134253367902,266983334,294328,133120351750,26744557946,2250147032,133636096,133758976
wasm_interpreted,8,2025-02-01T13:50:05.237769,250774330514,313956443751,155443839319,297609417,324071,149417328137,29571859111,2482199483,133568512,133603328
wasm_interpreted,9,2025-02-01T13:50:37.721608,288540628886,350672097646,176803240949,327217845,353815,166104746766,32666598050,2786325578,133602250,133652480
